-0.0077973-0.039679i,-0.013003-0.043353i,0.00071713-0.046035i,-0.027854-0.026996i,-0.02054+0.014035i,-0.033152-0.030721i,-0.06039-0.059476i,-0.022735-0.071702i,-0.034532-0.050574i,0.0017638+0.015172i,-0.0069281+0.010674i,-0.014451+0.013461i,0.002013+0.015749i,-0.0037729-0.0034678i,0.00085523+0.0062155i,0.0015824+0.037545i,0.020123+0.057657i,0.00099316-0.00025967i,-0.004697-0.0081467i,0.00805+0.0044907i,0.0016527+0.0009397i,-0.00097063+0.0034758i,5.6025e-05-0.0013435i,-0.035899-0.0089459i,-0.0023659-0.0072242i,-7.8584e-05+0.0045061i,0.004976+9.8157e-05i,0.00020842+0.00076344i,-0.00011723-0.0011349i,8.1211e-05-0.0027682i,-0.0012022-0.0057577i,-0.0024143-0.0039847i,-0.00055308-0.0074291i,0.0033637-0.0010553i,0.0030579-0.0025531i,-0.00090415+0.034032i,0.0062762-0.0042894i,0.0033687-0.0022327i,0.0047662-0.00021519i,-0.013433-0.0044011i,6.1182e-05+0.00043095i,0.010023-0.00091841i,0.0061297-9.4726e-05i,-0.0036288+0.0039026i,0.0036433+0.0018093i,-0.0026391+0.0071123i,0.012744-0.087881i,-0.0075368-0.048679i,-0.025464-0.039281i,-0.020601-0.041698i,0.062011-0.018933i,0.0264-0.062095i,0.03795-0.045742i,0.029317-0.05732i,0.018837-0.01568i,0.0085715+0.0096938i,0.023626-0.032642i,-0.0074934-0.0045088i,0.002317-0.0029842i,-0.0047911-0.0061512i,0.00070482-0.031468i,-0.023348+0.03149i,0.0077336-0.010554i,-0.011115-0.0014319i,-0.005362-0.0010677i,-0.0013989-0.013767i,-0.010177+0.0043475i,0.0039094+0.0080437i,-0.01053+0.030706i,0.0056913+0.0076169i,-0.0052185-0.0013103i,-0.001821-0.0017809i,-0.011271-0.007329i,0.00060417-0.003554i,-0.034983+0.0052832i,0.0022034-0.012576i,-0.0089322-0.001862i,-0.0064979-0.0027136i,0.0066195+0.0013402i,-0.0094792+0.00174i,0.0011814+0.00077108i,0.005433+0.0087259i,0.0043056+0.00029403i,-0.0089248-0.009788i,0.0028585+0.0084115i,-0.019111+0.0065605i,0.0065744+0.0025023i,-0.029176-0.0083111i,-0.033872+0.0032779i,0.024574-0.079251i,0.012154-0.010425i,-0.043593-0.026629i,-0.023556-0.0035843i,0.018197+0.012577i,-0.026434+0.012472i,-0.012079-0.0086152i
-0.013773+0.020432i,0.012635+0.046908i,0.026657+0.04483i,0.00050372+0.017179i,-0.0022047+0.0064395i,0.026937+0.00093062i,0.014289+0.016309i,0.01335+0.044357i,0.0056706+0.020233i,-0.0020962+0.0052618i,0.00091561+0.0016608i,0.0028289-0.0044938i,0.002532-0.0025487i,0.0035267-0.00034443i,0.0030697-0.0022719i,0.0049909-0.0011364i,0.012707-0.0065232i,-0.00039963-0.00076706i,-0.004822+0.00060797i,-0.00014928+0.0023346i,-0.00051195-0.0011235i,-0.0050648-0.0017258i,-0.0023838+0.00060076i,0.0045302+0.0076339i,0.0019812+0.001601i,0.0025089+0.00078659i,0.0020361+0.0014869i,-0.0014976+0.0032832i,-0.0004109+0.00086201i,-0.00066888+0.0012393i,0.00024517-0.0039788i,-0.0011061-0.0012133i,-0.00063849-0.00046964i,-0.0001792+0.00063617i,-0.00030685-0.0019856i,-0.005567+0.01025i,0.0031986+5.6044e-05i,0.00087878+1.6692e-05i,-0.00093069+0.0024886i,-7.4307e-05-0.0033562i,-0.0020785+0.00051073i,-0.0025008-0.0018542i,0.0014337+0.0083702i,0.0038516+0.00076909i,-0.028399+0.021791i,-0.054688+0.026462i,-0.028403+0.047879i,-0.017608+0.032855i,-0.0032175+0.049791i,-0.006621+0.03212i,0.010031+0.011185i,-0.0049568-0.006007i,-0.038034-0.0066599i,-0.042521+0.018105i,0.0088728+0.02049i,-0.0016252+0.0028413i,-0.0052709+0.002273i,-0.011471-0.0029888i,0.0094863+0.0015304i,0.012029+0.014025i,-0.0026036+0.0080696i,-0.0066174-0.012006i,0.0050989-0.00223i,-0.004759-0.0043637i,0.0038028-0.0072866i,0.0050166-0.0024096i,-0.00092004+0.0096253i,0.012346-0.005008i,0.0073225-0.0067012i,0.0053286-0.0070012i,0.0033764-0.00063841i,-0.003196-0.0060913i,-0.0037294-0.0016444i,0.0028948-0.0011433i,-0.012459+0.035338i,-0.0054186-0.0047389i,0.001449+0.00083916i,-0.00065503-0.0075778i,0.0030232-0.001119i,-0.014336-0.0046528i,0.001349-0.00069034i,0.0031744-0.0030585i,0.0023459-0.00237i,3.1883e-05-0.0057667i,-0.0012666+0.006874i,-0.00051935+0.0031647i,-0.0021291+0.0055682i,-0.011108-0.0019461i,-0.0088135+0.0031537i,-0.039333+0.040281i,-0.0072564+0.016279i,-0.022829-0.0051623i,-0.00043918-0.0014522i,0.010195+0.019556i,-0.00082994+0.019489i,-0.00611-0.0006634i
-0.01109+0.020243i,0.019599+0.042684i,0.034351+0.039359i,0.004414+0.019031i,0.0014586+0.0067406i,0.026693-0.0048171i,0.015294+0.012815i,0.020703+0.039604i,0.0082102+0.018573i,-0.00031228+0.0051256i,0.0018508+0.0016362i,0.0003097-0.003384i,0.0012161-0.0024745i,0.0033571-0.00050171i,0.0023807-0.0027792i,0.0041206-0.0010979i,0.009282-0.0090041i,0.00023485-0.00044131i,-0.0045857+0.0012534i,0.00079603+0.0014233i,-0.0010642-0.0012964i,-0.0053269-0.00041069i,-0.0022112+0.00066683i,0.0081245+0.0047343i,0.0018354+0.0017155i,0.0029837-0.00042096i,0.0021441+0.00050105i,-0.00010544+0.0035208i,-0.00059654+0.0014276i,-0.00029226+0.001459i,-0.0013782-0.0035191i,-0.001735-0.0010541i,-0.00098204-0.00027748i,0.00018745+0.00045993i,-0.0012626-0.00060395i,-0.0018725+0.010746i,0.0026256-0.0011626i,0.00089478-8.4238e-05i,0.0005206+0.0021015i,-0.00088002-0.0028378i,-0.0017076+0.00069654i,-0.0029517-0.00069606i,0.0031498+0.0085424i,0.0031273+0.00020032i,-0.023434+0.026294i,-0.046636+0.034926i,-0.022049+0.052223i,-0.010467+0.034361i,0.0098579+0.045514i,0.0024921+0.029331i,0.0053525+0.0046086i,-0.011562-0.0097729i,-0.042094-0.0049011i,-0.033569+0.018789i,0.013256+0.016613i,-0.0021445+0.0032579i,-0.0041238+0.0062098i,-0.011608+0.0017111i,0.008084-0.0018649i,0.014618+0.011191i,0.0015699+0.01151i,-0.012242-0.010029i,0.0021996-0.0032537i,-0.004539-0.0018076i,-0.00072003-0.0068893i,0.0034771-0.0042312i,0.0036818+0.0073709i,0.008173-0.0081051i,0.0026273-0.0082936i,0.0019026-0.0051557i,0.0042327-0.0017044i,-0.0043347-0.0044201i,-0.001819+0.00071113i,0.0029588-0.0016226i,0.0062152+0.035667i,-0.0068607-0.0034782i,0.0020741-0.00087217i,-0.0042397-0.0062889i,0.0033916-0.0018312i,-0.013677+0.0019768i,0.0014675-0.00041485i,0.0016127-0.0029652i,0.0021601-0.0035319i,-0.0019283-0.005501i,0.00088228+0.0037687i,0.00094859+0.0026927i,0.0010942+0.0060897i,-0.010719+0.0019262i,-0.008567+0.0045325i,-0.030996+0.041682i,-0.0044354+0.018796i,-0.024337-0.00039666i,-0.0017301-0.00546i,0.012758+0.018507i,0.003088+0.021485i,-0.0082656-0.00031284i
-0.0092124+0.020492i,0.025115+0.037308i,0.042169+0.031248i,0.011203+0.017291i,0.0056119+0.0053258i,0.025019-0.010706i,0.015461+0.0092148i,0.02702+0.03336i,0.011297+0.017552i,0.00072174+0.0046491i,0.0023467+0.00059579i,-0.00020472-0.0013969i,5.1346e-05-0.0024098i,0.003385-0.0010301i,0.0016618-0.0029574i,0.0033782-0.0011562i,0.0058552-0.01038i,0.00020025-0.00096286i,-0.0043303+0.0025326i,0.00083321+0.00021841i,-0.0019792-0.0013051i,-0.0050149+0.0012286i,-0.0023065+0.00094357i,0.0086095+0.00016936i,0.0026567+0.0010228i,0.00229-0.0017133i,0.0019678-0.00021424i,0.0014495+0.0028777i,0.00035901+0.0017406i,3.5777e-05+0.0016674i,-0.0027021-0.0023072i,-0.0023697+0.00016096i,-0.00099733+0.00023824i,0.00016571+0.00016381i,-0.0008421+0.00055268i,0.001191+0.010173i,0.0017291-0.0016543i,0.00082479-0.00058359i,0.00097839+0.0012973i,-0.0016992-0.00239i,-0.0016054+0.000887i,-0.0028142+0.00042803i,0.0055649+0.0084629i,0.0029534-4.6293e-05i,-0.016826+0.02951i,-0.037694+0.041266i,-0.013766+0.055559i,-0.0027731+0.033014i,0.020907+0.037247i,0.01033+0.026845i,-0.00091151+0.002098i,-0.018049-0.0090913i,-0.045577+0.00084838i,-0.026794+0.016358i,0.016181+0.011161i,-0.0023218+0.003825i,-0.00215+0.0076758i,-0.010896+0.0053945i,0.0048796-0.0055844i,0.016918+0.0070139i,0.0068229+0.011526i,-0.016254-0.0056021i,0.00089295-0.0018379i,-0.003988+0.00033i,-0.0029639-0.0048696i,0.0012404-0.0044741i,0.0057054+0.0058574i,0.0051648-0.0086234i,-0.0021545-0.0068776i,0.0015773-0.0034722i,0.0038931-0.0041372i,-0.0059258-0.0025385i,-0.00029653+0.00034787i,0.0018976-0.0025495i,0.021177+0.026929i,-0.0082713-0.00090593i,0.0018948-0.0019756i,-0.0041248-0.0037193i,0.0040492-0.0035963i,-0.010021+0.0070464i,0.0025786-0.00039701i,3.597e-05-0.0031161i,0.00058672-0.0035428i,-0.0036852-0.0037356i,0.00031283+0.0027163i,0.0020337+0.0015608i,0.0036203+0.005028i,-0.0095588+0.0045807i,-0.0079342+0.0068211i,-0.024783+0.041952i,0.0031266+0.019898i,-0.023715+0.0037455i,-0.0042963-0.008606i,0.017358+0.015116i,0.0091898+0.022383i,-0.0097544+0.0015384i
-0.0072563+0.021146i,0.028461+0.032032i,0.046539+0.02065i,0.015995+0.011824i,0.0086306+0.0016173i,0.02156-0.015613i,0.014845+0.0066958i,0.030745+0.026079i,0.014962+0.014824i,0.0014647+0.0044873i,0.002122+0.0002095i,0.00047398-0.00039341i,-0.001337-0.0011879i,0.0029177-0.0015231i,0.00081562-0.0031112i,0.0029637-0.00077016i,0.0020666-0.010209i,7.3133e-05-0.00098052i,-0.0026852+0.0036216i,0.00011244-0.00028205i,-0.0025816-0.00030787i,-0.0042926+0.0029892i,-0.0021737+0.0015612i,0.0067702-0.0031763i,0.0025065+7.0029e-05i,0.0011571-0.0020679i,0.0015336-0.00072683i,0.0019532+0.001713i,0.0010524+0.0010425i,0.00070382+0.0019718i,-0.0032513-0.00050491i,-0.0018741+0.0013011i,-0.00076635+0.00057989i,-3.4333e-05+0.00025537i,-0.00012224+0.00090465i,0.0039038+0.0089351i,0.0010722-0.0019359i,0.00035948-0.00088917i,0.0010917+0.0011937i,-0.0022975-0.0017868i,-0.0013561+0.0012139i,-0.0025967+0.0011502i,0.0082043+0.0073442i,0.0028523-0.00043552i,-0.0094007+0.02962i,-0.027343+0.045451i,-0.0048737+0.057901i,0.00202+0.030383i,0.028932+0.025492i,0.017492+0.020371i,-0.0077306+0.0040753i,-0.025099-0.0052572i,-0.047368+0.0091746i,-0.023515+0.012591i,0.017338+0.0046761i,-0.0019959+0.0051903i,0.00046494+0.0096349i,-0.0089126+0.0088269i,-0.00058073-0.0055788i,0.018558+0.0010695i,0.011833+0.0090615i,-0.018382+3.7046e-05i,0.00080026-0.0015065i,-0.0026275+0.0015071i,-0.0039047-0.001835i,-0.00013637-0.0040695i,0.0072892+0.0026893i,0.0023206-0.0088938i,-0.0047054-0.0025818i,0.0019849-0.0030228i,0.0018245-0.0060202i,-0.0059508+0.0003759i,0.00058816+0.00042988i,0.0010927-0.0027577i,0.029392+0.013072i,-0.0079068+0.0030049i,0.0015588-0.0030956i,-0.0039433-0.0022396i,0.0026456-0.0063097i,-0.0049056+0.0085727i,0.0034484-0.0018199i,-0.0010789-0.0019308i,-0.00015659-0.0031867i,-0.0036465-0.001301i,-0.00015322+0.0030598i,0.0020013+0.00018662i,0.0056429+0.0032971i,-0.0079368+0.006368i,-0.0068437+0.0088898i,-0.018984+0.043551i,0.013263+0.01465i,-0.021288+0.0079302i,-0.0098995-0.01018i,0.018936+0.0099046i,0.015785+0.020024i,-0.0088318+0.0028102i
-0.0046094+0.021984i,0.031879+0.02775i,0.047866+0.01092i,0.018214+0.0053652i,0.0091468-0.0029725i,0.017753-0.019266i,0.014395+0.0053603i,0.03264+0.019442i,0.018056+0.011222i,0.0023533+0.0041661i,0.0019895+0.00017479i,0.0013597-0.00036314i,-0.0013937+0.00078206i,0.0023644-0.0019824i,1.6567e-05-0.0026943i,0.0031692-0.00024224i,-0.00036507-0.0086271i,-0.000366-0.0010113i,-0.001375+0.0035756i,-0.00052942-0.00014346i,-0.0026387+0.00054348i,-0.0025081+0.0041213i,-0.001628+0.002108i,0.0040234-0.0049834i,0.0021221-0.00061065i,0.00041795-0.0021279i,0.0010417-0.0010808i,0.0017361+0.0008592i,0.00092343+0.00046378i,0.0016942+0.0016631i,-0.0026019+0.00094072i,-0.0010824+0.0019202i,-0.00052628+0.00069953i,0.00025682+0.00080061i,0.00058088+0.0010535i,0.0060396+0.0071913i,0.00027033-0.001953i,-0.00018709-0.00076775i,0.0017918+0.00099697i,-0.0025632-0.0010401i,-0.0010534+0.0012024i,-0.0020796+0.0019475i,0.010215+0.0047467i,0.0022644-0.0011848i,-0.004176+0.027932i,-0.016421+0.046575i,0.0065657+0.058252i,0.0066361+0.028739i,0.030938+0.012838i,0.020367+0.012587i,-0.010874+0.01084i,-0.02961+0.0037884i,-0.046949+0.020198i,-0.024153+0.0096648i,0.014264-0.00071501i,-0.0002497+0.006382i,0.0049535+0.0090817i,-0.0060731+0.011287i,-0.0032659-0.0024124i,0.016809-0.0067186i,0.015285+0.0043086i,-0.01865+0.0059051i,0.00082342-0.00055395i,-0.0015828+0.0020783i,-0.0024197+9.7058e-05i,-0.0020321-0.0027882i,0.0070312+0.00015328i,-0.00040248-0.0082561i,-0.0037505+0.0013604i,0.0024775-0.0036387i,-0.00080666-0.0065148i,-0.0040859+0.0023517i,0.0017971-0.00022953i,0.00055913-0.0022483i,0.030082-0.00107i,-0.0048611+0.0055616i,0.00029169-0.0040145i,-0.0032607-0.0018544i,-9.891e-05-0.0073151i,-0.0012272+0.0076453i,0.0028263-0.0032185i,-0.0010293-0.00022725i,-0.0001132-0.0023033i,-0.0019188-0.00020642i,0.0010322+0.0036766i,0.00094602-0.00077416i,0.0058815+0.00073187i,-0.0063125+0.0068598i,-0.0045036+0.011185i,-0.012191+0.044581i,0.017701+0.0020796i,-0.016573+0.0090624i,-0.015795-0.0087009i,0.019721+0.0051644i,0.020624+0.013469i,-0.0090949+0.0027615i
-0.0015636+0.021887i,0.035494+0.022721i,0.048258+0.0016623i,0.018774-0.0011942i,0.0085364-0.0067368i,0.013432-0.022237i,0.01523+0.0042732i,0.033688+0.013284i,0.020537+0.0062585i,0.0028964+0.0034976i,0.0024058+2.7379e-05i,0.0019772-0.00065219i,9.9651e-05+0.0021163i,0.001804-0.0021427i,-0.00026175-0.002332i,0.0038495+4.7641e-06i,-0.0014469-0.0074751i,-0.00017973-0.0010471i,-0.00044172+0.0034793i,-0.00082468+0.00030428i,-0.0020714+0.0012701i,-0.0004413+0.0039009i,-0.00093876+0.0023388i,0.00088332-0.0055491i,0.0018793-0.001059i,-0.00047041-0.0020764i,0.00046215-0.0012079i,0.0016599+0.00051388i,0.00078802+0.00026481i,0.0021481+0.00073803i,-0.0017679+0.0017639i,-0.0001466+0.0021534i,-0.00030173+0.00093402i,0.00088256+0.00033939i,0.00098818+0.00030171i,0.0070722+0.0049397i,-0.00038764-0.001819i,-0.00031598-0.00035172i,0.0015886+5.385e-05i,-0.0022836-0.0004952i,-0.0011131+0.0014864i,-0.0013381+0.0024078i,0.011102+0.0020106i,0.0014769-0.0010554i,5.1122e-05+0.025485i,-0.0067089+0.044706i,0.018+0.054339i,0.011475+0.026429i,0.02944+0.0018207i,0.020263+0.0059571i,-0.0087219+0.018311i,-0.02839+0.01537i,-0.040485+0.033059i,-0.026741+0.010409i,0.010866-0.0032091i,0.0017858+0.0061929i,0.0076893+0.0064397i,-0.0024148+0.013516i,-0.0036272-1.4149e-05i,0.011238-0.013686i,0.015806-0.002213i,-0.016374+0.010716i,0.0018341-0.00061863i,-0.00034888+0.0021049i,-0.0008817+0.00022087i,-0.0021261-0.00050258i,0.0056513-0.0014752i,-0.0021348-0.0067596i,-0.0011643+0.0034003i,0.0019778-0.0050345i,-0.0032515-0.0052338i,-0.0026198+0.0026644i,0.0019574-0.0017999i,0.00087261-0.0018917i,0.024717-0.013177i,-0.0016057+0.0060324i,-0.0013193-0.0038071i,-0.0034818-0.0011899i,-0.0028765-0.0066227i,0.00084123+0.0063757i,0.0024021-0.0042503i,0.00031564+0.00026177i,-1.7992e-05-0.0029538i,-0.00069757-0.00094386i,0.0022808+0.0037179i,-0.00037304-0.00025335i,0.0049409-0.00068447i,-0.0053561+0.0070976i,-0.00078575+0.012122i,-0.0050919+0.044299i,0.013397-0.0088261i,-0.013731+0.0061367i,-0.021046-0.0038754i,0.018052-0.0012773i,0.0214+0.0067007i,-0.0096438+0.004355i
0.0014354+0.021493i,0.03809+0.016698i,0.046367-0.0083392i,0.016243-0.0087405i,0.0070815-0.010693i,0.0084732-0.024088i,0.016878+0.0022626i,0.033975+0.0073482i,0.020895+0.0006719i,0.0032486+0.0033455i,0.0023965-0.0006035i,0.0023628-0.0020327i,0.0016035+0.0020664i,0.0011789-0.0021863i,-0.00044005-0.0020251i,0.0047823-0.00058967i,-0.0028093-0.0067355i,-0.00085523-0.0012652i,0.00076689+0.0030741i,-0.0010642+0.00089243i,-0.0017108+0.0014712i,0.00081108+0.002702i,-0.00048282+0.0023788i,-0.0020619-0.0045486i,0.0011887-0.002221i,-0.0013281-0.0013835i,-0.0001949-0.0011928i,0.0016076+0.00013536i,0.00095617-4.0037e-05i,0.0020106-0.00019323i,-0.00054371+0.002162i,0.00061113+0.0020956i,-0.00015873+0.0011902i,0.00078776-5.9475e-06i,0.00055764-0.00051999i,0.0073942+0.0029998i,-0.0011128-0.0013451i,-0.00033084-0.00023053i,0.001323-0.00024614i,-0.0017814-0.00025555i,-0.00080077+0.0020022i,-0.00061904+0.0026673i,0.011348-0.0012552i,0.00092617-0.00065599i,0.0032112+0.023049i,0.0012148+0.041287i,0.026873+0.047439i,0.016322+0.023306i,0.024974-0.0071314i,0.018554+0.0015453i,-0.0026541+0.022626i,-0.019789+0.024569i,-0.027535+0.041485i,-0.02856+0.014746i,0.0078142-0.0039589i,0.0033697+0.0050785i,0.008644+0.0031334i,0.0024114+0.01334i,-0.0038479+0.0018127i,0.0012812-0.016192i,0.012609-0.0074981i,-0.013252+0.014374i,0.0021006-0.0020156i,0.00055308+0.0015245i,-0.00062894-0.0005603i,-0.00076355+0.00071841i,0.0044271-0.0016482i,-0.0031921-0.0058685i,0.0014697+0.0033575i,0.0003355-0.0063535i,-0.004534-0.003435i,-0.0012491+0.0028167i,0.00086118-0.003144i,0.0010251-0.0026652i,0.015363-0.020029i,0.00092767+0.0052352i,-0.0022156-0.0030559i,-0.0029797-0.00083539i,-0.0048113-0.0054232i,0.0020098+0.0050406i,0.00144-0.0058969i,0.0012487-0.00022977i,-0.0010721-0.003057i,-0.001078-0.0020669i,0.0041816+0.0033606i,-0.00073138+0.001088i,0.0044051-0.0015842i,-0.0047869+0.008064i,0.0026206+0.011201i,0.001976+0.043341i,0.0060309-0.015883i,-0.015748+0.0028059i,-0.022742+0.0032582i,0.012525-0.0056804i,0.021153+0.00078271i,-0.0079992+0.0053666i
0.0044414+0.02032i,0.039988+0.011029i,0.041834-0.016812i,0.010121-0.013577i,0.0038448-0.013997i,0.0037449-0.024537i,0.018532-0.00088436i,0.033056+0.0018645i,0.020084-0.0049372i,0.0043456+0.0032953i,0.002107-0.00079055i,0.001137-0.003345i,0.0028801+0.0013746i,0.00072922-0.0020682i,-0.00043872-0.0019692i,0.0052768-0.0014952i,-0.0046781-0.0051145i,-0.0013582-0.00078149i,0.0014393+0.0021288i,-0.00074855+0.0018235i,-0.0012967+0.001859i,0.0008521+0.0012649i,-1.9906e-05+0.0024096i,-0.0039207-0.0022443i,-0.00063319-0.0021043i,-0.0016249-0.00053177i,-0.00066102-0.00090607i,0.0014136-0.0001121i,0.00052713-0.00064934i,0.0015204-0.0008517i,0.00062862+0.001872i,0.001244+0.0016925i,0.00046424+0.0013508i,0.00065369-3.9778e-05i,-0.0001273-0.00012653i,0.007283+0.0011388i,-0.0014447-0.00063988i,-0.00042716+0.00010162i,0.0013166-0.00033121i,-0.0014493-0.00029753i,-6.9988e-05+0.0024388i,0.00022789+0.002537i,0.010116-0.0044506i,0.00077214-0.00013013i,0.0060017+0.020245i,0.0074871+0.036744i,0.032826+0.040058i,0.021026+0.018886i,0.018943-0.012608i,0.016248-0.0011875i,0.0039867+0.024003i,-0.0094865+0.027406i,-0.012977+0.044098i,-0.027162+0.020785i,0.0062229-0.0040094i,0.0045143+0.0035906i,0.0080645+0.00033897i,0.0067684+0.011008i,-0.0030456+0.0041965i,-0.0074694-0.012278i,0.0081388-0.010239i,-0.0094333+0.017181i,0.0013018-0.0034742i,0.00081681+0.00090764i,-0.0010897-0.00049069i,0.0010304+0.00094426i,0.004063-0.0019642i,-0.0046242-0.0045068i,0.0033967+0.0019451i,-0.0026302-0.0065257i,-0.0048382-0.0014654i,0.00017106+0.0019914i,5.8282e-06-0.0035945i,0.00034763-0.0037929i,0.0058154-0.021858i,0.0025819+0.0039659i,-0.002757-0.0024124i,-0.0036224-0.0007189i,-0.0063654-0.0034782i,0.0023583+0.0039648i,-0.00094921-0.0074016i,0.0020941-0.0011731i,-0.0015528-0.0022273i,-0.0015934-0.0023603i,0.0051234+0.002247i,-0.00014455+0.002046i,0.0031853-0.0024043i,-0.0036264+0.0092727i,0.0052286+0.0090578i,0.0098303+0.041368i,-0.0045366-0.019575i,-0.019636+0.0028554i,-0.020402+0.010189i,0.0072985-0.0055778i,0.018159-0.0052714i,-0.0063472+0.0038614i
0.0069713+0.018381i,0.041443+0.0044276i,0.036428-0.022943i,0.0043742-0.014432i,-0.00012397-0.015868i,-0.00022497-0.024461i,0.019492-0.0054979i,0.031977-0.0030896i,0.017563-0.0098981i,0.0056059+0.0022188i,0.0024201-0.0010434i,-0.00035748-0.0031815i,0.003471-0.0002895i,0.0004307-0.0019907i,-0.00065644-0.0020743i,0.0056312-0.0024393i,-0.0051421-0.0027502i,-0.0013193-0.00068201i,0.0014388+0.0012064i,0.00015438+0.0020897i,-0.00075482+0.0020453i,0.00042775+0.00043931i,0.00054132+0.0023188i,-0.0043946+0.00076281i,-0.0013737-0.00092611i,-0.0015655+0.00021419i,-0.00090511-0.00054758i,0.001126-0.00036343i,-0.00011345-0.00034721i,0.00078928-0.0013433i,0.0015007+0.0011311i,0.0016359+0.0011842i,0.0011638+0.00099438i,0.0008502-0.00010586i,-8.3296e-05+0.00059876i,0.0066208-0.00050117i,-0.0016308+0.00017191i,-0.00018184+0.00034438i,0.0012329-0.00087098i,-0.0011407-0.00039972i,0.00087657+0.0022877i,0.00099076+0.0021974i,0.0076902-0.0068887i,0.0007452+0.00036778i,0.0074844+0.017567i,0.011386+0.031586i,0.037332+0.032713i,0.02406+0.012757i,0.01298-0.015661i,0.014612-0.0014072i,0.010961+0.023365i,-0.00015885+0.027619i,9.866e-05+0.041471i,-0.023259+0.026581i,0.00503-0.0047322i,0.0053411+0.0014371i,0.0074499-0.001764i,0.0098617+0.0070698i,-0.00084568+0.0049966i,-0.011725-0.0057677i,0.0033351-0.011403i,-0.0042154+0.018293i,-0.00069972-0.0039876i,0.00028653+0.00082585i,-0.0012663+3.1813e-05i,0.0020961+1.9068e-05i,0.0036227-0.0016891i,-0.005216-0.0023093i,0.0037995+0.00015673i,-0.00505-0.0046969i,-0.0040632+0.00020644i,0.0004023+0.00070872i,-0.00081384-0.0041251i,-0.0011582-0.0042097i,-0.0023973-0.020165i,0.003988+0.00197i,-0.0036216-0.0016078i,-0.0039284+0.00090174i,-0.0066155-0.00066649i,0.002951+0.0036678i,-0.0045527-0.007289i,0.0023376-0.0028495i,-0.001799-0.0020263i,-0.0022774-0.0029132i,0.0062261+0.00086378i,0.00082785+0.0023817i,0.0020115-0.0017973i,-0.0017776+0.0096165i,0.0067076+0.0064311i,0.017483+0.037118i,-0.015782-0.017142i,-0.023133+0.0051874i,-0.015124+0.013618i,0.0046584-0.0043865i,0.012761-0.0085808i,-0.0077467+0.0029293i
0.0086252+0.016396i,0.041517-0.0026905i,0.03106-0.028061i,0.00040408-0.013693i,-0.0042148-0.016538i,-0.0044955-0.0243i,0.018781-0.011253i,0.030722-0.0081844i,0.013741-0.013923i,0.0062911+0.00065028i,0.0026542-0.002012i,-0.0013806-0.002388i,0.0028771-0.0017878i,0.0002127-0.0018709i,-0.0012402-0.0021917i,0.0058151-0.003838i,-0.0049229-0.00098278i,-0.0016212-0.00070023i,0.0013229+0.00069834i,0.00090836+0.0019156i,-0.00027611+0.0022446i,-0.00023945+0.00030707i,0.00099653+0.002056i,-0.0031056+0.0034i,-0.0011459+0.00013079i,-0.0013+0.00091497i,-0.0010231-0.00016347i,0.00081712-0.00045245i,-0.00018894-6.4724e-05i,-0.0001087-0.0013473i,0.0018619+0.00017335i,0.0019598+0.00061563i,0.0014353+0.00052291i,0.00073427-0.00075854i,0.00050409+0.00075214i,0.0057912-0.0018437i,-0.0013161+0.00093148i,0.00016619+0.00043522i,0.00026614-0.0011543i,-0.00082726-0.0006724i,0.0015945+0.0019363i,0.0014749+0.0016901i,0.0049115-0.0076436i,0.0011206+0.0012583i,0.0084361+0.015463i,0.013567+0.027705i,0.040526+0.02525i,0.024835+0.0075049i,0.0068863-0.017409i,0.015951-0.00093379i,0.017398+0.019953i,0.0098314+0.024582i,0.011506+0.034698i,-0.015971+0.030983i,0.00361-0.0052764i,0.0046048-0.0016783i,0.0065097-0.0040706i,0.010248+0.0021661i,0.0004306+0.0044759i,-0.012645+0.0016307i,-0.0014336-0.010454i,0.00023457+0.01652i,-0.0024738-0.0031579i,0.0002031+0.00145i,-0.0011504+0.00051538i,0.0028016-0.0013514i,0.0043089-0.00092875i,-0.0041862-0.00063329i,0.0036825-0.00051563i,-0.0060411-0.0023511i,-0.0029388+0.0010048i,7.415e-05+0.00027526i,-0.0030966-0.0045647i,-0.0025449-0.0036231i,-0.0091161-0.016727i,0.0041868-0.00044146i,-0.0040246-0.00032271i,-0.0026411+0.0020639i,-0.0058353+0.0015599i,0.0042034+0.0032402i,-0.0073382-0.0047878i,0.0011002-0.0045615i,-0.002596-0.0015164i,-0.0041007-0.0026594i,0.0068231-0.0016976i,0.0020259+0.002709i,0.0024095-0.0015357i,0.00034722+0.010104i,0.006911+0.0036777i,0.023911+0.030693i,-0.022167-0.0088798i,-0.026066+0.0099362i,-0.010151+0.015032i,0.0021351-0.0027796i,0.0082105-0.0082557i,-0.0085582+0.0034588i
