-0.022958-0.038333i,-0.0092072-0.050809i,-0.017251-0.046695i,-0.030965-0.035756i,-0.029725-0.017518i,-0.051008-0.028761i,-0.060081-0.026511i,-0.045338-0.039409i,-0.02569-0.032361i,0.0078709+0.013028i,-0.0059677+0.016019i,-0.0050619+0.014828i,0.0099979+0.020826i,-2.0551e-05+0.0050327i,0.0036235+0.0035591i,0.0070458+0.01856i,0.028471+0.037038i,-0.0027282-0.001402i,-0.0049404-0.0063534i,0.0081666+0.0017225i,-5.2098e-05-0.0010797i,-0.0010693+0.0022476i,0.00015861-0.00036387i,-0.03064-0.0017208i,-0.0018-0.0063172i,0.001765+0.0044566i,0.003949-0.0009587i,-0.00044795+0.0005924i,0.00061707-0.00037444i,-0.00073984-0.0026836i,-0.0018821-0.0062735i,-0.0049724-0.0050386i,-0.0023179-0.0049579i,0.0024512-0.00051813i,0.0022317-0.0029323i,0.00020187+0.026704i,0.0016751-0.0036351i,0.0026843+0.00088906i,0.0055707+0.00090314i,-0.010675-0.0030331i,-0.0036308+0.00027763i,0.0058669+0.00044305i,0.005871+0.00028444i,-0.0035706+0.0047155i,0.0022112-0.0090637i,-0.011567+0.016509i,0.035224-0.091226i,0.012856-0.071112i,-0.015795-0.060068i,-0.016686-0.05625i,0.037356-0.04852i,0.016584-0.063615i,0.03428-0.056226i,0.03217-0.059675i,0.014846-0.013445i,0.0041741+0.017076i,0.015991-0.026763i,-0.012131+0.0067667i,-0.00044258+0.0057993i,-0.0050415-0.00068393i,-0.0028294-0.02821i,-0.02442+0.030674i,0.010639-0.011898i,-0.012464-0.0026664i,-6.0927e-05-0.0051464i,-0.0021208-0.016401i,-0.0077748+0.0047948i,0.0054629+0.0059242i,-0.0060461+0.030677i,0.0062901+0.0063711i,-0.0049335-0.00079767i,-0.0030106-0.00026265i,-0.012293-0.0083248i,-0.00046455-0.004467i,-0.033543-0.030495i,-2.889e-06-0.0099993i,-0.0092192-0.0019301i,-0.0065969-0.0028465i,0.0068119+0.0032803i,-0.0078929+0.0012136i,0.00043357+0.00025198i,0.0062612+0.010953i,0.0036828+0.0017109i,-0.008653-0.01107i,0.0031222+0.0086815i,-0.020969+0.0067819i,0.0084371-0.00018489i,-0.029013-0.0034478i,-0.042943+0.0029462i,0.014298-0.10454i,-0.0023129-0.012507i,-0.053835-0.022005i,-0.023182+0.00090114i,0.018585+0.010895i,-0.024077+0.012661i,-0.018505-0.012688i
0.0074916+0.021649i,0.012334+0.052959i,0.024721+0.036586i,0.018022+0.028607i,0.025338+0.028467i,0.034259-0.014596i,0.018996-0.0083872i,0.03025+0.0074587i,0.012131+0.014406i,0.0030301+0.0046368i,0.0046326+0.0029663i,0.0042925+0.0033493i,0.0060811+0.0028349i,0.0051523+0.0040596i,0.0032002-0.0034368i,0.0084028-0.0015796i,0.0099735-0.0052238i,-0.0018004-0.0013682i,-0.0037108+0.0015647i,7.9458e-05+0.0012499i,-0.0010151-0.00030252i,-0.0028542+0.0012794i,-0.0018657+0.0011249i,0.0046986+0.007834i,0.0015881+0.0012255i,0.0023412+0.00058301i,0.0018965+0.0012346i,0.0011221+0.0015148i,0.00068605+0.00020233i,-0.00046562+0.00097315i,-0.0017458-0.0032432i,-0.00076034-0.00050436i,-0.0012066+0.00091695i,-0.0011371+0.00024367i,-0.00056193-0.0018571i,-0.0076892+0.0075408i,0.0013713+0.00023418i,0.0014154-0.0005021i,-0.00096418+0.0027211i,-8.7303e-05-0.0036374i,-0.0012018+0.00048781i,-0.0023007-0.0004975i,0.0021461+0.0005931i,0.0068103+0.0043391i,-0.016442+0.035013i,-0.080649+0.034384i,-0.051859+0.039153i,-0.037049+0.060854i,-0.019107+0.073485i,-0.0078231+0.051027i,0.013989+0.036998i,0.0042356+0.0002842i,-0.036737+0.009542i,-0.045813+0.020032i,0.0016017+0.024542i,-0.0082807+0.0020058i,-0.010758-0.00050183i,-0.013937-0.0036091i,0.0019697+0.00056092i,0.0060246+0.0096329i,-0.0019073+0.008262i,-0.0061982-0.01187i,0.0049267-0.0071371i,-0.0065066-0.0072737i,0.0018822-0.0061556i,0.0035463-0.0040812i,-0.0016098+0.010041i,0.0092367-0.0041885i,0.0046804-0.0067732i,0.0029362-0.0058904i,0.0031251-0.00019647i,-0.0012825-0.0043543i,-0.0035928-0.00077581i,0.0026709-0.00022945i,-0.0076314+0.016819i,-0.0034608-0.003829i,0.0019573+0.00021726i,0.0004955-0.0062119i,0.002588-0.001702i,-0.016005-0.0032614i,0.00072051+3.0049e-06i,0.0053849-0.0030223i,0.0032808-0.00099685i,-0.00012967-0.0048393i,-0.00044044+0.0051914i,-0.0013313+0.0068579i,-0.0027827+0.0042263i,-0.012842+0.0025886i,-0.014667-0.0019055i,-0.040037+0.056936i,-0.0005034+0.0049879i,-0.025352-0.01709i,-0.0057948-0.0032111i,0.010061+0.020435i,-0.0020455+0.022448i,-0.00041294-0.0010301i
0.010045+0.018039i,0.020843+0.048688i,0.030555+0.031979i,0.022976+0.026094i,0.031345+0.024255i,0.030806-0.02069i,0.016131-0.012048i,0.031141+0.0018692i,0.014167+0.011374i,0.0043527+0.0033039i,0.0054722+0.0018172i,0.0041395+0.0031766i,0.0062619+0.001713i,0.0058244+0.0027196i,0.0020943-0.0040505i,0.0068945-0.0031727i,0.0066604-0.0073863i,-0.0014467-0.0010099i,-0.0031523+0.0015796i,0.00061527+0.00047411i,-0.001355-0.00033621i,-0.0025051+0.0018977i,-0.0014884+0.0011425i,0.0082969+0.0052888i,0.0016599+0.0013717i,0.0026261-0.00049809i,0.0020465+0.00028405i,0.0016914+0.00081504i,0.00030841+9.9874e-05i,-0.00031483+0.0010455i,-0.0030074-0.0021813i,-0.001242-0.00056629i,-0.00086747+0.0012087i,-0.00090886+0.00061344i,-0.0014243-0.00065892i,-0.0043335+0.0085895i,0.0011099-0.00024735i,0.001092-0.0008859i,0.00053834+0.0025666i,-0.0013277-0.0030072i,-0.0010606+0.00044036i,-0.0023958+0.00020395i,0.0017715+0.00065244i,0.0071463+0.0031994i,-0.0094638+0.03703i,-0.069232+0.048417i,-0.047577+0.047968i,-0.026885+0.06476i,-0.00278+0.070744i,0.0027202+0.048963i,0.015869+0.035491i,-0.00062262-0.0043968i,-0.037898+0.011931i,-0.037188+0.022047i,0.007381+0.02212i,-0.0089148+0.0046749i,-0.0099413+0.0051356i,-0.014292+0.00016167i,0.00091143-0.00069408i,0.007539+0.0091468i,0.0022213+0.01118i,-0.012468-0.010271i,0.00072654-0.0073196i,-0.006235-0.0032963i,-0.0014932-0.005932i,0.0012796-0.0052844i,0.0029132+0.0078709i,0.0060993-0.0067002i,-4.6251e-05-0.0072946i,0.00021246-0.003832i,0.0039481-0.0013901i,-0.0026606-0.003751i,-0.0012619+0.0013238i,0.0030004-0.00064717i,-0.0014961+0.023515i,-0.0051435-0.0029259i,0.0024884-0.0016238i,-0.0029054-0.005534i,0.0029821-0.0023319i,-0.014832+0.0036994i,0.0012364+0.00031614i,0.0035481-0.0032314i,0.0033046-0.0024371i,-0.001656-0.0041304i,0.0013113+0.0024783i,0.0019597+0.0056516i,-2.167e-05+0.0052333i,-0.011193+0.0067019i,-0.015875+0.0014235i,-0.029124+0.05826i,0.000232+0.0063489i,-0.029238-0.011612i,-0.0090452-0.0087607i,0.013021+0.018805i,0.0024021+0.024236i,-0.0024002-0.0018175i
0.011354+0.0152i,0.027532+0.042245i,0.036247+0.02508i,0.028784+0.021156i,0.03724+0.018461i,0.02594-0.026238i,0.012502-0.015205i,0.031103-0.0043962i,0.015712+0.008543i,0.0046212+0.0015891i,0.0054061-1.0677e-05i,0.005013+0.0029321i,0.0062348+5.5595e-05i,0.0062932+0.00091763i,0.00082848-0.004232i,0.0051825-0.0041597i,0.0036908-0.00796i,-0.0016679-0.00095469i,-0.002918+0.0019527i,0.00043978-0.00050943i,-0.0019429-0.00014181i,-0.0018029+0.0025111i,-0.0013601+0.001191i,0.0093214+0.00085742i,0.0024781+0.00070858i,0.0018995-0.0015182i,0.0017897-0.00049977i,0.0020284+7.1196e-05i,0.00027022+0.00018287i,-0.00015747+0.0012321i,-0.0037698-0.00051339i,-0.0019091+0.00032886i,-0.00021012+0.0014912i,-0.00062102+0.00096871i,-0.0011548+0.00038814i,-0.0020276+0.0091922i,0.00078159-0.00038055i,0.00064189-0.0013374i,0.0010949+0.0017278i,-0.0022381-0.0022616i,-0.0010658+0.00048926i,-0.0022471+0.00085893i,0.0017613+0.0010854i,0.0079141+0.001796i,-0.0010941+0.037479i,-0.05673+0.059085i,-0.039095+0.056158i,-0.015412+0.065513i,0.01156+0.063962i,0.012257+0.046911i,0.014082+0.031125i,-0.0058929-0.0057527i,-0.038089+0.017468i,-0.0304+0.021087i,0.011863+0.017712i,-0.0082371+0.0071223i,-0.0078215+0.0082594i,-0.012284+0.0043301i,-0.00091308-0.0021656i,0.0097719+0.0073457i,0.0071152+0.010748i,-0.016767-0.0057265i,-0.0012833-0.0051335i,-0.0054256-0.00046728i,-0.0033179-0.0038772i,-0.0011309-0.0047307i,0.0051777+0.0065539i,0.0039419-0.0071234i,-0.0046021-0.004533i,0.00033546-0.0018117i,0.0037024-0.0040882i,-0.0045137-0.0022728i,-6.5882e-05+0.0008182i,0.0024779-0.0014597i,0.013123+0.020509i,-0.0065035-0.0010923i,0.0022113-0.0028665i,-0.003048-0.0037329i,0.0032728-0.0039425i,-0.010246+0.0087557i,0.0021486+0.00021265i,0.0020748-0.0037359i,0.0018661-0.0029813i,-0.0015361-0.0023888i,0.00079155+0.0017387i,0.0037504+0.0035084i,0.0025283+0.0045528i,-0.0086779+0.0090293i,-0.016305+0.006103i,-0.020065+0.058001i,0.0046661+0.0062358i,-0.030535-0.0059224i,-0.012351-0.010601i,0.016938+0.015094i,0.0085141+0.02496i,-0.0042808-0.0013621i
0.012133+0.012975i,0.031458+0.03633i,0.038873+0.017072i,0.032449+0.013595i,0.04149+0.010168i,0.01966-0.030169i,0.0082563-0.016981i,0.029178-0.010459i,0.016997+0.0053431i,0.0041564+0.00070317i,0.004613-0.00070251i,0.0058724+0.0018967i,0.0053726-0.00096569i,0.005847-0.00086139i,-0.00049878-0.0040427i,0.0035089-0.0044346i,0.0011297-0.0074467i,-0.0017215-0.00049642i,-0.0015917+0.0023821i,-0.00040181-0.00089183i,-0.0022218+0.00073809i,-0.0010189+0.0029383i,-0.0012192+0.0014589i,0.0078152-0.002752i,0.0023325-0.00037626i,0.001045-0.0017065i,0.0012653-0.00083364i,0.0014168-0.0010332i,0.00033237-5.7031e-06i,0.00018391+0.0014071i,-0.0036672+0.0014373i,-0.0013862+0.0013387i,0.0004177+0.0012765i,-0.00024649+0.0009909i,-0.00067826+0.0010064i,0.0010567+0.0094855i,0.00060172-0.00056014i,-2.5698e-06-0.0015151i,0.0010973+0.0013057i,-0.0027157-0.0014108i,-0.00097048+0.00080534i,-0.0018488+0.0014187i,0.0023286+0.0011924i,0.0084878+0.00013822i,0.0066903+0.034728i,-0.041699+0.066793i,-0.029515+0.061886i,-0.0063815+0.064997i,0.023845+0.05306i,0.021757+0.041279i,0.012138+0.02918i,-0.012271-0.0040716i,-0.036655+0.024151i,-0.025681+0.018596i,0.014847+0.011998i,-0.0063071+0.010013i,-0.0044088+0.011601i,-0.010391+0.007664i,-0.0044682-0.001203i,0.011805+0.0041633i,0.011302+0.0077666i,-0.018878+0.00032638i,-0.0022919-0.0038014i,-0.0034762+0.00094915i,-0.0039447-0.0015393i,-0.0027603-0.003467i,0.0072033+0.0031738i,0.0018097-0.0072942i,-0.0041684+0.0011104i,0.0011584-0.0010317i,0.0015502-0.0059466i,-0.0049258-0.00059163i,0.00072548+0.00083202i,0.0022022-0.0019822i,0.019852+0.010079i,-0.0064781+0.001943i,0.0016697-0.0042218i,-0.0032969-0.0023204i,0.0016729-0.0060864i,-0.0046192+0.010116i,0.0029947-0.0010699i,0.0008571-0.002748i,0.00093651-0.0027975i,-0.001902-0.0028586i,0.00039157+0.0017616i,0.0036348+0.0010221i,0.0044831+0.0036551i,-0.0058947+0.010377i,-0.015224+0.01079i,-0.012207+0.058457i,0.011353+0.0014402i,-0.029273-0.00036692i,-0.017595-0.01053i,0.017915+0.0099666i,0.015499+0.022867i,-0.0047912-0.00084827i
0.013571+0.011209i,0.035367+0.031473i,0.040142+0.01006i,0.033663+0.0058665i,0.042939+0.0012111i,0.013487-0.032545i,0.0041608-0.017061i,0.026313-0.015664i,0.017707+0.0019089i,0.0038363+6.2117e-05i,0.0042863-0.0011122i,0.0064642+0.00064487i,0.0048441-0.0013085i,0.0048739-0.0021518i,-0.0016012-0.0031736i,0.0021761-0.0040409i,-0.0007162-0.0063939i,-0.001983-4.9034e-05i,-0.00088028+0.0021668i,-0.0011225-0.00069828i,-0.0020021+0.0014306i,0.00017578+0.0031759i,-0.00095047+0.0018926i,0.0055266-0.005061i,0.0015835-0.00098312i,0.00042467-0.0016173i,0.00089054-0.0011233i,0.00042744-0.0009105i,0.0001372+2.3519e-06i,0.0010165+0.0012866i,-0.0024783+0.0028722i,-0.00059378+0.0017789i,0.00080611+0.00095336i,0.0001373+0.0012615i,0.00013468+0.0012454i,0.0041107+0.0079773i,0.00020792-0.00054057i,-0.00056907-0.0013228i,0.0016116+0.00092743i,-0.0029264-0.00039967i,-0.00063498+0.00083662i,-0.0012546+0.0018546i,0.0029808+0.00082435i,0.0079895-0.0021717i,0.011943+0.03007i,-0.025419+0.069686i,-0.017912+0.066357i,0.0033184+0.064448i,0.029881+0.04016i,0.028007+0.033993i,0.012929+0.030081i,-0.01614+0.002391i,-0.032875+0.033391i,-0.024401+0.016405i,0.014019+0.0062832i,-0.0028989+0.011822i,0.00095431+0.011873i,-0.0084344+0.010087i,-0.0053888+0.0021464i,0.012313-0.0010765i,0.014133+0.0032867i,-0.018831+0.006234i,-0.0024733-0.0015458i,-0.0025612+0.0013156i,-0.0027425+0.00011831i,-0.0041413-0.0011285i,0.0067593+0.00035532i,-0.00035724-0.0066333i,-0.0023242+0.0030927i,0.0024012-0.0016453i,-0.001186-0.0061327i,-0.0034516+0.00087316i,0.0020082+0.00014722i,0.0017463-0.0023936i,0.020331+0.0008138i,-0.0043333+0.004174i,7.8021e-05-0.0054521i,-0.0026208-0.0018448i,-0.0007656-0.0067394i,-0.00065613+0.0089297i,0.0021736-0.0023229i,0.0010099-0.0013409i,0.00067913-0.0023185i,-0.0013188-0.0013913i,0.00087902+0.0022218i,0.0022373-0.00049851i,0.0053211+0.001457i,-0.0032657+0.010101i,-0.011138+0.015801i,-0.0035819+0.057858i,0.012959-0.0097254i,-0.025666+0.0017514i,-0.022701-0.0086587i,0.018164+0.005421i,0.020545+0.016623i,-0.0060075-0.0010533i
0.015157+0.0088319i,0.03953+0.025811i,0.041159+0.0027848i,0.033499-0.0016962i,0.042799-0.0074345i,0.007002-0.034114i,0.0012519-0.016318i,0.022777-0.020098i,0.018034-0.0019428i,0.0030873-0.00044061i,0.0042702-0.0016331i,0.0067876-0.00075994i,0.00507-0.0018435i,0.0038276-0.0030021i,-0.0021997-0.0022683i,0.0015822-0.003347i,-0.0015924-0.005642i,-0.0017429+0.00047421i,-0.00040077+0.0020151i,-0.0015424-0.00017281i,-0.0013433+0.0019683i,0.0014572+0.0026898i,-0.00028176+0.0022027i,0.0024328-0.0062236i,0.0012609-0.0011313i,-8.6106e-05-0.0015901i,0.00041266-0.0013797i,-2.3417e-05-0.0012591i,5.4061e-05+0.00011964i,0.0014749+0.00061403i,-0.00095399+0.0034916i,0.00030069+0.0018535i,0.00091793+0.00064635i,0.00083376+0.0011226i,0.00056513+0.00069568i,0.0054154+0.0056838i,4.8281e-05-0.00039542i,-0.00088764-0.00091863i,0.0016008+0.0001552i,-0.0027479+0.00033569i,-0.00047072+0.00084359i,-0.00052339+0.0017942i,0.0034438+0.00019582i,0.0069256-0.0035936i,0.015813+0.025174i,-0.010749+0.067997i,-0.0043582+0.066939i,0.013319+0.062078i,0.032167+0.028363i,0.032129+0.026334i,0.01609+0.031215i,-0.015069+0.010889i,-0.024384+0.042201i,-0.025229+0.016905i,0.012241+0.0031555i,0.0010743+0.011962i,0.0046716+0.0099378i,-0.0058862+0.012351i,-0.0043594+0.0043681i,0.0098932-0.0066467i,0.014178-0.0026897i,-0.016504+0.011178i,-0.0013189-0.00077057i,-0.0015074+0.0013207i,-0.0017123+0.00039591i,-0.0033347+0.0017204i,0.0053548-0.0013172i,-0.0018793-0.0052894i,0.00047357+0.00412i,0.002349-0.0032459i,-0.0034421-0.0045241i,-0.0025818+0.0015079i,0.0023155-0.0012655i,0.0016761-0.0027178i,0.017531-0.0069945i,-0.0019267+0.0050066i,-0.0023146-0.0054515i,-0.0027331-0.0015987i,-0.0031917-0.005799i,0.0019112+0.0074006i,0.0022298-0.0029737i,0.0024102-0.0015515i,0.00072589-0.0027388i,-0.00043178-0.0020678i,0.0015782+0.002353i,0.00073972+7.8369e-05i,0.0050133-0.00011265i,-0.0018878+0.0092662i,-0.0049317+0.01783i,0.0047473+0.056042i,0.0067818-0.019027i,-0.02406+0.00030257i,-0.02784-0.0032869i,0.01643-0.0001728i,0.021946+0.00996i,-0.0071603+1.5723e-05i
0.016647+0.0060881i,0.042481+0.01915i,0.040088-0.0055664i,0.031073-0.0096457i,0.040937-0.016613i,8.9882e-05-0.03398i,-0.00076099-0.015668i,0.018434-0.023997i,0.017187-0.0058294i,0.0025631-0.00010381i,0.0037261-0.0023432i,0.006641-0.0029109i,0.0048717-0.0032034i,0.002588-0.0035399i,-0.0025612-0.00122i,0.0014931-0.0030166i,-0.0026145-0.0050249i,-0.0017947+0.00094995i,0.00029276+0.0017707i,-0.0019748+0.00048732i,-0.00082701+0.0020855i,0.0022639+0.0016693i,0.00028745+0.0022276i,-0.0009563-0.0056896i,0.00059744-0.0019668i,-0.00062378-0.0011946i,-0.00030657-0.0013779i,-0.00039144-0.00090881i,0.00029607+0.00018036i,0.0013425-4.5797e-05i,0.00077019+0.0033991i,0.00096385+0.0017263i,0.0008707+0.00030366i,0.001122+0.00072385i,0.00050354+4.4006e-05i,0.0052797+0.0039433i,-0.00014311-0.00036459i,-0.0011544-0.0006327i,0.0013304-0.0002244i,-0.0021516+0.00078759i,-0.00028207+0.000992i,-7.3911e-06+0.0016221i,0.003724-0.00092625i,0.0057747-0.005021i,0.018064+0.020295i,0.0015631+0.06428i,0.0077585+0.063206i,0.023154+0.057857i,0.030867+0.018304i,0.034117+0.019234i,0.021768+0.030728i,-0.0082721+0.016633i,-0.011668+0.046688i,-0.025213+0.020492i,0.010606+0.0011989i,0.0043815+0.01032i,0.0068801+0.0067615i,-0.0023364+0.013309i,-0.0035101+0.0057443i,0.0037754-0.0094481i,0.010854-0.0074646i,-0.013231+0.014693i,-0.00073756-0.0015366i,-0.0010458+0.00077622i,-0.0013079+0.00029658i,-0.00087375+0.0031451i,0.0040147-0.0013288i,-0.002643-0.004435i,0.0030929+0.0033637i,0.0010443-0.0049506i,-0.0043184-0.0027014i,-0.0014151+0.0021073i,0.0015611-0.0026016i,0.0012027-0.0036745i,0.011507-0.012128i,0.00027722+0.0047826i,-0.0036499-0.0041857i,-0.002445-0.0012972i,-0.0048128-0.0046207i,0.003528+0.0055337i,0.0016423-0.0046557i,0.002821-0.0029294i,-0.00023129-0.0034072i,-0.00097728-0.002989i,0.0028697+0.0020011i,0.00085289+0.0017325i,0.0043402-0.00078108i,-0.0010851+0.0091099i,4.6715e-05+0.016619i,0.013051+0.053477i,-0.0021834-0.024148i,-0.02668-0.00096095i,-0.029605+0.0039078i,0.011066-0.0035945i,0.022178+0.0038425i,-0.0063571+0.00075192i
0.01787+0.002491i,0.044877+0.012936i,0.036625-0.012621i,0.025883-0.015682i,0.036307-0.025153i,-0.0057611-0.0322i,-0.0023372-0.015126i,0.01338-0.026384i,0.015858-0.0093753i,0.0029859+0.00035651i,0.0032545-0.0025189i,0.0052101-0.0047819i,0.0040532-0.0042942i,0.0014762-0.0035399i,-0.0023615-0.0002228i,0.001345-0.0028027i,-0.0042649-0.0038349i,-0.0014319+0.0017013i,0.00065009+0.0011024i,-0.0018693+0.0017048i,-0.00022413+0.0023626i,0.0022939+0.00046797i,0.00091265+0.00217i,-0.0031431-0.0035708i,-0.00086733-0.0017026i,-0.00081838-0.00068754i,-0.00073063-0.0011214i,-0.00069295-0.0004677i,0.00034108-0.00014266i,0.0010913-0.00046661i,0.0021545+0.0025286i,0.0015397+0.0011932i,0.00081208+3.3211e-05i,0.0011857+1.5909e-05i,0.00019861+9.536e-05i,0.0055953+0.0018774i,-0.00021802-0.00023417i,-0.0013849-0.00012673i,0.0011615-0.00048263i,-0.0014059+0.0010672i,3.4555e-05+0.0011404i,0.00039718+0.001447i,0.0032238-0.0022849i,0.0035807-0.005785i,0.019355+0.015646i,0.01236+0.058389i,0.016628+0.057748i,0.031953+0.051762i,0.028271+0.011156i,0.034462+0.012614i,0.027218+0.027568i,-0.00064893+0.017218i,0.0019121+0.046481i,-0.022639+0.025167i,0.0097538+0.00010692i,0.0070074+0.0078792i,0.0074158+0.0038769i,0.0017596+0.012934i,-0.0019975+0.0074199i,-0.0020814-0.0081082i,0.0065824-0.0093309i,-0.0086316+0.017686i,-0.00137-0.0022545i,-0.001596+0.00075465i,-0.001176+0.00051662i,0.0017054+0.0027988i,0.0035233-0.001561i,-0.0036595-0.0035448i,0.0043519+0.0011689i,-0.0016415-0.005714i,-0.004369-0.0006587i,-0.000102+0.0016538i,0.00095331-0.0033231i,9.8348e-06-0.0048573i,0.0055093-0.013343i,0.0019583+0.0039559i,-0.0045912-0.0032566i,-0.0031181-0.0012089i,-0.0061652-0.0025826i,0.0039788+0.0041281i,-9.2468e-05-0.006284i,0.0026838-0.0047835i,-0.0011624-0.0030898i,-0.0017526-0.0030825i,0.0032676+0.0015111i,0.0019982+0.0022668i,0.003404-0.001412i,3.4254e-05+0.00932i,0.0038913+0.014509i,0.021527+0.049683i,-0.012669-0.025721i,-0.030674+0.0011185i,-0.028621+0.012974i,0.0067656-0.0033618i,0.019792-0.00178i,-0.0058064-0.00062153i
0.018032-0.0018344i,0.046885+0.0052718i,0.032675-0.01799i,0.020553-0.018778i,0.030138-0.03184i,-0.010473-0.030017i,-0.0036495-0.015058i,0.0085836-0.027925i,0.013835-0.01281i,0.0038112-6.7285e-05i,0.003283-0.0030023i,0.0033206-0.0056232i,0.002907-0.0054766i,0.00064729-0.0033772i,-0.001885+0.0003752i,0.0013608-0.0025994i,-0.0049242-0.0016599i,-0.00062687+0.0014979i,0.00055698+0.00061306i,-0.00095299+0.0023903i,0.00051449+0.0023527i,0.0019435-0.00032458i,0.0015686+0.001756i,-0.0039106-0.00092608i,-0.0013208-0.00068953i,-0.00087494-0.00035814i,-0.0010769-0.00093097i,-0.00077539-0.00024494i,3.9854e-05-7.2675e-05i,0.00068167-0.00080521i,0.0031867+0.0011505i,0.0016223+0.0006518i,0.00077185-0.00021387i,0.0011622+6.1358e-05i,0.000245+0.00038968i,0.0059825-0.00052783i,-0.00023456+1.3319e-05i,-0.0012733+0.00047547i,0.00090346-0.0009306i,-0.00078472+0.0012375i,0.0003605+0.00096352i,0.00069836+0.0011072i,0.0020447-0.0030447i,0.0015197-0.0054443i,0.019786+0.01119i,0.019814+0.05062i,0.023714+0.052511i,0.039179+0.043721i,0.025017+0.0056476i,0.033919+0.00803i,0.03222+0.023626i,0.005686+0.015652i,0.014118+0.041691i,-0.018196+0.029473i,0.0092166-0.0013668i,0.0085664+0.0043632i,0.0078032+0.0015862i,0.0052483+0.010804i,0.00073457+0.0078052i,-0.0054715-0.0049186i,0.002491-0.0095987i,-0.0028183+0.018197i,-0.0026961-0.0022702i,-0.00251+0.0021742i,-0.00098506+0.00071554i,0.0033769+0.0011778i,0.0029918-0.0008178i,-0.0041647-0.0020608i,0.0039494-0.00073785i,-0.0039576-0.004374i,-0.0033797+0.00081501i,0.00023269+0.00058163i,0.00013055-0.0040441i,-0.001911-0.0048156i,0.00080951-0.012802i,0.0034751+0.0023715i,-0.0055607-0.0017725i,-0.0036253+2.8955e-05i,-0.006067-0.00015061i,0.0046415+0.0034264i,-0.0032164-0.0065391i,0.0012522-0.0066684i,-0.0016848-0.0027699i,-0.00257-0.0031636i,0.0044293+0.0011224i,0.0029718+0.0019714i,0.0024496-0.0010101i,0.0013867+0.0090885i,0.0068923+0.011425i,0.029618+0.043878i,-0.023928-0.02217i,-0.033883+0.0048518i,-0.02214+0.018219i,0.0043365-0.0021883i,0.015669-0.0054059i,-0.0080451-0.0013864i
0.016626-0.0059153i,0.047092-0.0033287i,0.028646-0.022685i,0.016041-0.020494i,0.023164-0.037079i,-0.015075-0.027489i,-0.0053476-0.01574i,0.0036247-0.029022i,0.010927-0.015655i,0.0042178-0.00087658i,0.0029683-0.0040307i,0.0014849-0.0057615i,0.0010821-0.0062049i,-5.6361e-05-0.0032893i,-0.0015762+0.00057777i,0.0014953-0.002694i,-0.0044128+0.00016999i,-0.00035101+0.0013328i,0.00049494+0.00039946i,-5.0867e-05+0.0026396i,0.0011247+0.0020655i,0.0014894-0.00075465i,0.0019908+0.0010783i,-0.0031422+0.0016963i,-0.0010183-4.784e-05i,-0.00086729+1.7262e-05i,-0.0014407-0.00047672i,-0.00068847+0.00042534i,5.002e-05+5.6902e-05i,2.369e-05-0.00085313i,0.0033663-0.00060851i,0.0016207+0.0003037i,0.00065941-0.00050564i,0.0012375-0.00069003i,0.00049629+0.00052901i,0.0094645-0.0078325i,-1.0857e-05+5.2843e-05i,-0.00094904+0.00087961i,0.00013594-0.00099871i,3.3043e-05+0.0010375i,0.00058629+0.00089727i,0.00073631+0.00079427i,0.0007836-0.0031023i,0.00036207-0.0042075i,0.01964+0.0077514i,0.024015+0.044342i,0.030555+0.047149i,0.043874+0.036177i,0.02113+0.0011763i,0.034796+0.0043126i,0.036427+0.018056i,0.011816+0.011758i,0.02346+0.033174i,-0.011512+0.032458i,0.0084443-0.0029362i,0.0080364-0.00010304i,0.0077521-0.0011624i,0.0074084+0.007397i,0.0022245+0.0068942i,-0.007173-0.00054114i,-0.0011202-0.0084459i,0.0014293+0.015529i,-0.0037929-0.0010921i,-0.0018745+0.0043317i,-0.00085715+0.0009949i,0.0039293-0.00084899i,0.0041617+0.0004638i,-0.0034758-0.00077398i,0.0036475-0.0014598i,-0.0051412-0.0026419i,-0.002464+0.00094305i,1.7131e-05+0.00026624i,-0.0020056-0.0046641i,-0.0033787-0.0036275i,-0.0032671-0.011856i,0.0038733+0.00035018i,-0.0056809+0.00032218i,-0.0028651+0.0011216i,-0.0050688+0.0015267i,0.0059319+0.0026078i,-0.0057274-0.0045477i,-0.0014777-0.007912i,-0.0023716-0.0021478i,-0.0043347-0.00291i,0.005233-0.00098906i,0.0043846+0.0020931i,0.002829-0.00067482i,0.0031928+0.0092039i,0.0072234+0.0075808i,0.036268+0.036155i,-0.0309-0.012992i,-0.03691+0.011108i,-0.015879+0.020766i,0.0025588-0.00020823i,0.01238-0.0070121i,-0.0096466-0.0006654i
