-0.026243-0.0047572i,-0.021165-0.0080645i,-0.013332-0.014145i,-0.036232-0.0095516i,-0.026924+0.0015367i,-0.03698-0.0035198i,-0.067283-0.035205i,-0.034009-0.014159i,-0.023658+0.0031368i,0.0068067+0.0065526i,-0.0049363+0.0072913i,-0.0082634+0.018348i,0.0051003+0.007305i,-0.00095393+0.0037386i,0.0039958+0.0042213i,0.0051726+0.026016i,0.021035+0.017881i,0.0012615-0.00077562i,0.00043745-0.0052964i,0.0093591+0.0009271i,0.0047082-0.0021774i,0.0028596+0.0024237i,0.00096915-0.00040931i,-0.022761-0.00085338i,-0.0051459-0.0042376i,-0.00075658+0.0037106i,0.0031493-0.0034189i,-0.0017747-2.2049e-05i,-0.00068887+0.00097578i,-0.0025265-0.0016675i,-0.004194-9.7129e-05i,-0.0059527-0.0087228i,-0.0056568-0.0035614i,-0.00070537-1.7865e-05i,-0.00054804-0.0023135i,-0.00019305+0.019255i,0.0028993-0.0041368i,0.00095176-0.0046054i,0.0028342-0.0021957i,-0.0021113-0.0035872i,0.00098649-0.00015788i,0.0080432-0.00074453i,0.0035243-0.0028321i,0.0001323+0.0022736i,-0.013265+0.015501i,-0.026965+0.053929i,-0.0062709-0.036644i,-0.015464-0.01882i,-0.040407-0.016378i,-0.027516-0.012199i,0.034951-0.0105i,0.0055417-0.030099i,0.013026-0.037968i,-0.0094291-0.029567i,0.024772-0.023358i,0.013338+0.0073915i,0.024352-0.037152i,-0.0018591-0.0045715i,0.0060846-0.0090717i,-0.0007393-0.0057083i,0.00041197-0.034959i,-0.012758+0.029025i,0.0083656-0.011738i,-0.0081148-0.0049507i,-0.0024491-0.0021542i,-0.00020583-0.014942i,-0.0083067+0.006097i,0.0038372+0.0064461i,-0.00026541+0.02775i,0.0027674+0.00034121i,-0.0072022-0.0041083i,-0.0038866-0.0062109i,-0.014285-0.0097379i,-0.0027157-0.0057328i,-0.031743+0.0079967i,-0.0051217-0.0090073i,-0.012648-0.0010593i,-0.0087688-0.0063958i,0.0016303-0.0015375i,-0.013463+0.0029563i,-0.0016852-0.00047554i,0.0056036+0.0058096i,0.003334-0.0051158i,-0.0071421-0.012171i,0.0072224+0.0086342i,-0.01733+0.0041124i,0.0051178-0.00040531i,-0.018517-0.003081i,-0.01652-0.0034844i,-0.015134-0.035135i,0.020588-0.0098229i,-0.040696-0.022774i,-0.0094525+0.0051241i,0.017917+0.015069i,-0.021443+0.01715i,-0.0049247-0.0028802i
0.0077986-0.0096035i,0.011586+0.00052364i,0.0082332+0.0037882i,0.015623-0.0035i,0.018838-0.0015312i,0.017295-0.013497i,0.017127-0.0055636i,0.01229-0.0010158i,0.0014312-0.0097391i,-0.0014291+0.0014839i,-0.0011606-0.00036489i,-0.0014504+0.00023103i,-0.00082478+0.0040726i,-0.0018995+0.0024972i,0.0012069+0.0022086i,0.0011673-7.0199e-05i,0.0032327-0.0026695i,0.001243-0.0010558i,0.0018591+0.0020487i,3.1845e-05+4.8287e-05i,0.00054508-0.0027718i,-0.00080505-0.0018615i,-0.00072137-0.00032383i,0.0021313+0.004177i,-0.0017899+0.00052789i,-0.0019283+0.0014439i,-0.0023621+0.00038151i,-0.0019788+0.00013089i,-0.0020466-0.00096063i,-0.002276+0.00059661i,0.0003131-0.0016275i,0.00046635+0.0013545i,0.0017493+0.00044208i,0.0019909+0.00047997i,0.00096694-0.0006035i,-0.0065584+0.0063814i,-0.0014524-0.00035762i,-0.0011166+0.0002854i,-0.0022553+9.3877e-05i,0.00090229-0.0014517i,0.00020882-0.0011942i,0.001081-0.0011559i,-0.00118+0.001259i,0.002959-0.00021966i,0.0010675-0.012979i,-0.023429-0.0056409i,-0.0016076-0.0053334i,-0.0072124+0.0029387i,0.014723+0.021661i,0.001903+0.0046226i,0.013997-0.013871i,-0.011897-0.027214i,-0.0053746-0.012i,0.0076097-0.00692i,0.016431+0.01965i,0.002361+0.0015828i,-0.001202+0.00029i,-0.0059413-0.00049397i,0.010598-0.0034956i,0.013883+0.0095769i,0.0031372+0.0048826i,-0.0034454-0.0073615i,0.0065388-0.0032754i,-0.0041299-0.0064386i,0.0031792-0.011373i,0.0062263-0.0063874i,-0.00076766+0.0074374i,0.0088828-0.0077541i,0.00481-0.0089702i,0.00044887-0.0067181i,-0.0030411-0.0014606i,-0.0059886-0.0064087i,-0.0059851-0.0025617i,-0.00058465-0.0014033i,-0.005763+0.031215i,-0.010279-0.0021383i,6.3979e-05+0.0028775i,-0.0086803-0.0041932i,-2.0513e-05+0.00052335i,-0.015713+0.0021224i,-0.0030332+0.00172i,-0.0017291-0.0019355i,-0.003753-0.000216i,-0.0054648-0.0042108i,-0.0026515+0.0054071i,-0.0014686+0.0021668i,-0.0054479+0.0058158i,-0.006796+0.00075423i,-0.0023432-0.0011661i,0.008757-0.002426i,-0.0060696+0.017973i,-0.028822-0.0021775i,-0.0092612-0.0032904i,0.011134+0.016311i,-0.0015405+0.01662i,-0.0081275-0.0046933i
0.0062542-0.011549i,0.011312-0.0031158i,0.0089057+0.0026176i,0.014331-0.0052972i,0.018534-0.0047016i,0.014679-0.016237i,0.014033-0.0087525i,0.011958-0.0030409i,-0.00046306-0.010059i,-0.00014324+0.0014743i,-0.00089392+0.00033419i,-0.0014693+0.0015437i,0.00038155+0.0041596i,-0.00083746+0.0030608i,0.0012862+0.0015468i,0.00087361+0.00034074i,0.0015775-0.0033036i,0.0010419-0.0017252i,-0.0011189-0.00070888i,0.00047502-0.00053179i,-0.00015334-0.0027818i,-0.0015984-0.0014779i,-0.00070909-0.00057271i,0.0041662+0.0029415i,-0.0018226+0.0015839i,-0.00097551+0.0022719i,-0.0023868+0.0010744i,-0.0020301+0.00092106i,-0.0027843+0.00015048i,-0.0019931+0.001755i,-0.0015754-0.0012323i,0.00037871+0.00056986i,0.0012039-0.00025863i,0.0031519-0.00095127i,0.0003597-0.00022167i,-0.0047303+0.0084498i,-0.0020075+0.00041314i,-0.0010717+0.00096968i,-0.0024362+0.0010922i,0.00079433-0.0017824i,-3.59e-05-0.0011432i,0.00076173-0.0016415i,-0.0012336+0.0015741i,0.0021477-0.0002605i,-0.00047151-0.012371i,-0.02156-0.0028801i,-0.002636-0.0030346i,-0.0037348+0.00116i,0.024414+0.014495i,0.0055665+0.0020302i,0.0076939-0.01715i,-0.019881-0.026532i,-0.0093674-0.012533i,0.010834-0.013922i,0.01926+0.02747i,0.00058754+0.00018641i,-0.00039019+0.0028522i,-0.0053828+0.001256i,0.0073984-0.0069289i,0.015685+0.0050429i,0.0059141+0.0053675i,-0.007953-0.006878i,0.0028787-0.0048328i,-0.0051597-0.0043223i,-0.0023613-0.010069i,0.0031756-0.0075887i,0.0027938+0.0056581i,0.0043378-0.0092672i,0.00055026-0.0075623i,-0.0026715-0.0035001i,-0.0022373-0.00040353i,-0.0075685-0.0043157i,-0.0092427-0.00083164i,-0.00018275-0.00088819i,0.012017+0.029443i,-0.010297+0.0026003i,0.00087516+0.0018714i,-0.010025-0.0018772i,0.00039606+0.00023773i,-0.01332+0.0085815i,-0.0018096+0.0027648i,-0.002278-0.000368i,-0.0026565+0.00067015i,-0.0063545-0.001878i,-0.00058902+0.0030069i,-0.00047066+0.0017616i,-0.0017877+0.0074846i,-0.0040358+0.0028582i,-0.0035648-0.0010204i,0.0092842-0.0093359i,-0.0019934+0.020111i,-0.029076+0.0037865i,-0.010385-0.0047424i,0.013304+0.01455i,0.0013388+0.017706i,-0.010308-0.0031166i
0.0037936-0.012833i,0.0094-0.0070514i,0.0099378+0.00055417i,0.013443-0.0072072i,0.017965-0.0079131i,0.011513-0.018977i,0.010531-0.011182i,0.011398-0.0051364i,-0.0022682-0.0094563i,-0.00022923+0.00015988i,-0.00057398+0.00028363i,-0.00062788+0.0024738i,0.0014297+0.0035543i,0.00021699+0.0027612i,0.0013769+0.0014117i,0.00079664+0.00063009i,-2.0448e-05-0.0030049i,0.00076814-0.0023014i,-0.001391-0.00082594i,0.00015419-0.0014418i,-0.0010048-0.0028397i,-0.001633-0.00076857i,-0.0010315-0.00073867i,0.0048178+0.00061106i,-0.0011225+0.0024082i,-0.00030322+0.0024547i,-0.002317+0.0023352i,-0.0015877+0.0016973i,-0.0026795+0.0017007i,-0.0011671+0.0026459i,-0.00013893-0.0002038i,4.7635e-05+0.0014117i,0.0009101-0.00033087i,-0.0006418-0.0020375i,0.00039926+0.00028438i,-0.0019283+0.010042i,-0.0018263+0.0017864i,-0.00055416+0.0013589i,-0.0018928+0.00233i,0.00035897-0.0023584i,-0.00010868-0.0011758i,0.00020074-0.0017887i,-0.00098793+0.002292i,0.0022085+0.00012099i,-0.0013868-0.011649i,-0.022215+0.0029669i,-0.0026178-8.0057e-05i,-0.00085617-0.0018595i,0.032637+0.0047235i,0.0083455-9.7777e-05i,0.0012859-0.017536i,-0.026612-0.022985i,-0.012762-0.010181i,0.0097553-0.022594i,0.016988-0.0032092i,-0.0011407+5.9819e-05i,-0.00034428+0.002057i,-0.0055117+0.0022779i,0.0023254-0.0097183i,0.015959-5.6122e-05i,0.0082396+0.0040389i,-0.012461-0.0039604i,0.0012324-0.0037253i,-0.0057656-0.0016125i,-0.0051372-0.0069309i,0.00097434-0.0076701i,0.0049123+0.0046986i,0.0012855-0.0089925i,-0.0018139-0.0066979i,-0.0024902-0.00080209i,-0.0021174-0.00048493i,-0.0094158-0.0012647i,-0.0043736+0.003932i,-0.00080207-0.0013092i,0.021256+0.019122i,-0.0092045+0.0064222i,0.0013912+0.0012161i,-0.0058491-0.00022615i,0.00086771-0.00074734i,-0.0071895+0.012971i,-0.00028124+0.0033034i,-0.0027329+0.0005373i,-0.0022572+0.0015905i,-0.0059577+0.0017048i,-0.0014343+0.0028056i,-9.2503e-05+0.0011641i,0.0015972+0.0074282i,-0.0025848+0.0018938i,-0.0048091+0.0003837i,0.0056989-0.014526i,0.0072278+0.018785i,-0.027036+0.0072514i,-0.012396-0.0060507i,0.01658+0.010302i,0.0054607+0.018354i,-0.01129-0.0010356i
0.0011146-0.013117i,0.005612-0.0087902i,0.009835-0.0020887i,0.012153-0.009424i,0.016511-0.011231i,0.0075204-0.020784i,0.0068377-0.012161i,0.010274-0.0071846i,-0.0034492-0.0087002i,-0.0010965+0.00074681i,-0.00062103+0.00034568i,0.00049694+0.002738i,0.0017519+0.0028648i,0.0005873+0.0025205i,0.0015238+0.0012203i,0.00070469+0.0010315i,-0.0011158-0.0018762i,0.00013905-0.0029122i,-0.0012402-0.00063011i,-0.00075183-0.0018185i,-0.0017769-0.002301i,-0.0016147-0.00053723i,-0.00154-0.00056408i,0.0042879-0.001249i,-0.00017587+0.0028422i,0.00046701+0.0027002i,-0.0011354+0.0036028i,-0.00099355+0.0021444i,-0.0016361+0.0028275i,3.848e-05+0.0029834i,-0.00028866-0.00020204i,0.0012219+0.001568i,0.00086464-0.00042281i,-0.001073-0.0005686i,0.00060127+0.00052541i,0.0012012+0.010497i,-0.00069496+0.0025366i,-0.00015959+0.0014918i,-0.00075583+0.0031113i,-0.00058535-0.0025144i,-0.00039688-0.0013459i,-0.00014986-0.0018866i,-0.00038371+0.0028461i,0.0024902+7.9083e-05i,-0.0017962-0.011755i,-0.019901-0.0018592i,0.0012617+0.0024496i,-0.0016393-0.0060781i,0.036245-0.0098456i,0.010109-0.0044561i,-0.0047744-0.014943i,-0.032407-0.016556i,-0.014554-0.005651i,0.0040627-0.029606i,0.015435-0.0036839i,-0.0021599+0.0016713i,-0.00030822+0.004188i,-0.0050449+0.0039747i,-0.0039074-0.0082664i,0.014328-0.0057607i,0.010122+0.0016101i,-0.01392+0.0025464i,3.8162e-05-0.0036991i,-0.0047273+0.00070079i,-0.0061012-0.0032913i,-0.0012135-0.0076303i,0.0062128+0.001554i,-0.0016481-0.0084428i,-0.0045226-0.0031455i,-0.0016125+0.0009795i,-0.002421-1.4395e-05i,-0.0087733+0.0027366i,-0.0010514+0.0041944i,-0.0015053-0.0012316i,0.024761+0.0088368i,-0.0070346+0.010061i,0.0016872+0.00026686i,-0.0041909+0.0018032i,-6.4189e-06-0.0017347i,-0.00079396+0.013075i,0.0016336+0.00278i,-0.0023195+0.0024283i,-0.0012309+0.0026373i,-0.0021602+0.0048035i,-0.00096445+0.0042755i,-0.00031339+0.00057544i,0.0053253+0.0059987i,-0.0028227+0.00087852i,-0.0054836+0.0024598i,0.0012276-0.015616i,0.01679+0.010203i,-0.023572+0.01112i,-0.016013-0.0055906i,0.015604+0.0056935i,0.010154+0.017363i,-0.010478+0.00017229i
-0.00084322-0.012923i,0.003028-0.0084776i,0.0088954-0.0040915i,0.010681-0.011468i,0.014467-0.014041i,0.0036273-0.021757i,0.0037385-0.011934i,0.0088089-0.0087949i,-0.0043418-0.0077894i,-0.00086735+0.0020307i,-0.00078737+0.00054213i,0.0014295+0.0024425i,0.0018193+0.0025611i,0.00085745+0.0023559i,0.0017304+0.0011291i,0.00078187+0.0018109i,-0.0012692-0.00076276i,-0.00086418-0.0030688i,-0.0014757-0.00074144i,-0.0017192-0.0015853i,-0.0023468-0.001916i,-0.0015738-0.00027485i,-0.0018876-5.7024e-05i,0.0033563-0.0025768i,0.00092501+0.0028599i,0.0015312+0.0025756i,0.00042732+0.0039261i,-0.0003593+0.0025086i,-0.00025663+0.0033886i,0.0012615+0.002802i,-0.00021666-4.8509e-05i,0.0027955+0.00059344i,0.00059284-0.00033759i,-0.00034799+0.00031544i,0.001133+0.0014712i,0.0041603+0.009703i,0.0002976+0.0028227i,0.00022828+0.0016954i,0.00063473+0.0033639i,-0.0013583-0.0022338i,-0.00073742-0.0014046i,-0.00078534-0.0020115i,0.00034543+0.0030333i,0.0025005-0.00050961i,-0.0028993-0.012234i,-0.013392-0.00021285i,0.0058873+0.0018387i,-0.0040375-0.0072409i,0.032047-0.023191i,0.0095908-0.0088463i,-0.0075945-0.01013i,-0.035273-0.0082424i,-0.014064+0.00027545i,-0.0041879-0.032481i,0.01159-0.0051016i,-0.0016471+0.0031645i,0.0023679+0.0045413i,-0.0041109+0.0055515i,-0.0066869-0.0038715i,0.010194-0.011289i,0.010764-0.0022195i,-0.011598+0.0069905i,-0.00095547-0.0025456i,-0.003063+0.0016277i,-0.0048346-0.00093363i,-0.0039252-0.0060676i,0.0056997-0.0006834i,-0.0042412-0.0066214i,-0.0034759+0.00022324i,5.2445e-05+0.0016664i,-0.0022361+0.0006635i,-0.0061183+0.0057056i,0.0011861+0.0032572i,-0.0018482-1.7301e-05i,0.02395-0.00056293i,-0.0028584+0.013364i,0.0011906-0.00041384i,-0.0019735+0.0020478i,-0.0010706-0.0013265i,0.0035793+0.010957i,0.0025255+0.0017325i,-0.00047511+0.0041691i,0.00090787+0.0032278i,0.0015917+0.0055937i,0.0014904+0.0033686i,-0.0012866+0.0006775i,0.0067417+0.0025698i,-0.0039789+0.00091991i,-0.0044298+0.0048483i,-0.0010997-0.014918i,0.018499-0.0042264i,-0.017816+0.011211i,-0.01954-0.0031231i,0.0152+0.0023046i,0.014399+0.012982i,-0.011431-0.00010527i
-0.0028832-0.012746i,0.0019079-0.0082013i,0.0080577-0.005759i,0.0089156-0.013659i,0.012166-0.016539i,-0.00066419-0.022218i,0.0017436-0.011104i,0.0072895-0.010045i,-0.0048322-0.0070089i,-0.00017544+0.0026025i,-0.00076129+0.00099866i,0.0022451+0.0019988i,0.0022534+0.002604i,0.001271+0.002327i,0.0020753+0.00087203i,0.0011221+0.003136i,-0.0008403-0.00015972i,-0.0018545-0.0028825i,-0.0020255-0.00049161i,-0.0024745-0.00095595i,-0.0029161-0.0013889i,-0.0014462-9.7308e-05i,-0.0019963+0.00054274i,0.0018043-0.0036445i,0.002045+0.0024197i,0.0025657+0.0018909i,0.0019711+0.0035111i,0.00059886+0.0027672i,0.0011014+0.0032798i,0.0022914+0.0021102i,-0.00013152+5.3088e-06i,-0.0041815+0.011156i,-9.0325e-05+2.9816e-05i,0.00011838+0.00039131i,0.0037116+0.002539i,0.0067063+0.0081091i,0.0015002+0.0027345i,0.00093338+0.0017686i,0.001956+0.0029202i,-0.0019204-0.0017111i,-0.0012573-0.0013438i,-0.0015477-0.0018408i,0.001171+0.0031621i,0.0023257-0.00079192i,-0.0041707-0.012532i,-0.0098007-0.00087004i,0.0093783-0.0015648i,-0.0057617-0.0067115i,0.024795-0.033348i,0.0072145-0.012174i,-0.0073091-0.0056265i,-0.03395+0.0009556i,-0.009378+0.0062661i,-0.011843-0.030707i,0.0084353-0.0058005i,-0.00056321+0.0039755i,0.0040271+0.0031738i,-0.0025821+0.0071719i,-0.0071868-0.00046613i,0.0031644-0.014761i,0.0087343-0.0063307i,-0.0090366+0.0089118i,-0.00080676-0.001508i,-0.0019363+0.0014838i,-0.0037829-0.00021966i,-0.0046767-0.0034545i,0.0042558-0.0019235i,-0.0064389-0.0042046i,-0.0011964+0.0014607i,0.0019355+0.00079134i,-0.0019489+0.0012564i,-0.0036917+0.0067755i,0.0021155+0.0014778i,-0.00093622+0.00099578i,0.020029-0.0083929i,0.004205+0.014049i,0.0008024-0.00016014i,-0.00091471+0.0016473i,-0.0013941-0.00010538i,0.0067523+0.0081679i,0.0034852+0.00076962i,0.0025942+0.0039918i,0.0023289+0.002041i,0.0037789+0.0044928i,0.001816+0.0029251i,-0.0017826+0.0021502i,0.0060322+0.00030051i,-0.0052579+0.0016945i,-0.002141+0.0060814i,-0.00251-0.014928i,0.011159-0.015249i,-0.015138+0.0067905i,-0.022376+0.0015459i,0.013305-0.0029575i,0.015438+0.0081873i,-0.012693+0.0010069i
-0.004701-0.0117i,0.00050886-0.0083799i,0.0067218-0.0080602i,0.0061435-0.015844i,0.0093086-0.018907i,-0.0051465-0.021424i,0.00055777-0.010438i,0.0057592-0.011359i,-0.005177-0.0063441i,1.2034e-05+0.003261i,-0.00069578+0.0012996i,0.0025659+0.00087928i,0.0028564+0.0023213i,0.0016564+0.0021992i,0.0023341+0.00039708i,0.0020474+0.0043582i,-0.00060898+0.00012513i,-0.0031236-0.0024603i,-0.0022246+0.00011187i,-0.0030859+8.1023e-06i,-0.0034687-0.00058385i,-0.001396-0.0001929i,-0.0019711+0.0011927i,4.2585e-05-0.0039379i,0.0028607+0.0013494i,0.003134+0.00078748i,0.0029941+0.002711i,0.0016834+0.0025333i,0.0024137+0.0025972i,0.0029613+0.00097133i,1.0088e-05-1.675e-05i,0.0011249+0.0025269i,-0.00018661+0.00032578i,0.00052436+0.00032532i,-0.0098889-0.023794i,0.0087176+0.005585i,0.0025793+0.0019827i,0.0016039+0.0013838i,0.0030952+0.0019454i,-0.002158-0.0010806i,-0.0017519-0.001037i,-0.0022029-0.0011648i,0.0022677+0.0028996i,0.0019792-0.0010255i,-0.0058959-0.012727i,-0.0074472-0.0023975i,0.010581-0.0059178i,-0.0058711-0.0050527i,0.014766-0.040405i,0.0040191-0.01361i,-0.0057618-0.0036016i,-0.02899+0.0065127i,-0.0016058+0.0081982i,-0.017943-0.026665i,0.0060077-0.0057464i,0.00079508+0.0039046i,0.0041148+0.0013604i,-0.00039667+0.0076569i,-0.0072165+0.0027122i,-0.0051162-0.013692i,0.005111-0.008325i,-0.0069612+0.010781i,-0.00021498-0.0018234i,-0.0014972+0.0012453i,-0.0037328+5.101e-06i,-0.0042801-0.0014883i,0.0031837-0.002096i,-0.00945-0.0027769i,7.3129e-05+0.0010205i,0.0024825-0.0014364i,-0.0015261+0.0018886i,-0.00054903+0.0074197i,0.001656+0.00036571i,-0.0001002+0.00069124i,0.012701-0.013317i,0.0091668+0.0096985i,0.001074-0.00031432i,0.00019551+0.00094335i,-0.00044021+0.00050341i,0.0083766+0.0048905i,0.004314-0.0014158i,0.0045755+0.0023983i,0.002859+0.0012187i,0.0044466+0.0021588i,0.0034565+0.002649i,-0.00069408+0.0037426i,0.0055679-0.00061743i,-0.0057557+0.0035852i,-3.2319e-05+0.0057351i,-0.0032262-0.014617i,0.00048927-0.021745i,-0.018142+0.0034667i,-0.022626+0.0070103i,0.0072561-0.0059109i,0.015141+0.0037738i,-0.012328+0.0021512i
-0.0058134-0.010752i,-0.00034224-0.0077025i,0.0043702-0.0094472i,0.0024112-0.017202i,0.0058432-0.020632i,-0.008845-0.019325i,-8.0946e-05-0.010097i,0.0040056-0.012484i,-0.005452-0.0059555i,0.0011999+0.0041492i,-0.00057403+0.0019825i,0.0023295+0.00021451i,0.0034654+0.0018429i,0.0021515+0.002089i,0.0024433-0.00014493i,0.0030692+0.0036773i,-0.00062046+0.00047034i,-0.0043045-0.0011428i,-0.002079+0.00067518i,-0.0030828+0.001392i,-0.0035555+0.00055957i,-0.0019168-0.00027697i,-0.0017017+0.0018938i,-0.0017936-0.0034047i,0.0029954+0.00013571i,0.0031101-0.00040372i,0.0040384+0.0014094i,0.0025691+0.0018294i,0.0032453+0.0013384i,0.0030443-0.00024274i,9.9563e-05-0.00012108i,0.001925+0.0010878i,0.00014444+0.00054062i,0.00078712-0.00015034i,-0.003092-0.00095019i,0.0096417+0.0024505i,0.0030648+0.00077794i,0.0021055+0.00084522i,0.0036661+0.00037817i,-0.0021465-0.00036608i,-0.0021813-0.00040209i,-0.002392-0.00052285i,0.003093+0.0020404i,0.0017079-0.0012324i,-0.0077185-0.012419i,-0.0061889-0.0054562i,0.0095083-0.0097417i,-0.0044831-0.0046231i,0.0038462-0.042733i,0.001151-0.013317i,-0.0046509-0.0024679i,-0.023812+0.007836i,0.0058791+0.0058117i,-0.021268-0.020646i,0.0046374-0.0053626i,0.0021109+0.0030903i,0.0035946+0.00033473i,0.0023308+0.0071942i,-0.0055774+0.0060428i,-0.011168-0.0083379i,0.001459-0.0084269i,-0.0040315+0.012444i,-0.00074627-0.002975i,-0.0013515+0.0013111i,-0.0038738+0.00078053i,-0.0035083-5.28e-05i,0.0022041-0.0022101i,-0.010987-0.00324i,0.0007325+0.0003886i,0.00044116-0.0031437i,-0.00046366+0.0023361i,0.0029492+0.005651i,0.0010166-0.00074355i,0.0002225+0.00037152i,0.0060002-0.013817i,0.011452+0.004504i,0.00065978-0.00098802i,0.00047757+7.1023e-05i,0.00051287+0.00043397i,0.0082429+0.0019541i,0.0032823-0.0041511i,0.0059931+0.00031578i,0.0037398+0.00026312i,0.0048693-0.00031287i,0.0040436+0.0011215i,0.0012399+0.0040855i,0.0047029-0.0019626i,-0.0049795+0.0057837i,0.0015417+0.0047808i,-0.0036723-0.014983i,-0.012347-0.022123i,-0.022126+0.0043428i,-0.019201+0.012371i,0.0023268-0.0039815i,0.012266-0.00050323i,-0.011864+0.0022384i
-0.0066928-0.010143i,-0.00044216-0.0078572i,0.0022909-0.009778i,-0.0013475-0.017013i,0.0022379-0.021668i,-0.011496-0.016918i,-0.00043779-0.010592i,0.0020288-0.013512i,-0.0058484-0.0056701i,0.0029125+0.0039889i,0.0003119+0.0027607i,0.0020924-7.3191e-06i,0.004055+0.00092543i,0.0027631+0.0017035i,0.0024238-0.00065787i,0.0032603+0.0031024i,-0.00028772+0.00085765i,-0.0042876+0.00050124i,-0.0019367+0.0010633i,-0.002383+0.0024354i,-0.0033865+0.0014647i,-0.0024504+0.00042937i,-0.0011179+0.0024773i,-0.0033837-0.0019949i,0.0027403-0.00084661i,0.0027612-0.0014336i,0.0042784-0.00037063i,0.0031723+0.00084181i,0.0032998+8.5269e-05i,0.0027032-0.0013321i,0.00014953-0.00016602i,0.0017206-1.4985e-05i,0.00059469+0.00050461i,0.00049522-0.00057591i,-0.00141+0.00041015i,0.0091196-0.00050711i,0.0030095-0.00034712i,0.0024868+3.7047e-05i,0.0033659-0.0011532i,-0.0018516+0.00025405i,-0.0022062+0.00043318i,-0.0025417+7.7723e-05i,0.0034134+0.0010557i,0.0013457-0.0014162i,-0.0095991-0.011678i,-0.0080059-0.0085902i,0.0072825-0.012605i,-0.003842-0.0054862i,-0.0052645-0.041841i,-0.00039072-0.012123i,-0.0030496-0.0014752i,-0.019489+0.009239i,0.010329+0.00067877i,-0.021109-0.014506i,0.0034692-0.0058947i,0.0026484+0.0013248i,0.0037531-0.00076597i,0.0046042+0.0052377i,-0.0024414+0.0072937i,-0.012934-0.0019521i,-0.0017289-0.0075944i,-0.00046381+0.012562i,-0.0029424-0.0035177i,-0.0015702+0.0018276i,-0.0036892+0.0019675i,-0.002489+0.001019i,0.0016714-0.0011896i,-0.012167-0.0041904i,0.00047969-0.00033163i,-0.0013376-0.0023879i,0.00065467+0.0021184i,0.0040345+0.0028754i,0.00030778-0.0011637i,0.00043436+0.00045436i,0.00090575-0.012905i,0.011856-0.00089145i,0.00068128-0.00095648i,0.00024159+0.00023172i,0.0013244-0.0002347i,0.0078908-0.00018217i,0.00056096-0.0054656i,0.0062854-0.0026392i,0.0036958-0.0017764i,0.0038768-0.0032175i,0.0043283+2.8478e-05i,0.0026487+0.0036105i,0.0029963-0.0022859i,-0.0034118+0.0070608i,0.00225+0.0033904i,-0.00425-0.015968i,-0.023359-0.01615i,-0.025123+0.0071885i,-0.014776+0.01411i,0.0013767-0.0017427i,0.0078509-0.00013011i,-0.013158+0.002835i
-0.0081397-0.0094424i,-0.0010941-0.0089027i,0.00081788-0.0098509i,-0.0045494-0.015837i,-0.0016225-0.022315i,-0.013855-0.014456i,-0.0013411-0.012057i,-0.00042146-0.014264i,-0.0064469-0.0054185i,0.0041493+0.00311i,0.0017686+0.0027937i,0.0020405-0.00010054i,0.0042449-0.00026321i,0.0033697+0.0010961i,0.0022985-0.0012471i,0.0038085+0.0022645i,0.00012862+0.0010235i,-0.0038296+0.0018211i,-0.0016812+0.0015792i,-0.001438+0.003021i,-0.0029526+0.0025631i,-0.0023856+0.0015299i,-0.00051759+0.0027168i,-0.0039561+7.03e-05i,0.002232-0.0015633i,0.002098-0.0022109i,0.0037643-0.0020453i,0.0032858-0.00040783i,0.0029633-0.001063i,0.0019885-0.0022185i,0.00023268-0.00026539i,0.0014969-0.00049498i,0.0009581+6.987e-05i,0.00018262-0.00052083i,-0.00040579+0.00024812i,0.0079773-0.0027953i,0.0027395-0.0013709i,0.0025668-0.0010062i,0.0024653-0.0023058i,-0.0013755+0.00078229i,-0.0020601+0.0012871i,-0.0025245+0.00083169i,0.0035849+0.00010622i,0.00098565-0.0011205i,-0.011448-0.01062i,-0.01174-0.0090154i,0.0050128-0.01409i,-0.0040024-0.0054061i,-0.013621-0.040507i,-0.0010823-0.010844i,-0.0012802-0.0018135i,-0.014782+0.010314i,0.012877-0.0055314i,-0.018561-0.010901i,0.001918-0.0069476i,0.0017297-0.00096237i,0.0033927-0.0023014i,0.0050015+0.0025099i,-0.00040544+0.0068622i,-0.012102+0.0040682i,-0.004312-0.0055246i,0.0022009+0.010621i,-0.0051179-0.0016554i,-0.0013237+0.0029768i,-0.002974+0.0031775i,-0.0012386+0.0012696i,0.0025362+0.0002903i,-0.0080401+0.0072545i,0.00039458+9.9621e-05i,-0.0019125-0.001392i,0.0014674+0.0014919i,0.0039518+0.00067161i,2.2758e-05-0.0022835i,0.0009097+0.00010351i,-0.0034361-0.011114i,0.009293-0.0058233i,0.00038519-0.0019421i,0.00085605-6.9896e-05i,0.0011623-0.0013711i,0.007642-0.0023268i,-0.0018589-0.0049152i,0.004715-0.0055326i,0.0023277-0.002864i,0.0012258-0.004514i,0.0045925-0.001526i,0.0038521+0.0026415i,0.0024062-0.0020647i,-0.0012521+0.0073181i,0.00187+0.0018645i,-0.0053377-0.017366i,-0.027621-0.006425i,-0.027301+0.012022i,-0.011127+0.014757i,0.00029506-9.925e-05i,0.025468+0.0084106i,-0.013665+0.0047414i
