-0.02372-0.038475i,-0.012331-0.048983i,-0.017908-0.044472i,-0.030972-0.035004i,-0.029862-0.015811i,-0.050312-0.027512i,-0.057804-0.024965i,-0.044264-0.036608i,-0.029976-0.036492i,0.0074369+0.012703i,-0.0049365+0.015444i,-0.0048888+0.014075i,0.0097359+0.021725i,0.00035519+0.0042582i,0.0033568+0.0032984i,0.006826+0.017907i,0.025977+0.03861i,-0.0027395-0.00080428i,-0.0041646-0.0060601i,0.0078529+0.0016809i,-0.00024347-0.00080872i,-0.0009379+0.0014871i,0.00017496-0.00019619i,-0.030983-0.0026689i,-0.0013352-0.0057332i,0.0017731+0.004584i,0.0038079-0.00051321i,-0.0005587+0.00081132i,0.0005942-0.00060953i,-0.00063992-0.002504i,-0.0017805-0.0062557i,-0.0044675-0.0041331i,-0.0018001-0.0048795i,0.0022315-0.00062132i,0.0022351-0.0029725i,0.0023241+0.025767i,0.0018085-0.0028582i,0.0027913+0.00065751i,0.0060109+0.0011834i,-0.010569-0.0041328i,-0.0030565+0.00065976i,0.0064703+0.0016119i,0.0052778-0.00011985i,-0.0033542+0.0054306i,0.0011762-0.0082893i,-0.011068+0.017129i,0.035345-0.090964i,0.011935-0.07015i,-0.015838-0.060288i,-0.016578-0.055246i,0.039584-0.045874i,0.017-0.062555i,0.034268-0.055764i,0.029088-0.060473i,0.015677-0.013757i,0.0050118+0.016676i,0.016549-0.026521i,-0.011457+0.0053706i,-0.00024347+0.0055486i,-0.0047454-0.0015285i,-0.0026472-0.028857i,-0.02377+0.032275i,0.010474-0.011103i,-0.013039-0.0026606i,-0.00019786-0.0050804i,-0.0012451-0.016154i,-0.0075111+0.0046542i,0.0052001+0.0066069i,-0.0085076+0.031105i,0.0050836+0.0059766i,-0.0052085-0.00062369i,-0.0033503-0.0004404i,-0.012864-0.0079562i,-0.00060059-0.0043877i,-0.02987+0.0067424i,-0.00016872-0.0097396i,-0.0096287-0.0018543i,-0.0064881-0.0026836i,0.0072863+0.0027685i,-0.0076683+0.0014283i,-0.00023211+0.00049489i,0.005834+0.010703i,0.0040978+0.0011989i,-0.0090725-0.010119i,0.0033052+0.008189i,-0.021603+0.006412i,0.0079568+0.00068088i,-0.029074-0.0038986i,-0.041868+0.0023737i,0.018681-0.096035i,-0.0017751-0.012128i,-0.053226-0.021705i,-0.023054+0.00035721i,0.017603+0.011145i,-0.024569+0.013733i,-0.018126-0.012482i
0.0079029+0.020075i,0.015422+0.051029i,0.024127+0.034796i,0.016986+0.027191i,0.024261+0.026832i,0.032209-0.014304i,0.017521-0.0088097i,0.028999+0.0057969i,0.011615+0.013125i,0.0023408+0.0047227i,0.004842+0.0026246i,0.0041954+0.0032107i,0.0059138+0.0027344i,0.0049652+0.0034717i,0.0029486-0.0033421i,0.0082239-0.0012576i,0.0084699-0.0046103i,-0.0013769-0.0013528i,-0.0030783+0.0011183i,-2.9922e-05+0.0013868i,-0.0010448-0.000278i,-0.0028245+0.0012164i,-0.0019029+0.00089498i,0.0047696+0.0077344i,0.0015715+0.00098065i,0.0022554+0.00043575i,0.001864+0.001172i,0.001001+0.0014358i,0.00065723+0.00017275i,-0.00033063+0.00072642i,-0.0016541-0.0024406i,-0.00082888-0.00052519i,-0.0011506+0.00088685i,-0.001104+0.0002682i,-0.00082423-0.0019668i,-0.0066762+0.0077474i,0.00137+0.00041349i,0.0012151-0.00056449i,-0.00056395+0.0024043i,-0.00023619-0.0034987i,-0.0013917+0.00034841i,-0.0018584-0.00033287i,0.0022812+0.001111i,0.00647+0.0039063i,-0.014148+0.034227i,-0.080397+0.036056i,-0.050923+0.038471i,-0.037004+0.05947i,-0.018825+0.072456i,-0.0084791+0.05118i,0.010237+0.037206i,0.0030618-0.0015868i,-0.03613+0.011483i,-0.044477+0.019746i,0.0018549+0.024208i,-0.007899+0.0024598i,-0.010542-0.00066105i,-0.013701-0.0024392i,0.0024184+0.00063833i,0.007099+0.010469i,-0.0018752+0.008293i,-0.0068205-0.011438i,0.0053277-0.0068809i,-0.0065477-0.0068133i,0.0019772-0.006167i,0.0036066-0.0043045i,-0.0017332+0.0099356i,0.0094397-0.0046524i,0.005195-0.005965i,0.0031773-0.0057891i,0.0030664-0.00050691i,-0.0011299-0.0044911i,-0.0038449-0.00069205i,0.0025159-0.00023597i,-0.0089798+0.025527i,-0.0040212-0.0033405i,0.0020676+0.00022539i,0.00013844-0.0068306i,0.002246-0.0015205i,-0.01548-0.0036117i,0.00065171+0.00024788i,0.0049448-0.0028199i,0.0026713-0.00099368i,0.00017585-0.0046913i,-0.0004321+0.0053981i,-0.0010517+0.0061381i,-0.0029718+0.0043854i,-0.011988+0.0021813i,-0.014495-0.0011044i,-0.039895+0.055715i,0.00047069+0.0049278i,-0.024789-0.016518i,-0.0068421-0.0067424i,0.010221+0.020003i,-0.0021844+0.022759i,-0.00085665-0.00056057i
0.010198+0.016467i,0.023531+0.046095i,0.029728+0.030487i,0.021843+0.024928i,0.030038+0.02281i,0.028958-0.019998i,0.014829-0.012158i,0.029639+0.00038875i,0.013634+0.010537i,0.0036771+0.0035866i,0.0053703+0.0013759i,0.0040714+0.002989i,0.0060609+0.0016677i,0.0055801+0.0021536i,0.0019101-0.0038074i,0.0069124-0.0028268i,0.0061543-0.0062098i,-0.0010167-0.0011782i,-0.0025948+0.0011456i,0.0006169+0.00061685i,-0.001306-0.00030292i,-0.002435+0.001814i,-0.001587+0.00096923i,0.0083803+0.0050275i,0.0014501+0.00098501i,0.0025854-0.00056052i,0.0019985+0.00013966i,0.0014828+0.00084805i,0.00025193+4.0795e-05i,-0.00032111+0.00083076i,-0.0024881-0.0013284i,-0.0012263-0.00059423i,-0.00085993+0.0011755i,-0.00087918+0.00064189i,-0.0016105-0.00059915i,-0.0038357+0.0089704i,0.001169-0.00014006i,0.00089442-0.00084949i,0.00035831+0.0019995i,-0.0012407-0.0029453i,-0.0012187+0.00054955i,-0.002183+0.00030297i,0.002069+0.00093436i,0.0068027+0.0029143i,-0.0074556+0.035991i,-0.068728+0.049993i,-0.046736+0.047309i,-0.026848+0.063362i,-0.0027192+0.069949i,0.0022651+0.0492i,0.011342+0.031158i,-0.0025062-0.0059384i,-0.036557+0.013244i,-0.036138+0.021021i,0.0077572+0.022113i,-0.0082676+0.0046741i,-0.0098581+0.0050668i,-0.013233+0.0017725i,0.0013624-0.0008193i,0.0089315+0.0090502i,0.0024108+0.01136i,-0.012555-0.0096548i,0.00089375-0.0073428i,-0.0061371-0.0029853i,-0.0013899-0.005903i,0.001159-0.0054299i,0.0026604+0.0077911i,0.0059936-0.0069858i,0.00097516-0.0065926i,0.00042096-0.0035472i,0.0038737-0.001469i,-0.0023095-0.0038413i,-0.0016169+0.0016186i,0.0029337-0.00066692i,0.0042454+0.025552i,-0.0048174-0.0027728i,0.0025367-0.001696i,-0.0030388-0.0061701i,0.0026636-0.0022886i,-0.014504+0.0033418i,0.001132+0.00065028i,0.0034247-0.0026402i,0.0027722-0.0021493i,-0.0010799-0.0045219i,0.0010492+0.0023637i,0.001722+0.005126i,-0.00017944+0.0054553i,-0.010578+0.0058847i,-0.015509+0.0021817i,-0.029141+0.057012i,0.00073618+0.0057913i,-0.028656-0.011305i,-0.0091715-0.0097504i,0.01291+0.018416i,0.0021838+0.02445i,-0.0032033-0.0018449i
0.011204+0.013725i,0.029673+0.039369i,0.035362+0.023823i,0.027415+0.020275i,0.035677+0.017189i,0.024407-0.025365i,0.01142-0.015171i,0.02941-0.0055984i,0.015487+0.007793i,0.0040595+0.0023252i,0.0052653-0.00043139i,0.0048805+0.0028485i,0.0059801+7.8919e-05i,0.0058765+0.00044466i,0.00072848-0.0039134i,0.0053563-0.0039278i,0.0040934-0.0072684i,-0.0013469-0.0013076i,-0.0025105+0.0016831i,0.0004692-0.00046312i,-0.0018398-0.00021394i,-0.001759+0.0023394i,-0.0014848+0.0011037i,0.0090263+0.00066105i,0.0020722+0.00048838i,0.001906-0.0015643i,0.0015863-0.00066294i,0.0018585-4.7254e-05i,0.00020716+0.00015251i,-0.00021707+0.0010199i,-0.0027864-3.4954e-06i,-0.0018579+0.00030152i,-0.00021215+0.0015525i,-0.00054322+0.00089119i,-0.0012227+0.00057709i,-0.0010322+0.009367i,0.0008512-0.0003197i,0.00047626-0.0011826i,0.00080222+0.0015301i,-0.0022398-0.0022945i,-0.0010397+0.00070487i,-0.0018918+0.00083834i,0.0021384+0.0012029i,0.0077068+0.0014908i,0.0007785+0.035908i,-0.055604+0.060377i,-0.038366+0.055385i,-0.015558+0.064005i,0.011898+0.063223i,0.011911+0.047046i,0.010954+0.027584i,-0.0077382-0.006558i,-0.036438+0.017699i,-0.029836+0.019835i,0.012399+0.017452i,-0.0075956+0.0067471i,-0.0074255+0.0080545i,-0.012221+0.0048178i,-0.0004977-0.0026459i,0.010825+0.0066415i,0.0075085+0.010789i,-0.016766-0.00526i,-0.0012857-0.004955i,-0.0053659-0.00026935i,-0.0032065-0.0040034i,-0.0012829-0.0046439i,0.0049048+0.0066455i,0.0034993-0.0072718i,-0.0029043-0.0047265i,0.00062098-0.0016895i,0.0035524-0.0039001i,-0.0040696-0.0026109i,5.236e-06+0.0011261i,0.0023488-0.0016588i,0.014867+0.019362i,-0.0061833-0.0011778i,0.0021653-0.0029068i,-0.0032813-0.0041208i,0.0030357-0.0038058i,-0.010092+0.0085108i,0.002378+0.00056794i,0.0022884-0.0033891i,0.0017622-0.0025291i,-0.0021768-0.0035387i,0.000441+0.0017153i,0.0034464+0.003396i,0.0023948+0.0053053i,-0.0085549+0.007954i,-0.015592+0.0065232i,-0.020619+0.056771i,0.0045224+0.0058115i,-0.030235-0.0058177i,-0.012501-0.011403i,0.016956+0.014795i,0.0082769+0.025378i,-0.0051694-0.0011074i
0.011751+0.011682i,0.032965+0.032929i,0.038069+0.015877i,0.031236+0.013164i,0.039597+0.0091736i,0.018358-0.029189i,0.0072246-0.01689i,0.027358-0.011394i,0.016761+0.0045108i,0.0040361+0.0015261i,0.004359-0.0011204i,0.0057744+0.0019154i,0.0051304-0.00094716i,0.0053388-0.0010705i,-0.00057508-0.0037523i,0.00373-0.0043256i,0.0014407-0.0071923i,-0.0015646-0.00085305i,-0.0015147+0.0022623i,-0.0003222-0.00083216i,-0.0021754+0.00061798i,-0.0010687+0.0028489i,-0.0013556+0.0014674i,0.0075947-0.0028952i,0.0019283-0.00033121i,0.00097388-0.0016315i,0.0010592-0.00090419i,0.001383-0.00098416i,0.0002891+8.3278e-06i,0.00010331+0.0012746i,-0.0025055+0.001406i,-0.0013789+0.0013424i,0.00047669+0.0013226i,-0.00024283+0.001003i,-0.0006638+0.0012422i,0.0018343+0.008999i,0.00065437-0.00064615i,-8.3703e-05-0.0013644i,0.00090474+0.0012239i,-0.002759-0.0013204i,-0.00080456+0.00093958i,-0.0014844+0.0012116i,0.0027028+0.0011432i,0.0081027-0.00021884i,0.0080371+0.032546i,-0.04035+0.067529i,-0.029115+0.061123i,-0.0068266+0.063229i,0.02409+0.052152i,0.021569+0.041138i,0.0097467+0.026069i,-0.013729-0.0047482i,-0.035323+0.023801i,-0.025787+0.017625i,0.01531+0.011296i,-0.0059499+0.0094829i,-0.0044478+0.011338i,-0.0107+0.0077761i,-0.0042307-0.0016887i,0.012633+0.002995i,0.011902+0.0077161i,-0.019212+0.00056937i,-0.0020459-0.0037134i,-0.0035259+0.0011986i,-0.0038496-0.001509i,-0.0026536-0.0033372i,0.0069033+0.0034049i,0.0012264-0.007279i,-0.0045787-0.00043181i,0.0015642-0.00096776i,0.0013827-0.0056323i,-0.0046122-0.00032693i,0.0012031+0.0010622i,0.0020113-0.0020841i,0.020585+0.009435i,-0.0063778+0.0018875i,0.0016789-0.0043121i,-0.0034853-0.0024621i,0.0014582-0.0060353i,-0.0044987+0.0097972i,0.0033447-0.0006557i,0.0010093-0.0027472i,0.00098101-0.0023581i,-0.0022462-0.0021035i,0.00027325+0.0018721i,0.0033324+0.0013156i,0.0045953+0.0043292i,-0.0063103+0.0093849i,-0.013991+0.01083i,-0.013174+0.057401i,0.011034+0.0014888i,-0.029343-6.545e-05i,-0.018151-0.011385i,0.017747+0.0095746i,0.015228+0.023519i,-0.0048807-0.00035933i
0.012903+0.010078i,0.036084+0.027813i,0.039185+0.0088424i,0.032635+0.0057643i,0.040988+0.00055338i,0.012439-0.031461i,0.0031801-0.016889i,0.024292-0.016122i,0.017452+0.00091881i,0.0039089+0.00084504i,0.0037319-0.001435i,0.0064053+0.00053055i,0.0045481-0.0012734i,0.0044493-0.0022128i,-0.0016125-0.0028994i,0.002386-0.0040532i,-0.00048165-0.0063965i,-0.0018663-0.00036821i,-0.00088165+0.0021214i,-0.0010521-0.00063899i,-0.0019507+0.0013082i,0.00011493+0.0031237i,-0.0010281+0.0019625i,0.0052102-0.0051131i,0.0014172-0.00075762i,0.00043172-0.0016052i,0.00066912-0.0010407i,0.00055745-0.0011978i,9.0958e-05-3.0775e-05i,0.00068778+0.0012589i,-0.0014093+0.0022764i,-0.00060114+0.0018061i,0.00086114+0.00088706i,0.00016892+0.001238i,0.00019787+0.0014674i,0.0042791+0.0076546i,0.00030893-0.00066518i,-0.00070418-0.001219i,0.0013306+0.00086903i,-0.0028877-0.00028184i,-0.00047626+0.00089567i,-0.0010204+0.0014945i,0.0032763+0.00066118i,0.0074137-0.0022822i,0.012829+0.027626i,-0.024234+0.070093i,-0.017423+0.065558i,0.0024403+0.062794i,0.030111+0.039026i,0.027762+0.033557i,0.010134+0.027417i,-0.017365+0.0017642i,-0.032134+0.032054i,-0.025119+0.01585i,0.014221+0.0056121i,-0.0025705+0.011581i,0.0009357+0.011752i,-0.0084733+0.01032i,-0.0054701+0.0016149i,0.012397-0.0024939i,0.01455+0.0028005i,-0.019064+0.0071714i,-0.0023153-0.0017703i,-0.002477+0.0016631i,-0.002636+0.00012043i,-0.0040413-0.0012969i,0.0067155+0.00061957i,-0.00084595-0.0065271i,-0.0029495+0.0030186i,0.0029422-0.0016831i,-0.0011582-0.0059323i,-0.0034933+0.001161i,0.0022406-3.7139e-05i,0.0016493-0.0023726i,0.020804-0.00019125i,-0.0040843+0.004295i,0.00011139-0.0053565i,-0.002647-0.001629i,-0.00082342-0.0064385i,-0.00056054+0.0087425i,0.0028937-0.0023743i,0.00099134-0.001425i,0.0010316-0.002098i,-0.0011088-0.0015836i,0.00088256+0.0020415i,0.0022618+1.9083e-05i,0.0053504+0.001807i,-0.0040556+0.0092788i,-0.010136+0.015073i,-0.0047154+0.057183i,0.012786-0.0093106i,-0.025997+0.0020412i,-0.023877-0.0085311i,0.018082+0.0053657i,0.020741+0.01707i,-0.0057788-0.0010284i
0.014275+0.007947i,0.039303+0.022156i,0.039966+0.0016562i,0.032631-0.0018668i,0.040876-0.0078388i,0.00623-0.032842i,0.00022234-0.016159i,0.020744-0.020104i,0.017566-0.0029322i,0.0035372+0.00022766i,0.0036825-0.0016984i,0.0065847-0.00094324i,0.0048276-0.0017377i,0.0034164-0.0029764i,-0.0021144-0.0020407i,0.0016653-0.0034816i,-0.0015656-0.0057681i,-0.001686+0.00010359i,-0.00035843+0.0020769i,-0.0014491-0.00012469i,-0.001328+0.0017895i,0.0014237+0.0026462i,-0.00034483+0.0022686i,0.002195-0.0059446i,0.0011615-0.00095259i,-0.00012368-0.0015833i,0.00021352-0.001152i,6.1758e-05-0.0011386i,-2.7804e-05+0.00010252i,0.0012028+0.00076085i,-0.00026848+0.0024932i,0.00018617+0.0018429i,0.00093663+0.00054965i,0.00074526+0.0010153i,0.00084239+0.00075596i,0.0056623+0.0057336i,9.3706e-05-0.00051571i,-0.0011032-0.00074339i,0.0012733+0.00026907i,-0.002601+0.00044167i,-0.00030518+0.00086097i,-0.00051515+0.0014369i,0.0035503-1.4312e-05i,0.0062687-0.0038465i,0.016002+0.022778i,-0.0097308+0.068546i,-0.0038996+0.065969i,0.012339+0.060645i,0.032227+0.027009i,0.031577+0.025722i,0.013228+0.029341i,-0.016453+0.010162i,-0.024384+0.041321i,-0.026014+0.016621i,0.012137+0.0025125i,0.0014624+0.011586i,0.0045954+0.009856i,-0.005532+0.012467i,-0.004674+0.004036i,0.0093244-0.0079456i,0.014342-0.003355i,-0.016478+0.012222i,-0.00155-0.00074698i,-0.0013133+0.0014263i,-0.0016431+0.00037449i,-0.0033251+0.0014948i,0.0052584-0.0010664i,-0.002135-0.005008i,0.00024448+0.0044348i,0.002968-0.0035394i,-0.0032923-0.0045827i,-0.0025342+0.0017742i,0.0022697-0.0012777i,0.0015964-0.0026825i,0.017152-0.0082003i,-0.0014844+0.0049388i,-0.0020023-0.0050726i,-0.0025568-0.0014557i,-0.0030619-0.0059587i,0.001882+0.0071416i,0.0022958-0.0035002i,0.0023285-0.001607i,0.0009821-0.0030189i,-0.00038303-0.0022847i,0.0014419+0.0021921i,0.0011224+0.00044957i,0.0048094+0.00030339i,-0.0026486+0.0089295i,-0.0044136+0.016976i,0.003545+0.055693i,0.0071474-0.018476i,-0.024279+0.00091555i,-0.028717-0.0023769i,0.016249-0.00034938i,0.022102+0.010266i,-0.0069909-0.00025377i
0.015596+0.005507i,0.041468+0.015765i,0.038789-0.0066067i,0.030074-0.0097791i,0.039081-0.016792i,-0.00029459-0.03266i,-0.0019304-0.015318i,0.016561-0.023583i,0.016473-0.0068229i,0.0032536+0.00031453i,0.0032385-0.0021541i,0.0063141-0.0029391i,0.004626-0.0029122i,0.0022522-0.0034185i,-0.0023906-0.0011003i,0.0013993-0.0031152i,-0.002887-0.0050464i,-0.0018259+0.00051534i,0.0003838+0.001808i,-0.001867+0.00055446i,-0.00093197+0.0019947i,0.0022409+0.0016131i,0.00028498+0.002269i,-0.00088297-0.0053426i,0.00067947-0.0016622i,-0.00071176-0.0011007i,-0.00031819-0.0011333i,-0.00032425-0.0008443i,0.00020956+0.00021276i,0.0012197+0.00015491i,0.00098093+0.002198i,0.00081149+0.001688i,0.00085048+0.00023105i,0.0010585+0.00060643i,0.00071783-0.00014127i,0.0063749+0.0038676i,-0.00013435-0.0003875i,-0.0013352-0.00031234i,0.0012833-2.626e-05i,-0.002111+0.00089338i,-0.0001742+0.00086342i,-2.8396e-05+0.0012118i,0.0037453-0.0010145i,0.0047546-0.0048179i,0.017872+0.018152i,0.0028862+0.064634i,0.0080352+0.061907i,0.021749+0.056723i,0.030663+0.016693i,0.033371+0.018845i,0.018801+0.029495i,-0.0097741+0.015929i,-0.011454+0.046531i,-0.026106+0.020312i,0.010214+0.00081312i,0.0045928+0.0098266i,0.0068679+0.0068015i,-0.0019031+0.013261i,-0.003985+0.0055349i,0.0026318-0.010184i,0.010653-0.0081481i,-0.012827+0.01605i,-0.0007752-0.0012755i,-0.00099095+0.00079133i,-0.0012548+0.00030026i,-0.00085266+0.0027525i,0.0040088-0.0011323i,-0.0025909-0.0040435i,0.0030375+0.003676i,0.0015796-0.0054076i,-0.0044477-0.0028075i,-0.0013699+0.0022653i,0.0016029-0.0024613i,0.0011968-0.0035319i,0.011286-0.012748i,0.00055888+0.0045945i,-0.0031823-0.004117i,-0.0022852-0.0013253i,-0.0046828-0.0048817i,0.0034416+0.0053535i,0.0014202-0.0049473i,0.0027845-0.0029915i,-6.5078e-05-0.0036657i,-0.00138-0.0029458i,0.0028426+0.002361i,0.00098716+0.0018673i,0.0044144-0.00068873i,-0.0016347+0.0090285i,0.00061057+0.015948i,0.011682+0.053792i,-0.0014909-0.023911i,-0.026586-0.00037703i,-0.029913+0.0059068i,0.010903-0.0040209i,0.022614+0.0045598i,-0.0065195+0.00056443i
0.016687+0.002211i,0.043273+0.0099539i,0.035188-0.013451i,0.024766-0.015695i,0.034443-0.025046i,-0.0059721-0.030818i,-0.0035281-0.014393i,0.011632-0.025853i,0.014846-0.010287i,0.0037351+0.00048443i,0.0029378-0.0022222i,0.0048822-0.0046941i,0.0039399-0.0039379i,0.0012254-0.0033508i,-0.0021749-0.00019658i,0.0011981-0.0027523i,-0.004578-0.0034044i,-0.0016583+0.001304i,0.00078638+0.0011268i,-0.0016621+0.0017466i,-0.00033158+0.0023063i,0.002303+0.00040162i,0.00088187+0.002137i,-0.0028467-0.0033756i,-0.00061441-0.0015336i,-0.00087168-0.00060486i,-0.00070333-0.0008355i,-0.00055559-0.00050328i,0.0003053-8.0066e-05i,0.0010683-0.00027805i,0.0018191+0.0013925i,0.0013064+0.0011746i,0.00081554+1.3764e-06i,0.0011475+0.00018087i,0.00011796-8.6609e-05i,0.006523+0.0019741i,-0.00017564-0.00018933i,-0.0014185+0.0002487i,0.0012511-0.00027147i,-0.0014372+0.0012197i,8.4788e-06+0.0010155i,0.00018116+0.0010381i,0.0032157-0.0022291i,0.0030589-0.0049531i,0.018784+0.013907i,0.013753+0.058541i,0.016731+0.056324i,0.030509+0.051388i,0.027383+0.0096532i,0.033816+0.012508i,0.024556+0.027094i,-0.0024268+0.016689i,0.0022961+0.046352i,-0.023661+0.025243i,0.0093127-0.00012134i,0.0070583+0.0074841i,0.0073407+0.0039744i,0.0019824+0.01263i,-0.0025911+0.0074599i,-0.0033049-0.0081286i,0.0062055-0.0097618i,-0.0076948+0.018456i,-0.0012454-0.0022282i,-0.0014671+0.00061715i,-0.0011591+0.00050116i,0.0015711+0.0024387i,0.0035448-0.0014555i,-0.0032958-0.0032075i,0.0044807+0.0015932i,-0.0014056-0.0062253i,-0.0044866-0.00087657i,7.3822e-05+0.0016884i,0.0010323-0.0031755i,9.577e-05-0.0046479i,0.0051581-0.014081i,0.0021202+0.0037446i,-0.004065-0.0032607i,-0.0031165-0.0014114i,-0.006068-0.0030758i,0.0037731+0.0038811i,-0.00049652-0.0062616i,0.0026015-0.0046136i,-0.0010512-0.0032519i,-0.0022511-0.0027414i,0.0035877+0.0017512i,0.0018406+0.002591i,0.0032856-0.0015518i,-0.00041455+0.0094785i,0.004496+0.013472i,0.020837+0.050609i,-0.012036-0.025753i,-0.030211+0.001301i,-0.026942+0.013586i,0.0060842-0.003415i,0.020576-0.0017639i,-0.005976-0.00063933i
0.016936-0.0017309i,0.0447+0.0028602i,0.03115-0.018507i,0.019347-0.018629i,0.028319-0.031485i,-0.010409-0.028483i,-0.0046582-0.013947i,0.0069183-0.027209i,0.012508-0.013578i,0.0044658-0.00023762i,0.0030333-0.0026679i,0.0030811-0.0053753i,0.0028988-0.0051068i,0.00048948-0.0031716i,-0.0016689+0.00042268i,0.0012389-0.0023883i,-0.0048922-0.0011968i,-0.0010697+0.0014288i,0.00064169+0.00044428i,-0.00079781+0.0023044i,0.00039762+0.0022784i,0.0019358-0.00042149i,0.0015264+0.0017504i,-0.003637-0.00081036i,-0.0010764-0.00071893i,-0.00086977-0.0002809i,-0.00094632-0.00058298i,-0.00060697-0.00016867i,1.5111e-05-4.5712e-05i,0.00075779-0.0006674i,0.002336+0.00033628i,0.0014002+0.00065374i,0.00081374-0.00022594i,0.0012192-0.00014367i,7.8341e-05+0.00029626i,0.0059743+0.00031385i,-0.00016182+0.0001141i,-0.001193+0.00082916i,0.0010011-0.00067886i,-0.0007424+0.0013808i,0.00039215+0.00093231i,0.0002308+0.00074021i,0.0022374-0.0029987i,0.001572-0.0046683i,0.018949+0.0099742i,0.021063+0.05035i,0.023642+0.051038i,0.038042+0.043834i,0.024049+0.0046089i,0.033334+0.0082392i,0.029542+0.023426i,0.0036367+0.015628i,0.014203+0.041671i,-0.019143+0.029871i,0.0088513-0.0014254i,0.0085183+0.0040846i,0.0077559+0.0016307i,0.0055077+0.01047i,0.00019522+0.0080126i,-0.006583-0.0042806i,0.0019438-0.0098132i,-0.0018351+0.018299i,-0.0027178-0.0022149i,-0.0023506+0.0017808i,-0.00099987+0.00072903i,0.0030767+0.0010339i,0.003096-0.00085865i,-0.0035019-0.001914i,0.0045231-0.00055423i,-0.0040273-0.0048935i,-0.0034366+0.00040652i,0.00043882+0.00051566i,0.0001291-0.004152i,-0.0017568-0.004789i,0.00014127-0.013223i,0.0035591+0.0020073i,-0.0052861-0.0018425i,-0.0037683-0.00022522i,-0.006137-0.00043036i,0.0042761+0.0031604i,-0.0034581-0.0063169i,0.0016946-0.0065691i,-0.00162-0.0029235i,-0.0028288-0.0027333i,0.0044213+0.0012123i,0.0031413+0.0023735i,0.0022872-0.00098719i,0.0011234+0.0093327i,0.0066832+0.010349i,0.029707+0.044837i,-0.023213-0.022634i,-0.033246+0.0050136i,-0.02156+0.017958i,0.0041795-0.0018506i,0.015832-0.0058427i,-0.0083396-0.0014736i
0.015836-0.0055357i,0.044628-0.0049462i,0.027028-0.022899i,0.014821-0.020182i,0.021339-0.036358i,-0.014658-0.025985i,-0.0060644-0.014402i,0.0021086-0.027993i,0.0093748-0.016147i,0.004821-0.0013691i,0.0029254-0.0036239i,0.0013887-0.0053858i,0.001199-0.0057876i,-0.00014092-0.0029899i,-0.001302+0.00056226i,0.0015236-0.0023846i,-0.0041644+0.00059199i,-0.00074964+0.0013665i,0.00044921+0.00020403i,2.0024e-05+0.0024084i,0.0010083+0.002101i,0.0014892-0.00085557i,0.00193+0.0010522i,-0.0028591+0.0015803i,-0.00093519-8.85e-05i,-0.00078314+0.00014994i,-0.0010929-0.00026573i,-0.00057807-8.52e-06i,6.9767e-05+0.00010263i,0.0002348-0.00083215i,0.0022915-0.00087008i,0.0014868+0.00032716i,0.00067309-0.00049526i,0.0011325-0.00076034i,0.0003346+0.00054927i,0.0053103-0.00078381i,-2.9629e-05+0.00019138i,-0.0007363+0.0012892i,0.00040271-0.00078819i,6.6749e-05+0.0011151i,0.00072108+0.00080927i,0.00012666+0.00063943i,0.0010197-0.0031266i,0.00064167-0.0037881i,0.018795+0.0070191i,0.024999+0.043761i,0.030052+0.045661i,0.042817+0.036152i,0.0201+0.00030802i,0.03435+0.0047067i,0.033892+0.018374i,0.0096848+0.012444i,0.024051+0.033774i,-0.011887+0.033024i,0.0079906-0.0030244i,0.0078823-0.00038872i,0.0077375-0.0011162i,0.0073927+0.0070443i,0.0019915+0.0072219i,-0.0077271+0.00056092i,-0.0016694-0.0082718i,0.0020514+0.015226i,-0.0039067-0.0009296i,-0.0020412+0.0037723i,-0.00086162+0.0009826i,0.0038676-0.0008935i,0.0040651+0.00025441i,-0.0029901-0.00102i,0.0040255-0.0012738i,-0.0051337-0.0028807i,-0.0024083+0.0008322i,0.0001176+0.00016674i,-0.0019615-0.0047928i,-0.003367-0.0036486i,-0.0039305-0.011874i,0.0037635-0.00022001i,-0.0056966+6.6846e-05i,-0.0030871+0.00099452i,-0.0052214+0.001329i,0.0053382+0.0024974i,-0.005722-0.0043704i,-0.00099504-0.0079717i,-0.002518-0.0023667i,-0.004354-0.0024954i,0.0054468-0.00053513i,0.004429+0.002317i,0.0027911-0.00064684i,0.0031992+0.0094971i,0.0068325+0.0071755i,0.036878+0.036918i,-0.03028-0.013744i,-0.035855+0.010929i,-0.016006+0.020449i,0.0024629-0.00022498i,0.011587-0.0064004i,-0.0099021-0.00043189i
