-0.023923-0.042333i,-0.010295-0.047686i,-0.017139-0.046588i,-0.030971-0.035855i,-0.029741-0.017474i,-0.050812-0.0293i,-0.059787-0.02645i,-0.045211-0.0404i,-0.029457-0.036503i,0.0064034+0.014487i,-0.0044812+0.015994i,-0.005276+0.014635i,0.0098624+0.02175i,0.00024917+0.004633i,0.0037981+0.0030958i,0.0067379+0.018316i,0.028072+0.039548i,-0.0020587-0.00043011i,-0.0041516-0.0062356i,0.0080704+0.0017312i,0.00028226-0.00098034i,-0.00069026+0.0013023i,4.0585e-05-0.00040713i,-0.030908-0.002615i,-0.0012428-0.0056609i,0.001923+0.0050157i,0.0038483+7.0423e-05i,-6.5718e-05+0.00076564i,0.00026162-0.00062698i,8.8969e-05-0.0024393i,-0.0017804-0.0061442i,-0.0042749-0.0041245i,-0.0021288-0.0051666i,0.0019668-0.00089133i,0.0027077-0.002892i,0.0027541+0.026339i,0.0022979-0.0027707i,0.0030141+0.00019428i,0.0062371+0.0013119i,-0.0099361-0.0030323i,-0.002382+0.0011184i,0.0069775+0.0021018i,0.004419+0.0010303i,-0.0049287+0.0063941i,0.0016656-0.0086467i,-0.011001+0.016327i,0.036702-0.091576i,0.012196-0.070625i,-0.015413-0.060055i,-0.01668-0.056095i,0.039218-0.047292i,0.017533-0.062828i,0.034927-0.056041i,0.031254-0.060724i,0.014969-0.012747i,0.004334+0.016614i,0.016367-0.026338i,-0.011419+0.0060897i,-0.00093736+0.0055684i,-0.0053597-0.0006239i,-0.002404-0.028625i,-0.023991+0.031827i,0.010482-0.010902i,-0.013014-0.0024889i,-0.00011265-0.0051404i,-0.0014274-0.016264i,-0.0076299+0.0048834i,0.0051955+0.0060046i,-0.0082346+0.030887i,0.0047559+0.0058711i,-0.0051629-0.00048371i,-0.0031061-0.00037209i,-0.012374-0.0076791i,-0.00051699-0.0045787i,-0.029847+0.0064579i,-3.1063e-05-0.0096888i,-0.0096224-0.0021383i,-0.0065003-0.0026951i,0.0072174+0.0029234i,-0.0080477+0.0016516i,0.00010576+0.00035925i,0.0056732+0.010764i,0.0041745+0.0012035i,-0.0096667-0.010397i,0.002765+0.0083518i,-0.021297+0.0068219i,0.0078993+0.0011015i,-0.029789-0.0048534i,-0.043125+0.00102i,0.021503-0.095234i,-0.0026703-0.011744i,-0.05342-0.021753i,-0.023345+0.0011406i,0.018089+0.010586i,-0.024621+0.012803i,-0.019417-0.013622i
0.0091194+0.018893i,0.014774+0.053318i,0.024515+0.036268i,0.017409+0.027841i,0.025149+0.028127i,0.033936-0.014291i,0.018511-0.0086401i,0.030396+0.007268i,0.012478+0.014633i,0.0020297+0.0060587i,0.0047274+0.0028827i,0.004194+0.0034005i,0.0061943+0.0029424i,0.0050694+0.0038257i,0.0032104-0.0034334i,0.0084177-0.0015378i,0.0090764-0.0052724i,-0.0016333-0.0016474i,-0.0030836+0.0015102i,-0.00014445+0.0014541i,-0.0011562-0.00025084i,-0.0028784+0.0012745i,-0.0017316+0.00099333i,0.0047969+0.0077429i,0.001712+0.0014176i,0.0021069+0.00075632i,0.0019415+0.0011607i,0.0010763+0.0014348i,0.00071996+5.0662e-05i,-0.00027987+0.0009177i,-0.00096207-0.0022987i,-0.00086642-0.00051243i,-0.0011571+0.0010749i,-0.00095081+0.00033544i,-0.00058355-0.0020178i,-0.0064685+0.0076891i,0.0013297+0.00021863i,0.001095-0.00044991i,-0.00093386+0.0025641i,-1.2289e-05-0.0033678i,-0.0015174+0.00035455i,-0.00166-0.00028394i,0.0025804+0.0011908i,0.0055068+0.0038642i,-0.014057+0.03505i,-0.081892+0.036527i,-0.051769+0.038822i,-0.037562+0.060294i,-0.018929+0.072921i,-0.0086008+0.05171i,0.010295+0.038084i,0.003431-0.00059709i,-0.037164+0.0095837i,-0.046337+0.019292i,0.0012397+0.024654i,-0.0082352+0.0023798i,-0.010735-0.00074148i,-0.013659-0.0022717i,0.0022175+0.00060194i,0.0063354+0.0097732i,-0.0021461+0.0082519i,-0.0079987-0.012033i,0.0056193-0.0069555i,-0.0064417-0.0068399i,0.0019832-0.0061968i,0.0035226-0.0042777i,-0.0018107+0.01025i,0.0091259-0.0041585i,0.0051887-0.0061432i,0.0037961-0.0058251i,0.0031055-0.00044172i,-0.0012498-0.0044134i,-0.003643-0.00053032i,0.0023157-0.000377i,-0.0084527+0.02562i,-0.0034373-0.003136i,0.0020658+0.00033671i,0.00011947-0.0067028i,0.0025737-0.0014682i,-0.015147-0.0034851i,0.00060042-1.3179e-05i,0.0050089-0.0029483i,0.002917-0.001154i,0.00051091-0.0050856i,-0.00095667+0.0060959i,-0.0012847+0.0065925i,-0.0024914+0.0048551i,-0.012244+0.0013666i,-0.014457-0.001476i,-0.043639+0.05563i,0.00078122+0.0047663i,-0.024719-0.016999i,-0.006823-0.0074532i,0.010261+0.018776i,-0.0021658+0.02282i,-0.00048835-0.00045014i
0.010936+0.015077i,0.023299+0.048294i,0.03041+0.031815i,0.022381+0.025657i,0.03115+0.023862i,0.030646-0.020308i,0.015677-0.012194i,0.03122+0.0017006i,0.014464+0.01162i,0.0038811+0.0050542i,0.0055015+0.0016789i,0.0041679+0.0032818i,0.0063282+0.0016885i,0.0057645+0.0024389i,0.0020734-0.0040089i,0.0069756-0.003131i,0.0062269-0.0070323i,-0.0013081-0.0013203i,-0.002429+0.0014808i,0.00055425+0.00074049i,-0.0013513-0.00027737i,-0.0024963+0.0018846i,-0.0014302+0.00099369i,0.0083084+0.0050887i,0.0017371+0.0013751i,0.0025826-0.00018574i,0.0020893+0.00010317i,0.0015554+0.00089639i,0.0002464-7.8419e-05i,-0.00030012+0.00099291i,-0.001794-0.0014964i,-0.0013272-0.00054355i,-0.00077364+0.0013209i,-0.00072578+0.00063765i,-0.0015496-0.00075239i,-0.003729+0.0089019i,0.0011001-0.00037981i,0.00077709-0.0007196i,0.00036677+0.0022937i,-0.0010644-0.002886i,-0.0012665+0.0005518i,-0.0017427+0.00019955i,0.0022773+0.00093699i,0.0059283+0.0032235i,-0.0072965+0.036402i,-0.069739+0.050564i,-0.047575+0.047673i,-0.027234+0.064238i,-0.0028832+0.070452i,0.0022104+0.049737i,0.011184+0.032063i,-0.0018222-0.0052094i,-0.038546+0.011966i,-0.03787+0.021106i,0.0073672+0.022779i,-0.0086301+0.0047064i,-0.0099482+0.0050268i,-0.013287+0.0018627i,0.0012504-0.00082424i,0.0079395+0.008973i,0.0019844+0.011193i,-0.014-0.0096732i,0.001203-0.0076084i,-0.0062412-0.0031381i,-0.0014314-0.0059591i,0.0012154-0.0053946i,0.0027876+0.008084i,0.0059529-0.0063943i,0.00087652-0.0067989i,0.00102-0.0037446i,0.0038611-0.0015002i,-0.0023195-0.0037138i,-0.0014547+0.0014833i,0.0025643-0.00060183i,0.0047134+0.025584i,-0.004211-0.0028146i,0.0026452-0.0017852i,-0.0031724-0.0060364i,0.0028808-0.0022289i,-0.014106+0.0032456i,0.00089507+0.00040618i,0.0034557-0.0027719i,0.0029328-0.0023611i,-0.00099117-0.0047978i,0.0010168+0.003162i,0.0017188+0.0056307i,0.00031393+0.0056239i,-0.011226+0.0053132i,-0.015598+0.0017594i,-0.032768+0.057713i,0.00088679+0.0055293i,-0.028617-0.011567i,-0.0095182-0.010176i,0.012473+0.01725i,0.0022244+0.024683i,-0.0028823-0.0015589i
0.011528+0.012272i,0.029751+0.041359i,0.03617+0.024987i,0.028251+0.020827i,0.036911+0.01796i,0.025952-0.025922i,0.012056-0.015272i,0.03118-0.0044616i,0.016113+0.0087308i,0.0046919+0.0036398i,0.005331-0.00025663i,0.0050309+0.0030206i,0.0061817-3.9684e-05i,0.0061199+0.000673i,0.00082335-0.0041841i,0.0052499-0.0041603i,0.0036162-0.0076415i,-0.001644-0.0013907i,-0.002275+0.001829i,0.00049392-0.00032237i,-0.0019129-0.00022618i,-0.0017778+0.0024143i,-0.0013535+0.0010591i,0.009061+0.00083571i,0.0024178+0.00059124i,0.0019719-0.0011963i,0.0016668-0.00069777i,0.0019482+1.7342e-05i,0.000132+7.9402e-05i,-0.00013814+0.0012172i,-0.0022803-0.00036297i,-0.0019503+0.00043436i,-9.9544e-05+0.0015851i,-0.00043597+0.00087959i,-0.0012441+0.0006157i,-0.00097588+0.0093775i,0.00069436-0.00050255i,0.00041635-0.001017i,0.00090648+0.0015371i,-0.0019893-0.0022364i,-0.0010871+0.00069595i,-0.0015362+0.00057894i,0.0021937+0.001231i,0.0068855+0.0021556i,0.00078979+0.03627i,-0.056723+0.060994i,-0.039189+0.055845i,-0.015809+0.065061i,0.011628+0.063602i,0.011875+0.047655i,0.010824+0.028714i,-0.0071769-0.0061352i,-0.038976+0.017657i,-0.030872+0.020393i,0.012518+0.018183i,-0.0081103+0.00696i,-0.0076725+0.0081291i,-0.012247+0.0049399i,-0.00063955-0.0025497i,0.010059+0.0070006i,0.0069911+0.01086i,-0.017851-0.0046455i,-0.00094244-0.0054149i,-0.0054726-0.00028304i,-0.0032403-0.0039845i,-0.0011929-0.0046825i,0.0050763+0.0068297i,0.0038253-0.0066752i,-0.0030216-0.0047075i,0.0012171-0.0019998i,0.0035402-0.0040537i,-0.004015-0.0027057i,-1.2988e-05+0.00084242i,0.0023478-0.0013122i,0.015152+0.019177i,-0.0056834-0.0014218i,0.0022866-0.0029591i,-0.0031131-0.0039013i,0.0033857-0.0038119i,-0.0098467+0.0083728i,0.0021197+0.00048918i,0.0021633-0.0033209i,0.0017342-0.0027277i,-0.0023534-0.0037523i,0.00064332+0.0023096i,0.0034701+0.0036241i,0.0027022+0.0050669i,-0.0091746+0.007773i,-0.015721+0.0062659i,-0.023781+0.058132i,0.0044989+0.0055813i,-0.030244-0.0058296i,-0.013031-0.011607i,0.016114+0.01395i,0.0081949+0.025461i,-0.0048621-0.00097891i
0.01173+0.010259i,0.033319+0.034795i,0.039025+0.016898i,0.031981+0.013464i,0.040846+0.009733i,0.019762-0.029973i,0.0078098-0.016935i,0.029374-0.010506i,0.017376+0.005507i,0.0049732+0.0025858i,0.0044301-0.00094661i,0.0059483+0.0019826i,0.005306-0.0010992i,0.0056265-0.00094965i,-0.00050769-0.0039523i,0.0035925-0.0044265i,0.0010547-0.0071038i,-0.0018475-0.00085053i,-0.0013044+0.0022667i,-0.00024718-0.00071277i,-0.0021646+0.00068051i,-0.0010524+0.0028908i,-0.0012783+0.0013519i,0.0077518-0.0025646i,0.0021758-0.00028847i,0.0011433-0.0013478i,0.0010713-0.00097739i,0.0014188-0.0010761i,0.00017652-3.5447e-06i,0.0002768+0.0013969i,-0.0022228+0.00094162i,-0.0013739+0.0014519i,0.00059764+0.0012898i,-0.00015631+0.00092163i,-0.00060326+0.0012689i,0.0019258+0.0089991i,0.00044524-0.0006296i,-0.00010492-0.0012049i,0.00096333+0.0013225i,-0.0024321-0.001449i,-0.00092055+0.00094929i,-0.0014283+0.00080174i,0.0027064+0.0013206i,0.0075271+0.00050863i,0.0080366+0.03305i,-0.041311+0.068377i,-0.029843+0.061867i,-0.0067216+0.064416i,0.023866+0.05276i,0.021717+0.04183i,0.0098895+0.02731i,-0.013517-0.0044465i,-0.037645+0.024766i,-0.026678+0.018208i,0.015707+0.011854i,-0.0063198+0.0098352i,-0.0044169+0.011429i,-0.010668+0.0077772i,-0.0043354-0.0015314i,0.012068+0.0036288i,0.011474+0.0081922i,-0.019594+0.0015638i,-0.0019723-0.0042205i,-0.0036901+0.0012069i,-0.0038637-0.0015422i,-0.0027461-0.0033641i,0.0071056+0.0034598i,0.0017684-0.0067969i,-0.004548-0.00038079i,0.0019891-0.0015354i,0.0012839-0.0057716i,-0.0046164-0.0004949i,0.00087001+0.00089757i,0.0022562-0.0018543i,0.020697+0.0093012i,-0.0059636+0.0014021i,0.0017562-0.0043722i,-0.0031652-0.0025072i,0.0017697-0.0061383i,-0.0042543+0.0095237i,0.003184-0.00079009i,0.0010657-0.0026325i,0.00089407-0.0027253i,-0.0024394-0.0021895i,0.00046839+0.0022957i,0.003556+0.0013116i,0.0048305+0.0040296i,-0.0067731+0.0093683i,-0.014262+0.010888i,-0.01568+0.058983i,0.010956+0.0011952i,-0.029065-9.4323e-05i,-0.018512-0.01111i,0.016866+0.0093778i,0.015119+0.023428i,-0.0049579-0.00037125i
0.012483+0.0086805i,0.036669+0.02955i,0.040321+0.0096944i,0.03327+0.0059279i,0.042259+0.00094959i,0.013655-0.032461i,0.0037535-0.016917i,0.026372-0.015606i,0.018207+0.0020725i,0.0051388+0.0015312i,0.0038872-0.0012653i,0.0065724+0.00060679i,0.0047505-0.0014015i,0.004751-0.0021696i,-0.001613-0.0030735i,0.0022705-0.004021i,-0.00064868-0.006164i,-0.0022034-0.0002924i,-0.00071488+0.0020489i,-0.00087544-0.00056011i,-0.0019507+0.0013934i,0.00011334+0.003142i,-0.0010409+0.001796i,0.0054901-0.0047648i,0.0015894-0.00075038i,0.00074597-0.0013761i,0.0006367-0.0011265i,0.00055628-0.0012721i,2.1875e-05+3.2449e-05i,0.0010057+0.0012815i,-0.0013158+0.001827i,-0.00054019+0.0019317i,0.0009574+0.0008217i,0.00020505+0.0011799i,0.00021757+0.0014604i,0.0044249+0.0076308i,3.343e-05-0.00055981i,-0.00070319-0.001051i,0.0014694+0.0010689i,-0.0027083-0.00051691i,-0.00052956+0.00090758i,-0.0011858+0.001012i,0.0033367+0.00096025i,0.0072294-0.0015346i,0.012971+0.0282i,-0.024823+0.071069i,-0.017943+0.066429i,0.0028388+0.063889i,0.029894+0.039754i,0.027988+0.034103i,0.010579+0.028654i,-0.017521+0.0023049i,-0.033743+0.033928i,-0.025664+0.016211i,0.014584+0.0058651i,-0.0029159+0.011889i,0.00084805+0.011737i,-0.0085693+0.010214i,-0.0054854+0.0018032i,0.012249-0.0016425i,0.014404+0.0035985i,-0.019206+0.007793i,-0.0023769-0.0023078i,-0.0026007+0.0017511i,-0.0026815+8.6867e-05i,-0.0040273-0.0010666i,0.0070473+0.00059005i,-0.00018939-0.0065407i,-0.0030122+0.0031057i,0.0030318-0.0023682i,-0.0012911-0.0058954i,-0.0036135+0.0011641i,0.0021286+0.00011137i,0.0018799-0.0022772i,0.020928-0.00044008i,-0.0039894+0.003606i,0.00014908-0.0055373i,-0.0025007-0.0019613i,-0.00074241-0.0068424i,-0.00040016+0.0083845i,0.0028851-0.0022847i,0.0011511-0.0014432i,0.00089429-0.0022109i,-0.0014017-0.0016009i,0.0011737+0.0027457i,0.0021591-4.9819e-05i,0.0057439+0.0015175i,-0.004398+0.0094474i,-0.010521+0.01523i,-0.0069595+0.059065i,0.012521-0.009508i,-0.025633+0.0020869i,-0.023973-0.0083858i,0.017359+0.0053746i,0.02059+0.017105i,-0.0060033-0.00075191i
0.013563+0.006751i,0.040057+0.023744i,0.041225+0.002199i,0.033249-0.0016049i,0.042196-0.0075761i,0.0072125-0.034064i,0.0008541-0.016171i,0.022786-0.01996i,0.018645-0.0019064i,0.0048754+0.00051789i,0.0039017-0.0015258i,0.0068101-0.00092716i,0.0049836-0.0019361i,0.0036882-0.0030077i,-0.0021943-0.002183i,0.0016701-0.0033441i,-0.0015297-0.0054828i,-0.0019858+0.00027613i,-0.00027741+0.0019667i,-0.0012302-0.00018332i,-0.0013354+0.0018783i,0.0014324+0.0026746i,-0.00044743+0.0021532i,0.0024895-0.0057661i,0.0013502-0.00097468i,0.00026256-0.0014711i,0.00022807-0.0012061i,9.9846e-06-0.0011491i,-1.5212e-05+0.00017364i,0.0014605+0.00065104i,-0.00033388+0.0020261i,0.00036214+0.0019403i,0.0010467+0.00046655i,0.00080464+0.00093565i,0.00077314+0.00084472i,0.0059025+0.00567i,-0.00012893-0.00030683i,-0.00097568-0.00053235i,0.0015409+0.0004578i,-0.0024713+0.00023472i,-0.00032837+0.0008758i,-0.0008368+0.00103i,0.0037873+0.00032638i,0.0062949-0.0031333i,0.016243+0.023212i,-0.010189+0.069341i,-0.0044014+0.0668i,0.012813+0.061681i,0.032102+0.027839i,0.031846+0.0263i,0.013953+0.030561i,-0.016413+0.011035i,-0.024765+0.043122i,-0.026508+0.017147i,0.012566+0.0027342i,0.0012456+0.01204i,0.0045409+0.0099016i,-0.005725+0.01248i,-0.0046395+0.0041763i,0.0095639-0.0070765i,0.014558-0.0024927i,-0.016355+0.012669i,-0.0017842-0.0012581i,-0.0014205+0.0015911i,-0.0016623+0.00040414i,-0.0032047+0.0015851i,0.0055546-0.0013646i,-0.0016286-0.0053637i,0.00031277+0.0045283i,0.0027554-0.0041285i,-0.0034367-0.0044982i,-0.0025922+0.0018525i,0.0022505-0.0013112i,0.0018927-0.0025498i,0.0172-0.0085746i,-0.0017347+0.0043081i,-0.0019872-0.0053181i,-0.0027511-0.0017352i,-0.0031819-0.0060925i,0.001826+0.00672i,0.002486-0.003434i,0.0025649-0.0016077i,0.0010004-0.0029983i,-0.00075141-0.0023784i,0.0020256+0.0026661i,0.00072227+0.00042325i,0.0051187-7.2435e-05i,-0.002956+0.0089984i,-0.0046854+0.017247i,0.0017904+0.057518i,0.0067609-0.01851i,-0.023932+0.00058955i,-0.028892-0.0024355i,0.01582-0.00014913i,0.022021+0.010383i,-0.0069813+0.00026676i
0.01459+0.0045172i,0.042364+0.017177i,0.039965-0.0062693i,0.030787-0.0095772i,0.040457-0.016637i,0.00032603-0.034042i,-0.0012053-0.015433i,0.01855-0.023748i,0.017816-0.0059511i,0.0044806+0.00022765i,0.0034882-0.0019939i,0.0065435-0.0030536i,0.0047112-0.0031743i,0.0024746-0.003523i,-0.0025318-0.0011635i,0.0015459-0.0030285i,-0.0025722-0.0048766i,-0.0021061+0.00076501i,0.00043262+0.0016856i,-0.0016941+0.00040255i,-0.00090705+0.0020648i,0.0022557+0.0016424i,0.0001488+0.0022559i,-0.00060193-0.0052727i,0.00085398-0.0017527i,-0.00030369-0.0011656i,-0.00031061-0.0012093i,-0.00038537-0.00086733i,0.00024178+0.00025763i,0.0014357+9.0655e-06i,0.00073233+0.0017937i,0.001001+0.0016966i,0.00093473+9.5136e-05i,0.0010699+0.00049739i,0.0007138+2.5892e-05i,0.0065976+0.0037267i,-0.00026011-0.00011075i,-0.0010782-0.0002008i,0.0014464+0.00012204i,-0.0020028+0.00067598i,-0.00018046+0.00091157i,-0.00056311+0.0010362i,0.0040903-0.00085568i,0.0049711-0.0042145i,0.018124+0.018679i,0.0022996+0.065533i,0.0077414+0.062939i,0.022367+0.057738i,0.030794+0.017609i,0.033738+0.019377i,0.019875+0.030573i,-0.0093888+0.017031i,-0.011417+0.047702i,-0.026391+0.021024i,0.010731+0.00089791i,0.0046128+0.010252i,0.0066963+0.0068802i,-0.001959+0.013382i,-0.0039072+0.0056639i,0.0032744-0.0095466i,0.011224-0.0073975i,-0.012278+0.016319i,-0.0011665-0.0016175i,-0.00088847+0.00099649i,-0.0012888+0.00031254i,-0.00089819+0.0028118i,0.0043229-0.0015061i,-0.0023128-0.0045007i,0.0031519+0.0037526i,0.0011842-0.0057909i,-0.0044712-0.0026393i,-0.0013366+0.0022232i,0.0014511-0.0025386i,0.0014574-0.0035877i,0.011115-0.013191i,0.0001856+0.004124i,-0.0033691-0.0041677i,-0.0025221-0.0013331i,-0.0047084-0.0047693i,0.0031523+0.0051158i,0.0017442-0.0050105i,0.0029568-0.0033225i,-0.00010214-0.0036369i,-0.0017042-0.0031839i,0.0033446+0.0025981i,0.00068919+0.0018642i,0.0045494-0.001056i,-0.0020068+0.0089657i,0.00042818+0.016346i,0.010121+0.055593i,-0.0017958-0.023685i,-0.026499-0.00094308i,-0.030065+0.0057354i,0.010661-0.0036056i,0.022493+0.0046087i,-0.00617+0.00079598i
0.015589+0.0015335i,0.044271+0.011158i,0.036423-0.01333i,0.02551-0.01558i,0.035911-0.025119i,-0.0056662-0.032299i,-0.0027397-0.01478i,0.013598-0.02636i,0.016417-0.0096342i,0.0048822+7.1106e-05i,0.0032387-0.0021375i,0.0050486-0.0048533i,0.0039744-0.0041932i,0.0014011-0.0035363i,-0.0023356-0.00018176i,0.0014098-0.0028409i,-0.0041503-0.0036446i,-0.0018376+0.0016243i,0.00079756+0.0010492i,-0.0016049+0.0015762i,-0.00027346+0.0023879i,0.0023165+0.00041937i,0.00080664+0.0022143i,-0.0027072-0.0033782i,-0.00054179-0.0016387i,-0.00050063-0.00081595i,-0.00071823-0.00092966i,-0.00063387-0.0005321i,0.0003342-5.1298e-05i,0.0012332-0.00041124i,0.0014714+0.0011013i,0.0014852+0.0011231i,0.00087528-0.00015563i,0.0010967+8.249e-05i,0.00019646-8.9422e-05i,0.0066451+0.0017716i,-0.00024217+0.00010254i,-0.0011826+0.00026464i,0.0014092-0.0001075i,-0.0014205+0.00090532i,2.2449e-05+0.0010144i,-0.00040572+0.0010001i,0.0035929-0.0022478i,0.003394-0.0045937i,0.019101+0.014258i,0.013171+0.059572i,0.016651+0.057524i,0.031174+0.052117i,0.027838+0.010423i,0.034249+0.012972i,0.025912+0.027846i,-0.0015431+0.017649i,0.0024489+0.04707i,-0.024022+0.025605i,0.0097076-0.00012231i,0.0071137+0.0077438i,0.0072799+0.0040881i,0.0020643+0.012722i,-0.0025152+0.0074918i,-0.0025321-0.0078515i,0.0069889-0.009547i,-0.0074494+0.018456i,-0.0016794-0.0023633i,-0.0012274+0.00089294i,-0.0012341+0.00051484i,0.0016024+0.0025855i,0.0036196-0.0017826i,-0.0033866-0.0036683i,0.0047161+0.0016467i,-0.0019131-0.0065104i,-0.0044798-0.00078749i,-4.1107e-05+0.0016861i,0.00092727-0.0031959i,0.00023535-0.0048323i,0.0048849-0.014397i,0.001698+0.0033894i,-0.0042196-0.0032331i,-0.0032586-0.0013928i,-0.0061216-0.0029303i,0.0034248+0.0037064i,-0.00038602-0.0064942i,0.0027133-0.0049998i,-0.0010513-0.0032157i,-0.0025446-0.0028402i,0.003906+0.0019638i,0.0018048+0.0026007i,0.0034244-0.0019662i,-0.00076443+0.0095325i,0.0044048+0.013859i,0.019115+0.052552i,-0.012165-0.025497i,-0.03055+0.00079163i,-0.027191+0.013549i,0.0062026-0.0030541i,0.020504-0.001633i,-0.0055725-0.00069068i
0.015667-0.0021732i,0.045797+0.0038763i,0.032409-0.018649i,0.020151-0.018689i,0.029835-0.031858i,-0.010403-0.030005i,-0.0039283-0.014631i,0.0086951-0.028042i,0.01422-0.013235i,0.0054399-0.00095959i,0.003362-0.0026714i,0.0031402-0.0055127i,0.0027779-0.0053582i,0.00060267-0.0033954i,-0.0018603+0.00040885i,0.0013707-0.0026175i,-0.004784-0.001661i,-0.0011861+0.001762i,0.000652+0.00042899i,-0.00081148+0.0021509i,0.00041941+0.0023402i,0.0019164-0.0004078i,0.0014987+0.0018522i,-0.0036558-0.00085304i,-0.0010627-0.00086411i,-0.00057777-0.00058241i,-0.00093693-0.00062856i,-0.00063252-0.00015238i,6.3186e-05-2.6499e-06i,0.0008294-0.00075022i,0.0019549+0.00021398i,0.0015435+0.00056777i,0.00081312-0.00036524i,0.0011452-0.00017775i,7.3255e-05+0.0002932i,0.0060074+0.00013607i,-0.00016506+0.0003085i,-0.00099956+0.00077175i,0.0012581-0.00060568i,-0.00083128+0.0011123i,0.00038783+0.00089664i,-0.00027471+0.00091508i,0.0024903-0.0031237i,0.0019881-0.0043433i,0.019219+0.01008i,0.020808+0.051709i,0.023804+0.052213i,0.038597+0.044413i,0.024461+0.0050532i,0.033838+0.0085636i,0.031012+0.023874i,0.0050064+0.016335i,0.014503+0.041848i,-0.019573+0.030054i,0.0090975-0.0015475i,0.00862+0.0043236i,0.0076767+0.0018882i,0.0056196+0.0105i,0.00027244+0.0080491i,-0.005737-0.004437i,0.0026289-0.0099609i,-0.0020454+0.018435i,-0.0030067-0.0021401i,-0.0019827+0.0018138i,-0.0010549+0.00077865i,0.0032362+0.0011422i,0.0029554-0.0011057i,-0.0038798-0.002201i,0.0048091-0.00067957i,-0.0045677-0.0050293i,-0.0034078+0.00057588i,0.00030644+0.00061203i,0.00014544-0.0040524i,-0.0017585-0.0050013i,-0.00020038-0.013489i,0.0029512+0.0019232i,-0.0053939-0.0017755i,-0.0038884-5.4868e-05i,-0.006128-0.00034176i,0.0038157+0.0032067i,-0.0034394-0.006471i,0.001507-0.0069029i,-0.0016517-0.0029077i,-0.0031116-0.0027915i,0.0049294+0.0014398i,0.0031564+0.0024819i,0.0023337-0.0015031i,0.00089781+0.0094537i,0.0066354+0.010632i,0.028195+0.047036i,-0.023195-0.022262i,-0.033778+0.004635i,-0.021714+0.018085i,0.0044368-0.0019015i,0.016004-0.005659i,-0.007722-0.0015293i
0.014405-0.0056201i,0.045849-0.004109i,0.028207-0.023223i,0.015627-0.020418i,0.022776-0.037059i,-0.014968-0.027445i,-0.005513-0.015327i,0.0038083-0.029068i,0.011101-0.016251i,0.0055022-0.0022481i,0.0032029-0.0037415i,0.0014269-0.0055246i,0.00098523-0.0059657i,-0.0001029-0.00325i,-0.0014955+0.00058411i,0.0015478-0.0026791i,-0.0043887+0.00014974i,-0.00076065+0.0016762i,0.00047044+0.00020807i,-6.0995e-05+0.0022955i,0.0010257+0.0021212i,0.0014316-0.00081077i,0.0019562+0.0011783i,-0.0028491+0.0015301i,-0.00093154-0.00020656i,-0.00066587-0.00026286i,-0.0010732-0.00031349i,-0.00058473+5.8653e-05i,8.9073e-05+0.0001225i,0.00023908-0.0008757i,0.0019668-0.00086273i,0.0015735+0.00019645i,0.00063167-0.00059735i,0.0010505-0.00075921i,0.00035078+0.00056705i,0.0052528-0.00092283i,0.00011389+0.0003182i,-0.00055826+0.0011746i,0.0006167-0.0007277i,-9.6226e-05+0.00088704i,0.00064435+0.00078432i,-0.00024051+0.0010648i,0.0011842-0.0033018i,0.0011338-0.0035619i,0.018825+0.0069918i,0.025262+0.04504i,0.030466+0.046727i,0.043358+0.03673i,0.020464+0.00076766i,0.03493+0.004924i,0.035308+0.018561i,0.011381+0.012576i,0.024188+0.033332i,-0.012478+0.033261i,0.0081932-0.0030833i,0.0081148-0.0002418i,0.0079479-0.00074744i,0.0074411+0.0070654i,0.0021234+0.0071864i,-0.0071299-8.7109e-05i,-0.001178-0.0087397i,0.0021828+0.015827i,-0.0040228-0.00078326i,-0.0017617+0.0035803i,-0.00090386+0.0010541i,0.0039912-0.00097966i,0.0037901+0.00024375i,-0.003402-0.00091774i,0.0042721-0.001575i,-0.0057415-0.0027578i,-0.0023032+0.00096072i,5.5911e-05+0.00027075i,-0.001983-0.0047381i,-0.0034483-0.0038674i,-0.004423-0.012039i,0.003182+4.6222e-05i,-0.0056669+0.00019285i,-0.0030661+0.0011895i,-0.0052305+0.0015144i,0.0050334+0.0026256i,-0.0058804-0.0045354i,-0.0012-0.008107i,-0.0026088-0.0023982i,-0.0045492-0.0022959i,0.0059768-0.00054981i,0.0047272+0.0020684i,0.0026345-0.0011576i,0.0027802+0.0094456i,0.0068492+0.007461i,0.035728+0.039202i,-0.030256-0.013468i,-0.036481+0.010811i,-0.015912+0.020797i,0.0026652-0.00035541i,0.011682-0.0062858i,-0.0092285-0.00090293i
