-0.024555-0.0046235i,-0.023613+0.0011491i,-0.017216-0.0075906i,-0.02951-0.013265i,-0.02863+0.0028337i,-0.039664-0.0059558i,-0.063573-0.033465i,-0.033944-0.018362i,-0.030877-0.002635i,0.0065256+0.003702i,-0.0037598+0.0070227i,-0.0056703+0.012975i,0.0044661+0.010877i,-0.0024517+0.0035836i,0.0042962+0.0046834i,0.0027844+0.027141i,0.021943+0.023184i,0.0008439-0.0012154i,0.00082948-0.0067445i,0.0060454-0.00096301i,0.0049908-0.000366i,0.0035859+0.0019537i,0.0010177-0.00026443i,-0.032323-0.00065381i,-0.0059923-0.006863i,-0.0014517+0.0028893i,0.00039781-0.0019287i,-0.00082554+0.00039662i,-0.0012534+0.0011729i,-0.0019653-0.0033667i,-0.0043482-0.0020416i,-0.0067435-0.0074162i,-0.0006008+0.00013789i,-0.00064551-0.00010532i,0.0015979-0.0035494i,-0.0013993+0.022518i,0.0014037-0.0031985i,0.00017943-0.002394i,0.0048606-0.0030317i,-0.0022315-0.0016181i,0.00095184+0.00032403i,0.0062818-0.0020724i,0.0046357-0.0027611i,-0.00051382+0.00217i,-0.013577+0.015537i,-0.031162+0.055936i,-0.0023127-0.036544i,-0.013714-0.016377i,-0.034822-0.015455i,-0.027978-0.015043i,0.043969-0.0047195i,0.0080063-0.032821i,0.015391-0.04i,-0.0098359-0.030155i,0.024969-0.021043i,0.012697+0.0066192i,0.030481-0.032353i,-0.0030706-0.0044263i,0.0065212-0.0079322i,-0.0017304-0.006074i,0.0039412-0.038173i,-0.013867+0.029042i,0.0071508-0.012298i,-0.0085668-0.0051693i,-0.0029315-0.0015672i,0.00016799-0.013716i,-0.008525+0.0059594i,0.003821+0.0074391i,-0.0017726+0.029155i,0.0023468+7.1222e-05i,-0.0069684-0.0050747i,-0.0028759-0.0064141i,-0.013369-0.0097108i,-0.0024632-0.0066495i,-0.0492+0.0074905i,-0.0039765-0.0096582i,-0.01353-0.0022726i,-0.0078451-0.006698i,0.001423-0.0019326i,-0.013693+0.0021295i,-0.0012562+0.00014978i,0.0066353+0.0072686i,0.0038748-0.0047382i,-0.0055921-0.0090381i,0.0080746+0.0089747i,-0.017984+0.0069442i,0.0050519-4.8952e-05i,-0.019559-0.0025736i,-0.018075-0.0037972i,-0.017512-0.033526i,0.02069-0.0092042i,-0.039594-0.026162i,-0.0094459+0.0031461i,0.017371+0.016511i,-0.021986+0.017921i,-0.0034496-0.0039153i
0.0068171-0.0091544i,0.010059-0.0092519i,0.0088509-0.002376i,0.011125+0.0033456i,0.016336-0.0031182i,0.013548-0.015282i,0.01787-0.0021605i,0.012345+0.0038012i,0.0041195-0.0087244i,-0.000969+0.0017373i,-0.0015609+0.00010923i,-0.0023381+0.00023112i,-0.00071223+0.0034045i,-0.0020049+0.00243i,0.0015824+0.002055i,0.0025134-0.0006068i,0.002298-0.0028224i,0.0018177-0.0010578i,-8.4888e-05-0.00081529i,-9.2486e-05-0.00036209i,-1.8343e-05-0.0020559i,-0.0019919-0.0013019i,-0.0018053-0.00021222i,0.0048344+0.0065364i,-0.0023123+0.00011823i,-0.0018+0.002077i,-0.002017+0.0007919i,-0.0022742+0.0004308i,-0.0015519-0.0016383i,-0.0033055+0.001109i,-7.0277e-05-0.0020146i,0.00052849+0.0010437i,0.00078474-0.00052404i,0.0020096+0.00098968i,0.00069506+0.00028171i,-0.0087115+0.00671i,-0.0017815-0.00057755i,-0.0014328+0.00059487i,-0.0021229+0.00036708i,0.0013982-0.0010027i,0.00045815-0.00057582i,0.00038547-0.0010894i,-0.0016769+0.0015682i,0.0046457-0.00016299i,-0.0017046-0.013756i,-0.030676-0.0030982i,-0.003815-0.0085792i,-0.0069651+0.003582i,0.01396+0.024151i,-0.00081742+0.0057475i,0.012018-0.021202i,-0.0094176-0.031614i,-0.005453-0.013414i,0.0075363-0.0061413i,0.021669+0.019055i,0.0018315-0.00030571i,-0.00067596-0.00026289i,-0.0064687-0.00038937i,0.012319-0.0018875i,0.014216+0.0091482i,0.001593+0.0053035i,-0.0045533-0.0074764i,0.0053591-0.0021716i,-0.0046636-0.0068206i,0.0035585-0.011947i,0.007155-0.0062223i,-0.00094895+0.0072262i,0.011277-0.0077467i,0.0062309-0.0083079i,0.00059185-0.0065453i,-0.0028026-0.0018211i,-0.0062495-0.0072208i,-0.0072591-0.0016958i,-0.00062629-0.0021069i,-0.0059657+0.035719i,-0.011621-0.0026702i,0.00010687+0.0028217i,-0.0045631-0.0054517i,0.00034312+0.00092094i,-0.016336+0.00069884i,-0.0026512+0.0011266i,-0.00094294-0.0032471i,-0.0034049-0.0010626i,-0.0053143-0.0037501i,-0.0018549+0.0045413i,-0.0018544+0.0028655i,-0.00544+0.0069413i,-0.0055373+0.00031752i,-0.0032162-0.001768i,0.0090601-0.003316i,-0.0059612+0.018194i,-0.029094-0.0033146i,-0.010327-0.0025449i,0.012226+0.017232i,-0.0023708+0.016097i,-0.0076745-0.0055302i
0.0056227-0.010863i,0.008439-0.011163i,0.0085571-0.0034513i,0.011179+0.0021881i,0.016307-0.0060146i,0.01057-0.017627i,0.015633-0.005444i,0.012674+0.0017629i,0.0024617-0.009614i,-0.00024827+0.001939i,-0.0010271+0.00086066i,-0.0026177+0.0014789i,0.00034936+0.0034753i,-0.00096357+0.0032969i,0.0019401+0.0016308i,0.0017812-0.000349i,0.00057845-0.0028672i,0.0010355-0.0018703i,-0.00032687-0.0014195i,0.00020877-0.00076589i,-0.00046361-0.0021127i,-0.0021263-0.0007052i,-0.0016979-0.00022205i,0.0080096+0.0040229i,-0.0026515+0.0016581i,-0.00051169+0.0027053i,-0.0018412+0.0015436i,-0.0021146+0.0013208i,-0.0027617-0.00073722i,-0.002729+0.002725i,-0.0021883-0.0015556i,0.00046684+0.00023748i,0.00036186-0.00074051i,0.0016158-0.00079572i,0.00032968+0.00081231i,-0.0063787+0.0090113i,-0.0022563+0.00021527i,-0.0012103+0.0013154i,-0.0022428+0.0011094i,0.0011146-0.0015226i,0.00041384-0.00077421i,3.3941e-05-0.0011973i,-0.0015701+0.0019377i,0.00359-0.00068868i,-0.0028432-0.012934i,-0.027332+0.00022535i,-0.0056059-0.0058095i,-0.0032713+0.0022171i,0.022013+0.018279i,0.0036119+0.0033037i,0.0030466-0.024291i,-0.019095-0.032506i,-0.010486-0.014429i,0.011014-0.013132i,0.033659+0.0089752i,0.0007364+0.00050127i,-0.00028567+0.0022144i,-0.0058246+0.0016079i,0.0095252-0.0062293i,0.015607+0.0058119i,0.0049647+0.0072645i,-0.0087264-0.0060439i,0.0025582-0.0036385i,-0.0057293-0.0042609i,-0.0026961-0.010907i,0.0040866-0.0078922i,0.0029319+0.0054832i,0.0064391-0.009804i,0.0023639-0.0077099i,-0.0023298-0.0034334i,-0.0015583-0.00080388i,-0.0079109-0.004959i,-0.0065083+0.0010082i,-0.00032375-0.0013684i,0.01577+0.031685i,-0.013609+0.0016182i,0.00092162+0.0012249i,-0.0064932-0.0032419i,0.00098264+0.00025828i,-0.014753+0.0082694i,-0.0018841+0.0021125i,-0.0021342-0.00164i,-0.0025998+3.6211e-05i,-0.0063036-0.0016897i,-0.00021984+0.0023982i,-0.00035871+0.0023666i,-0.0010911+0.0090122i,-0.0039679+0.002256i,-0.0044701-0.0011067i,0.009363-0.010283i,-0.0024826+0.020662i,-0.028929+0.0027681i,-0.01133-0.0036889i,0.013921+0.014581i,0.00012537+0.01829i,-0.010049-0.0047042i
0.0033417-0.012328i,0.0059995-0.013472i,0.0083545-0.0053173i,0.011845+0.00026183i,0.016077-0.0092036i,0.0070042-0.019794i,0.012965-0.0083775i,0.012717-0.00050123i,0.00071192-0.0094847i,-7.6865e-06+0.0015223i,-0.00055408+0.00073521i,-0.0020786+0.0027152i,0.0010891+0.0029521i,0.00024021+0.0032105i,0.0021201+0.0011633i,0.0013537+3.5905e-05i,-0.00041415-0.0020552i,0.00057126-0.0022441i,-0.00092334-0.0013805i,-0.00012882-0.0015361i,-0.0011884-0.002036i,-0.0018581-0.00020897i,-0.0019236-0.00021032i,0.0087968-0.00037733i,-0.001726+0.0028806i,0.00034871+0.002591i,-0.0014216+0.002607i,-0.0015116+0.0021179i,-0.003206+0.0010214i,-0.0015468+0.0038918i,0.00028011-0.00038363i,-0.00025451+0.00094579i,3.194e-06-0.00062636i,0.00089869-0.00077673i,0.00072571+0.0015402i,-0.0035194+0.010995i,-0.0022251+0.0015629i,-0.000644+0.0016971i,-0.0019205+0.002287i,0.00053543-0.0021749i,0.00036047-0.00098112i,-0.00027845-0.0012046i,-0.0011937+0.0026945i,0.0032833-0.00062478i,-0.0031201-0.012196i,-0.025217+0.0036595i,-0.0070298+0.0014625i,-0.00030983-0.0009084i,0.030026+0.0077528i,0.007256+0.0014257i,-0.0058796-0.023387i,-0.027528-0.028479i,-0.014992-0.011821i,0.0097434-0.022046i,0.011793+0.00035136i,-0.0010621+0.00062322i,-0.00043461+0.0015791i,-0.0058882+0.0027472i,0.0041857-0.009937i,0.016547+0.0011217i,0.0084532+0.0063567i,-0.012436-0.002227i,0.0012229-0.00296i,-0.006206-0.0011967i,-0.0055649-0.0074625i,0.0012375-0.0081688i,0.0050143+0.0046519i,0.0029072-0.0099367i,-0.0016275-0.0082285i,-0.002401-0.0005861i,-0.0016759-0.001471i,-0.0099743-0.0018056i,-0.0037184+0.0030956i,-0.0011348-0.0019006i,0.02549+0.020028i,-0.013405+0.0060627i,0.0012361+0.00056001i,-0.0050814-0.00037795i,0.0013168-0.00099155i,-0.0079275+0.013688i,-0.00052616+0.0029769i,-0.0032431-0.00058242i,-0.0023565+0.00095804i,-0.0060083+0.0020253i,-0.0011301+0.0021763i,0.00015827+0.0015656i,0.0033928+0.0082751i,-0.0025849+0.0017414i,-0.0054551+0.00052981i,0.0058008-0.015331i,0.0077711+0.02011i,-0.026808+0.0064973i,-0.012939-0.0043313i,0.016578+0.010032i,0.0047753+0.020208i,-0.011318-0.0029296i
0.00067718-0.012659i,0.0023706-0.0144i,0.0070516-0.0071562i,0.011987-0.002465i,0.014734-0.012935i,0.0027273-0.020899i,0.0096069-0.010027i,0.012324-0.0027231i,-0.00038519-0.0093653i,-0.00036152+0.0018173i,-0.00056537+0.00074929i,-0.0010197+0.0034667i,0.0012337+0.0026166i,0.00084337+0.0031006i,0.0019659+0.00080279i,0.00085242+0.00075969i,-0.0008917-0.00097949i,0.00018291-0.00266i,-0.00085899-0.0010697i,-0.0010348-0.0018088i,-0.0015281-0.001654i,-0.0017987+1.4404e-05i,-0.0022652+0.00018576i,0.0070935-0.0040521i,-0.00053518+0.0033989i,0.0012541+0.0025322i,-0.00021321+0.0033155i,-0.00072883+0.0025528i,-0.0023908+0.002538i,0.00014337+0.0043285i,-0.0004071-0.0003064i,0.00074902+0.0015606i,-0.00018665-0.00045204i,0.00041907-0.00091755i,0.0013529+0.001625i,0.00028871+0.011716i,-0.0012613+0.002679i,-7.0911e-05+0.0017309i,-0.00093397+0.0031861i,-0.00042475-0.0022581i,0.00018099-0.0012773i,-0.00054656-0.0011965i,-0.00057664+0.003251i,0.0031101-0.00064325i,-0.0031465-0.012853i,-0.021424+0.004015i,-0.0011424+0.0023665i,-0.00086469-0.0050501i,0.033553-0.0067692i,0.010007-0.003629i,-0.013554-0.018242i,-0.0353-0.021762i,-0.017669-0.0064849i,0.0039708-0.028993i,0.013769-0.001579i,-0.0013912+0.0020301i,-0.00083874+0.003912i,-0.0052547+0.0047411i,-0.0026542-0.0089853i,0.015577-0.004691i,0.011737+0.0033636i,-0.011899+0.0025903i,0.00015373-0.0031431i,-0.0049069+0.0012964i,-0.00679-0.0032624i,-0.001056-0.0075203i,0.006757+0.0014245i,-0.00035278-0.0097771i,-0.0049667-0.0036494i,-0.0012861+0.0013181i,-0.0026945-0.0011959i,-0.0096511+0.0026318i,-0.0021251+0.0040164i,-0.00211-0.0014053i,0.028809+0.007754i,-0.011427+0.011879i,0.0013683-0.00042114i,-0.0039296+0.0013715i,0.00039464-0.0020159i,-0.0010651+0.013496i,0.001898+0.0023767i,-0.0033277+0.0019142i,-0.001835+0.0022966i,-0.0034265+0.0040484i,-0.00066618+0.0030941i,-0.00014792+0.00082501i,0.006831+0.0058066i,-0.002714+0.00072535i,-0.0062808+0.002948i,0.0012253-0.016499i,0.018103+0.010495i,-0.023556+0.010811i,-0.015556-0.003717i,0.015761+0.0054514i,0.010447+0.018945i,-0.011095-0.0014773i
-0.001436-0.012244i,-0.00082033-0.013729i,0.005497-0.0081262i,0.011478-0.0052544i,0.012307-0.016205i,-0.0013051-0.021i,0.0067162-0.010399i,0.011523-0.0046152i,-0.0012104-0.0092472i,8.9372e-05+0.0021099i,-0.00070832+0.0009157i,0.00018133+0.0037969i,0.0014321+0.0027286i,0.0013747+0.0029848i,0.0023193+0.00079144i,4.9413e-05+0.0026338i,-0.00054566-0.00023491i,-0.00072421-0.0028992i,-0.0010809-0.0013205i,-0.0019524-0.0014704i,-0.0020296-0.0014496i,-0.0016835+0.00031437i,-0.002368+0.0008854i,0.0043972-0.0061364i,0.00063773+0.0035675i,0.0022123+0.0020177i,0.0010883+0.0033517i,0.00016728+0.0027741i,-0.0011688+0.0034141i,0.001973+0.0040511i,-0.00036898-2.9433e-05i,0.0016864+0.0015058i,-0.00032849-0.00019959i,-4.3315e-06-0.00054627i,0.0021742+0.0021141i,0.0038453+0.010912i,-4.8034e-05+0.00316i,0.00041784+0.0017481i,0.00047792+0.0035644i,-0.0011678-0.001922i,-0.00013903-0.001598i,-0.00089201-0.0011014i,0.00023813+0.0034805i,0.0027781-0.0011759i,-0.0045656-0.013969i,-0.013753+0.0053516i,0.0038019+0.0019831i,-0.0030409-0.0062004i,0.030233-0.019654i,0.009432-0.0088457i,-0.016773-0.010867i,-0.040237-0.011379i,-0.017492+0.00042164i,-0.0041699-0.031334i,0.011482-0.0042149i,-0.00063474+0.0030973i,0.0018584+0.0047261i,-0.0039009+0.0062414i,-0.0061063-0.0046582i,0.011626-0.011006i,0.013051-0.001129i,-0.010892+0.0062952i,-0.00077152-0.0021819i,-0.0028927+0.0022176i,-0.0051201-0.00069917i,-0.0035977-0.0063507i,0.0060243-0.001144i,-0.0036473-0.008425i,-0.0039474+0.00011163i,0.00047381+0.0018056i,-0.0030653-0.00027935i,-0.0069483+0.0058818i,0.00059499+0.0039052i,-0.0024006-3.0077e-05i,0.027325-0.0037062i,-0.0053058+0.014795i,0.00053673-0.0012499i,-0.0025036+0.0018176i,-0.00079843-0.0018651i,0.0034309+0.011142i,0.0025065+0.0010942i,-0.0012232+0.0043585i,0.00015343+0.003503i,2.0131e-05+0.0044646i,0.00085693+0.0028794i,-0.0012419+0.00095485i,0.0074217+0.0018403i,-0.0037584+0.00060102i,-0.005051+0.006016i,-0.0014921-0.015904i,0.019467-0.0045816i,-0.017719+0.011134i,-0.018251-0.001998i,0.01527+0.0016346i,0.014681+0.014796i,-0.012012-0.0014602i
-0.0031657-0.011627i,-0.0030047-0.012477i,0.0043017-0.0089457i,0.010367-0.0081886i,0.0094965-0.01883i,-0.0054863-0.020468i,0.0048125-0.010083i,0.010671-0.0063074i,-0.0020419-0.0095661i,0.0004997+0.0020356i,-0.00060136+0.0013095i,0.0015176+0.0037528i,0.0022146+0.002831i,0.0020793+0.0030142i,0.0026358+0.00028389i,0.017483+0.0093362i,1.7934e-05-0.00013916i,-0.0017459-0.00295i,-0.0017027-0.0012399i,-0.0026607-0.00068831i,-0.0024564-0.001079i,-0.0014272+0.00045921i,-0.0021792+0.0016055i,0.0010734-0.0069693i,0.0020491+0.0033522i,0.0028964+0.0011008i,0.0023504+0.0028289i,0.0012168+0.0027722i,0.00023865+0.0037756i,0.0033896+0.0029412i,-0.00023392+7.4415e-05i,0.003238+0.0020632i,-0.00010149+0.00014886i,3.8535e-06-0.00022225i,0.003813+0.0022958i,0.0065446+0.0092441i,0.0013755+0.0030901i,0.0010602+0.0016918i,0.0018147+0.0032955i,-0.0016171-0.0013506i,-0.00071225-0.0018072i,-0.0012545-0.00093748i,0.0010846+0.0034176i,0.0025563-0.0013755i,-0.0065121-0.014554i,-0.0094736+0.0048128i,0.007894-0.0011344i,-0.0047341-0.0059215i,0.023701-0.029532i,0.0067402-0.012375i,-0.015899-0.0037283i,-0.039181+0.00072487i,-0.012617+0.007634i,-0.011493-0.029241i,0.0091622-0.0049934i,0.00039054+0.0033755i,0.0037053+0.0033489i,-0.0021831+0.007627i,-0.0070297-0.0010415i,0.0046619-0.015755i,0.011342-0.0064744i,-0.0089799+0.0093011i,-0.00059539-0.0012994i,-0.0016097+0.0016272i,-0.0038445+6.9046e-05i,-0.0050445-0.0036324i,0.0044751-0.0023899i,-0.0058112-0.0057427i,-0.0014432+0.0014807i,0.0021366+0.00076084i,-0.0029667+0.00093949i,-0.0037102+0.0073893i,0.0018267+0.0022964i,-0.0014356+0.0012485i,0.021465-0.012404i,-0.0015469+0.015212i,-0.00018081-0.00067866i,-0.0016678+0.0022737i,-0.0015081-0.00060531i,0.0068166+0.0085178i,0.0031767+3.4562e-05i,0.0024314+0.0044152i,0.0018893+0.002575i,0.0027641+0.0036837i,0.0016835+0.0028582i,-0.0014503+0.0024774i,0.0047933-0.0014396i,-0.0049664+0.0011838i,-0.0020872+0.007139i,-0.0032057-0.015695i,0.012017-0.015978i,-0.014871+0.0066666i,-0.021198+0.0018186i,0.01255-0.0032825i,0.016622+0.010095i,-0.013249-0.00027087i
-0.0047138-0.010606i,-0.0048955-0.011313i,0.0027564-0.010086i,0.0079791-0.011279i,0.0060212-0.021278i,-0.0096492-0.018769i,0.0036362-0.0099124i,0.0096814-0.008158i,-0.003192-0.009718i,0.00056027+0.0022572i,-0.00046842+0.0015926i,0.0027336+0.0028437i,0.0030238+0.0025317i,0.0028517+0.0026927i,0.0026864-0.00022668i,0.011238-0.0011096i,0.00010131-0.000393i,-0.0029705-0.0025537i,-0.0022047-0.00080842i,-0.0030974+0.00043839i,-0.0031457-0.0005632i,-0.0012473+0.00036191i,-0.0017945+0.0022384i,-0.002152-0.0065616i,0.0033643+0.0019955i,0.0030798+1.8344e-05i,0.0033106+0.0017782i,0.0022957+0.002304i,0.0019148+0.0034936i,0.0041892+0.0013414i,-1.0895e-05+6.7506e-05i,0.0033352+0.0024858i,-0.00035148+6.9235e-05i,0.00015659+1.0881e-05i,0.0060751+0.009524i,0.0087666+0.0066069i,0.00257+0.002265i,0.0016689+0.0012339i,0.0031815+0.0024939i,-0.001775-0.000709i,-0.0013927-0.0015715i,-0.0015418-0.00049155i,0.0020747+0.0031107i,0.0022262-0.0015352i,-0.0089883-0.014497i,-0.0066435+0.0025851i,0.0094521-0.0055662i,-0.0050822-0.004661i,0.01453-0.036587i,0.0032257-0.013954i,-0.012646+9.052e-05i,-0.033524+0.0087202i,-0.0037028+0.010612i,-0.016995-0.024882i,0.0075507-0.0049396i,0.0016231+0.0029027i,0.0037861+0.001353i,0.00033877+0.0080628i,-0.0071873+0.0023961i,-0.0049971-0.015115i,0.0071425-0.0095291i,-0.006495+0.011722i,0.00015096-0.0019325i,-0.0013177+0.0010518i,-0.0035873+0.00023929i,-0.0047857-0.0012039i,0.0031681-0.0026096i,-0.0080775-0.0049344i,0.00017413+0.0012327i,0.0025699-0.0013829i,-0.0025753+0.0020099i,6.7111e-06+0.0073325i,0.001888+0.00094755i,-0.00045485+0.00093182i,0.011944-0.016102i,0.01974+0.013374i,0.00026124-0.00023967i,-4.0434e-05+0.0016575i,-0.00091899+0.00013214i,0.0085492+0.005075i,0.0037657-0.0020133i,0.0043716+0.0024871i,0.0026363+0.001513i,0.0040512+0.0016511i,0.0032242+0.0023949i,-0.00011094+0.0037927i,0.0040514+8.1761e-05i,-0.0055073+0.0026198i,0.00029532+0.0066151i,-0.0040703-0.014917i,0.00093627-0.022016i,-0.018139+0.0031592i,-0.021455+0.0070241i,0.0065938-0.0056545i,0.017634+0.0045143i,-0.01299+0.00093597i
-0.0053954-0.0092526i,-0.006256-0.0093404i,0.0005926-0.010492i,0.0042994-0.013212i,0.0017241-0.022998i,-0.012673-0.016002i,0.0028571-0.0098781i,0.0083066-0.0099141i,-0.0043322-0.0099804i,0.0011675+0.0027163i,-0.0001465+0.0021898i,0.0032754+0.0017859i,0.0039262+0.0019023i,0.003676+0.0021471i,0.0027212-0.00081975i,0.01034-7.2758e-05i,-0.00040927-0.00050707i,-0.0041892-0.0013519i,-0.0023548-0.00024801i,-0.0028127+0.0018627i,-0.003577+0.00062293i,-0.0016418+0.00022206i,-0.0011424+0.0028308i,-0.0048171-0.0046093i,0.0035696+0.00033114i,0.0028532-0.0010752i,0.0038984+0.00036358i,0.0030887+0.0013001i,0.0031887+0.0021958i,0.0043001-0.00034093i,0.00012132-0.00012252i,0.002849+0.0015292i,6.4579e-05+0.00038634i,0.00043524-9.5561e-06i,-0.0021954-0.00048351i,0.010003+0.0033159i,0.0031719+0.00096764i,0.0020635+0.00067709i,0.0040618+0.00099568i,-0.0016977-2.2194e-05i,-0.0019395-0.00098822i,-0.0016071-5.6298e-05i,0.002825+0.0022306i,0.0019283-0.0017605i,-0.011326-0.013731i,-0.0053314-0.0011782i,0.0086823-0.0097136i,-0.0040487-0.0042073i,0.0044919-0.039049i,-3.3955e-05-0.014022i,-0.0096391+0.0022038i,-0.026689+0.01124i,0.0052584+0.0084557i,-0.018575-0.019354i,0.0063239-0.0054423i,0.00241+0.0015664i,0.0031549+0.00041807i,0.0032587+0.0071875i,-0.0056402+0.0059006i,-0.01185-0.0089157i,0.0025575-0.010151i,-0.003125+0.012875i,-0.00060412-0.0031104i,-0.0014285+0.00094772i,-0.0036713+0.00088042i,-0.0035593+0.00045932i,0.0020756-0.0027747i,-0.0088944-0.0047976i,0.001293+0.00024222i,0.00079074-0.0029259i,-0.0011431+0.0029082i,0.0029621+0.0056083i,0.0016511+0.00034353i,1.6955e-05+0.00070518i,0.0042545-0.01538i,0.013604+0.0033325i,0.00022129-0.00084908i,1.7495e-05+0.00043194i,3.3999e-06+0.00046933i,0.0084785+0.0019594i,0.0025774-0.0047136i,0.0058414+0.00057605i,0.0033478+0.00051908i,0.0047249-0.00080136i,0.003871+0.001143i,0.0017312+0.003934i,0.0040963-0.0014286i,-0.0051629+0.0050491i,0.0015155+0.0052652i,-0.0036064-0.0147i,-0.011067-0.022631i,-0.022742+0.0040373i,-0.018482+0.0121i,0.0018806-0.0034948i,0.014888-0.0014561i,-0.012474+0.00079117i
-0.0054917-0.0087483i,-0.0065636-0.0076553i,-0.0011329-0.010013i,0.00063951-0.013368i,-0.0027543-0.023537i,-0.014698-0.01315i,0.0026995-0.010533i,0.0065296-0.01153i,-0.005933-0.0099015i,0.0021398+0.0025362i,0.00069068+0.0026169i,0.0034072+0.00087425i,0.0045667+0.00063402i,0.0043489+0.0011861i,0.0025661-0.0014964i,0.012001-0.00014945i,-0.00066552-8.939e-05i,-0.0041288+0.00023673i,-0.0025717+0.00023703i,-0.0018552+0.0027666i,-0.0033009+0.0018209i,-0.0020834+0.0008828i,-0.00025978+0.0030474i,-0.0061269-0.0017803i,0.0031229-0.0007967i,0.002243-0.0020488i,0.0037762-0.0012697i,0.0033814+0.00011048i,0.0034153+0.00081056i,0.0037878-0.0019633i,0.00015774-0.00022207i,0.0021114+0.00032444i,0.00044247+0.00032152i,0.00060595-0.00016977i,-0.00029224+8.9604e-05i,0.0094449-1.2129e-05i,0.0030809-0.00031813i,0.0023105+1.5878e-05i,0.0039369-0.00064414i,-0.0012917+0.0005572i,-0.0021408-0.00026369i,-0.0015942+0.00037727i,0.0030184+0.0011358i,0.0014441-0.0019931i,-0.013499-0.012452i,-0.0073371-0.0043433i,0.0063113-0.012819i,-0.0035877-0.0049261i,-0.0043385-0.038276i,-0.0020971-0.012174i,-0.0064218+0.0035074i,-0.020721+0.012815i,0.010873+0.0028734i,-0.018043-0.01456i,0.005606-0.0057414i,0.002332-8.0109e-05i,0.0033283-0.00044056i,0.0054448+0.0048723i,-0.0024001+0.0072076i,-0.013453-0.0017389i,-0.001553-0.0089411i,0.00024015+0.012358i,-0.0027097-0.003055i,-0.0020888+0.0016285i,-0.003591+0.0017341i,-0.0024384+0.0011636i,0.0011163-0.0017181i,-0.0083173-0.0028105i,0.00088598-0.0011762i,-0.00084421-0.0022568i,0.00050074+0.0027645i,0.0041774+0.0031292i,0.0023619-0.00028812i,0.000408+0.00061597i,-0.0011797-0.013279i,0.01173-0.0024832i,-1.8795e-05-0.00099536i,0.00010712+0.00072129i,0.00095222+0.00013503i,0.008024-0.0001945i,-0.00070411-0.0060028i,0.0063075-0.0025979i,0.0032296-0.0011309i,0.0041405-0.0035816i,0.0041107+4.6142e-05i,0.0029597+0.0032483i,0.0028534-0.0020993i,-0.0037285+0.0066374i,0.0023446+0.0035557i,-0.0038006-0.016593i,-0.022369-0.017447i,-0.025517+0.0074099i,-0.014389+0.01369i,0.00081539-0.001399i,0.0065873-0.0011644i,-0.014283+0.0010247i
-0.0063056-0.008737i,-0.0065278-0.0067013i,-0.0024482-0.0095382i,-0.0022126-0.012443i,-0.0074502-0.023262i,-0.016508-0.010359i,0.0020489-0.012494i,0.0043349-0.012785i,-0.0078736-0.0093319i,0.0028987+0.0020394i,0.0017975+0.0025031i,0.0032847+6.7471e-05i,0.0045495-0.00080707i,0.0047696-3.0389e-05i,0.0021491-0.002073i,0.011569-0.00063687i,-0.00063424+0.0004787i,-0.0038132+0.0012789i,-0.0025247+0.0010831i,-0.00077385+0.0032426i,-0.0026385+0.0030047i,-0.0018684+0.0018337i,0.00051012+0.0028976i,-0.0056108+0.0010595i,0.0026635-0.0016054i,0.0013404-0.0025944i,0.0030196-0.0027004i,0.0031209-0.0011203i,0.0033534-0.00039371i,0.002602-0.0032541i,0.00023097-0.00038629i,0.0016448-4.4247e-05i,0.00068319+1.3644e-05i,0.00070853-0.00050073i,0.00057788-0.00030949i,0.008161-0.0023279i,0.0026877-0.001338i,0.0022885-0.00083099i,0.0032041-0.0019442i,-0.00068501+0.00094222i,-0.0020846+0.00058683i,-0.0014886+0.00082584i,0.0028551+0.00046216i,0.00091898-0.0015866i,-0.015514-0.010815i,-0.010567-0.0044853i,0.0036467-0.013974i,-0.0038702-0.0047937i,-0.012003-0.036655i,-0.001723-0.01025i,-0.0031374+0.0030875i,-0.013897+0.013738i,0.014224-0.0042699i,-0.016087-0.012138i,0.0039051-0.0059554i,0.0011721-0.0022116i,0.0029436-0.001748i,0.0056178+0.0020006i,-0.00045005+0.0065759i,-0.012456+0.0048157i,-0.004423-0.0066667i,0.0026571+0.010289i,-0.0044667-0.0015624i,-0.0020339+0.0032505i,-0.0030221+0.0029883i,-0.0011515+0.0015311i,0.001827+0.00026912i,-0.0074113-0.0016615i,0.000128-0.0010186i,-0.0012406-0.0015143i,0.0016573+0.0019291i,0.0042238+0.0010325i,0.0011264-0.0020984i,0.00081663+0.00041664i,-0.0054308-0.01074i,0.0085212-0.0074542i,-0.00029707-0.00087775i,0.00094823+0.00049951i,0.0012-0.000927i,0.0074622-0.0022578i,-0.0033783-0.0048526i,0.0046631-0.0055166i,0.002144-0.0023012i,0.0017095-0.0054139i,0.0045751-0.001226i,0.0040913+0.0024071i,0.0021566-0.0022719i,-0.0015858+0.0065652i,0.001798+0.0019826i,-0.0051578-0.01882i,-0.027788-0.0077929i,-0.027053+0.012467i,-0.010903+0.014682i,-0.00016588+0.0003744i,0.017331-0.023893i,-0.015577+0.0028417i
