-0.023303+0.00077896i,-0.024148+0.00023559i,-0.014862-0.0117i,-0.034409-0.014551i,-0.030499+0.0007542i,-0.032887+0.0054434i,-0.056412-0.016475i,-0.032984-0.017818i,-0.029444+0.00095865i,0.0066199+0.003531i,-0.0033155+0.0068649i,-0.0068612+0.016334i,0.0062304+0.010402i,0.0020842+0.0034994i,0.0048853+0.0032662i,0.0050948+0.017282i,0.023273+0.02098i,0.001034-0.00084849i,0.000201-0.0056821i,0.0070914-0.00037467i,0.004128-0.0004205i,0.002162+0.0021004i,0.00068815-0.00028614i,-0.016192+0.0017469i,-0.0060444-0.0038948i,-0.0012187+0.002432i,0.0010559-0.0015346i,-0.0014314-0.00022161i,-0.0011943+0.0010814i,-0.0023439-0.0021729i,-0.0040471-8.9138e-05i,-0.0053007-0.0020246i,-0.00184-0.00024918i,-0.00016004-0.00039374i,0.00042989-0.0029998i,0.0010123+0.013118i,0.0015256-0.0029162i,0.00075187-0.003242i,0.0041859-0.0024279i,-0.0013652-0.0028847i,0.00059303-0.00042225i,0.0076205-0.00033514i,0.0046154-0.0027347i,0.00053292+0.0019213i,-0.014015+0.01427i,-0.027396+0.053767i,-0.0094505-0.035962i,-0.017152-0.018152i,-0.040824-0.01631i,-0.029074-0.01328i,0.037452-0.013336i,0.0055544-0.030708i,0.013681-0.038275i,-0.0097027-0.030429i,0.024637-0.022695i,0.014276+0.0061141i,0.02446-0.038163i,-0.0025067-0.004264i,0.0064764-0.0091023i,-0.00078009-0.0060743i,0.00092323-0.034165i,-0.013116+0.028732i,0.0089577-0.012342i,-0.00861-0.0051808i,-0.0029179-0.001902i,-0.00094264-0.015354i,-0.0098051+0.006108i,0.003069+0.0076795i,0.00072011+0.025803i,0.0027342+0.00030574i,-0.0075899-0.0043496i,-0.004421-0.0059546i,-0.014565-0.009957i,-0.0027801-0.0059612i,-0.036329+0.013158i,-0.0044764-0.0090153i,-0.013492-0.00095194i,-0.010992-0.0073401i,0.001026-0.0018344i,-0.014661+0.0013798i,-0.0013579-0.00069342i,0.0063779+0.0063218i,0.0033021-0.0050568i,-0.014743-0.014977i,0.007827+0.0086969i,-0.016089+0.0055328i,0.0052476-0.00088024i,-0.019654-0.0021119i,-0.015974-0.003984i,-0.017803-0.035065i,0.020479-0.010972i,-0.03257-0.031538i,-0.0088621+0.0035055i,0.018338+0.015117i,-0.021652+0.017183i,-0.0036417-0.0030728i
0.0059687-0.0099858i,0.010177-0.0076002i,0.0085988+0.0011792i,0.015394+0.0015511i,0.021224-0.0042137i,0.014595-0.016296i,0.019654-0.0084681i,0.011173+1.5029e-05i,0.0014307-0.011239i,-0.001388+0.0022445i,-0.0017874+0.0006702i,-0.0017338+0.00047801i,-0.0018391+0.0040763i,-0.0018244+0.0026467i,0.0008481+0.0017908i,9.0383e-05+0.0010601i,0.0026386-0.0022086i,0.00086043-0.0014628i,-0.00038019-0.00079147i,-9.8315e-05-9.4696e-05i,0.00049321-0.001709i,-0.0013249-0.0013007i,-0.0011516-0.00016634i,0.00078595+0.0026558i,-0.0022321+0.00035839i,-0.0015335+0.0019283i,-0.0020655+0.00067433i,-0.0021995+0.00062609i,-0.001951-0.0015246i,-0.0026485+9.6263e-05i,0.0016252-0.001418i,0.00044853-0.00024528i,0.0008717-0.00033335i,0.0013096+0.0012396i,0.00060416-0.00013659i,-0.0062506+0.0023327i,-0.0018237-0.00023499i,-0.0010033+0.00059312i,-0.0027796+0.00029831i,0.00094993-0.0020834i,-9.5732e-05-0.00087753i,0.00023974-0.0013881i,-0.0012008+0.0015502i,0.0030131-8.9317e-05i,0.00069078-0.012293i,-0.023168-0.0095042i,0.00099875-0.0058107i,-0.00529+0.0042336i,0.01932+0.02145i,0.00084774+0.0052135i,0.012027-0.017063i,-0.010234-0.025241i,-0.0059691-0.01211i,0.0066554-0.0061747i,0.018183+0.018807i,0.0020462+0.00038661i,-0.001137-0.00021008i,-0.0062764-0.00082505i,0.01016-0.0038969i,0.01254+0.0097632i,0.0011573+0.0038858i,-0.0028497-0.0077043i,0.0057506-0.0029972i,-0.0038149-0.0064337i,0.0026397-0.011661i,0.0057578-0.0063951i,-0.0013395+0.0077702i,0.0097078-0.0078295i,0.0050569-0.0073847i,0.00029794-0.0065219i,-0.0030178-0.0012133i,-0.005506-0.0058247i,-0.006361-0.0011764i,-0.00068455-0.0014472i,-0.0089762+0.030036i,-0.011179-0.003396i,-0.00028433+0.0029425i,-0.0038618-0.0043997i,-0.00029517+0.00094554i,-0.016673+0.001238i,-0.0037301+0.0012801i,-0.0017381-0.0023821i,-0.0039291-0.0013278i,-0.0058618-0.0038931i,-0.0023293+0.0051187i,-0.00076156+0.0017521i,-0.0040007+0.0055025i,-0.0057676-5.5344e-07i,-0.0024185-0.00064667i,0.0083942-0.0032343i,-0.0048646+0.017378i,-0.028075-0.0031143i,-0.010118-0.0031311i,0.010687+0.01637i,-0.0027128+0.017211i,-0.0072789-0.0055937i
0.0044161-0.011334i,0.0088294-0.0094937i,0.0091789-4.1981e-05i,0.014987-0.00044258i,0.020501-0.0077739i,0.011623-0.018242i,0.017074-0.011742i,0.010736-0.0020767i,-0.00080999-0.011558i,-0.00069535+0.0023662i,-0.0012075+0.0014075i,-0.001833+0.0018035i,-0.00059929+0.0043533i,-0.0010587+0.0031346i,0.0010901+0.0017556i,4.7801e-06+0.0013218i,0.0011306-0.0025329i,0.00071296-0.0019361i,-0.00032214-0.0012074i,0.00019671-0.00050674i,6.1801e-05-0.0018047i,-0.0015447-0.0010555i,-0.0010436-0.00036245i,0.0023768+0.0018996i,-0.0024912+0.0018255i,-0.00050757+0.0025702i,-0.0018229+0.0014699i,-0.0020037+0.0013983i,-0.0030117-0.00036266i,-0.0025956+0.0015227i,0.00064029-0.001459i,0.00018258-0.000728i,0.00033935-0.00058058i,0.0018122-0.00053263i,0.00016141+0.00029379i,-0.0053378+0.0043013i,-0.0021456+0.00059385i,-0.00085487+0.001148i,-0.002817+0.0013122i,0.00059276-0.002291i,-0.00018018-0.00090749i,-0.00022912-0.0013682i,-0.00092832+0.0017563i,0.0024525-0.00035377i,-0.00062201-0.011522i,-0.021268-0.0066416i,-0.00055489-0.0041426i,-0.0015721+0.0020694i,0.027271+0.012967i,0.004906+0.0024706i,0.0045044-0.019401i,-0.01763-0.024273i,-0.01021-0.012172i,0.010108-0.012907i,0.017806+0.01148i,0.00058176+1.5142e-05i,-0.00065171+0.0023231i,-0.0059044+0.0010339i,0.0071254-0.0072744i,0.015124+0.004832i,0.0035321+0.0055611i,-0.0072786-0.0069714i,0.002645-0.0046149i,-0.0047563-0.0041102i,-0.0029669-0.010214i,0.002999-0.0074178i,0.0027172+0.0061701i,0.0051309-0.0098589i,0.0013668-0.0067722i,-0.0028842-0.0034659i,-0.0019415-0.00018984i,-0.0069631-0.0039203i,-0.0063071+0.00068763i,-0.00016731-0.00085055i,0.0052929+0.028139i,-0.012441+0.0014235i,0.00051013+0.0019944i,-0.0051777-0.0025453i,0.00057122+0.00071388i,-0.014469+0.0083457i,-0.0030383+0.0027651i,-0.0024034-0.00062587i,-0.0032536+5.3472e-05i,-0.0064804-0.0013885i,7.951e-05+0.0031619i,-4.8165e-05+0.0010529i,-0.00078187+0.0071566i,-0.0046048+0.0026039i,-0.003402-0.00070272i,0.0090694-0.0099368i,-0.0017395+0.018278i,-0.028457+0.0027187i,-0.011438-0.00452i,0.012921+0.014722i,0.00034325+0.018823i,-0.010423-0.0050128i
0.0020863-0.012209i,0.0065448-0.011772i,0.0096831-0.0024945i,0.015144-0.0029281i,0.019513-0.011214i,0.0083168-0.01999i,0.013904-0.014586i,0.0099339-0.0040872i,-0.0029155-0.010795i,-0.00034224+0.0022669i,-0.00069456+0.0013875i,-0.00092777+0.0029152i,0.00046427+0.0039371i,-0.00022543+0.0031247i,0.0014286+0.0016151i,-1.817e-05+0.0015594i,-0.00012682-0.0020816i,0.00042969-0.0023647i,-0.00092881-0.0012469i,-4.2386e-05-0.0011805i,-0.00034776-0.0019161i,-0.0015967-0.00060956i,-0.0012912-0.00060091i,0.0028893+0.00012755i,-0.0015021+0.0029722i,0.00045858+0.0026181i,-0.0012296+0.0023791i,-0.0014776+0.0021014i,-0.0031853+0.001448i,-0.0018029+0.0027299i,-2.4778e-05-0.0010669i,-0.00067482-0.00043364i,3.5992e-05-0.00044822i,0.00083155-0.00080058i,0.00029264+0.00075877i,-0.0039684+0.0060776i,-0.0018917+0.0018286i,-0.00025005+0.0014498i,-0.0023158+0.0025779i,-0.00011776-0.0025682i,-0.00025985-0.00098871i,-0.00049952-0.0011919i,-0.00084663+0.0021134i,0.0023572-0.00033817i,-0.0010972-0.01085i,-0.017974-0.0019851i,0.0002455-0.001005i,0.0012294-0.0014619i,0.033894+0.0022542i,0.0080411+0.0003783i,-0.0023351-0.018587i,-0.023996-0.021753i,-0.013447-0.0090252i,0.0096353-0.021272i,0.019747+0.0039265i,-0.0012203+0.00027398i,-0.00058537+0.0018886i,-0.0062269+0.0021635i,0.0017387-0.0099982i,0.015599-0.00017704i,0.0065468+0.0052142i,-0.011597-0.0039506i,0.0012369-0.0037668i,-0.0051932-0.0017869i,-0.0056131-0.0069812i,0.00055361-0.0071595i,0.0049336+0.005498i,0.0020171-0.00972i,-0.001677-0.006959i,-0.0025225-0.00056216i,-0.0016731-0.00030465i,-0.008561-0.00081063i,-0.0032964+0.0031382i,-0.00077692-0.0014312i,0.015369+0.021401i,-0.011796+0.0062579i,0.0011237+0.0014929i,-0.0042796-0.00054859i,0.0010157-0.00046281i,-0.0079391+0.013441i,-0.0010972+0.0039917i,-0.0027626+0.00020331i,-0.0027226+0.0014426i,-0.0064803+0.0018003i,-0.00071672+0.0027394i,1.8877e-05+0.00044491i,0.0023956+0.0067627i,-0.002886+0.0021932i,-0.004778+0.00038857i,0.0055433-0.015235i,0.0065899+0.017317i,-0.02652+0.006601i,-0.013191-0.0050141i,0.015919+0.010342i,0.0053274+0.019905i,-0.012296-0.0029307i
-0.00027287-0.012061i,0.0031854-0.012597i,0.0088504-0.0049286i,0.014573-0.0062765i,0.017514-0.014785i,0.0046356-0.02085i,0.010191-0.016416i,0.0087593-0.0057603i,-0.0041548-0.0098449i,-0.0001172+0.0023904i,-0.00049156+0.0015111i,0.00038715+0.0032557i,0.00091152+0.0035165i,0.00024751+0.0030968i,0.0016922+0.0013592i,-3.1823e-05+0.0016799i,-0.00079898-0.0011222i,-1.4167e-06-0.0025692i,-0.0010671-0.00099833i,-0.00078631-0.0014497i,-0.00084234-0.0019323i,-0.0015964-0.00023131i,-0.0018115-0.00049084i,0.0022365-0.0012761i,-0.00021165+0.0034324i,0.0012951+0.0024236i,-9.3992e-05+0.0029359i,-0.00073883+0.0025536i,-0.0021443+0.0028541i,-0.00051123+0.0033623i,-0.00038664-0.00060818i,-0.00074284+0.0003068i,-0.00012659-0.00032742i,0.00019814-0.00077096i,0.00051077+0.00080082i,-0.0017549+0.0072971i,-0.00087039+0.0026862i,0.0002136+0.0013475i,-0.0011909+0.0035676i,-0.0010139-0.0024606i,-0.00059564-0.0011718i,-0.00067037-0.0011281i,-0.0004019+0.0028879i,0.0022667-0.00038569i,-0.0011638-0.011373i,-0.014953-0.0025852i,0.0033335+0.00048133i,0.00029319-0.0060407i,0.036176-0.011885i,0.010297-0.0046631i,-0.0082762-0.014703i,-0.030198-0.016561i,-0.014376-0.004041i,0.0045097-0.028615i,0.016889-0.00080652i,-0.0021831+0.0016884i,-0.00055955+0.0038633i,-0.0059565+0.004344i,-0.0044845-0.0080609i,0.014512-0.0055575i,0.0092047+0.0027218i,-0.013208+0.0022982i,-1.6509e-05-0.0038136i,-0.0043461+0.00036592i,-0.0065353-0.0029911i,-0.0013825-0.0069939i,0.0066446+0.002026i,-0.0007659-0.0099705i,-0.0041282-0.0027088i,-0.0013752+0.0012223i,-0.0019945-9.4281e-05i,-0.0077923+0.0029097i,-0.0013792+0.0039465i,-0.0016207-0.0011619i,0.021447+0.011816i,-0.0094318+0.010457i,0.0016344+0.00063911i,-0.0032717+0.0013322i,0.0001962-0.0013739i,-0.0010601+0.013745i,0.0011497+0.0032902i,-0.0025686+0.0022208i,-0.0019329+0.0028608i,-0.0041823+0.0049302i,0.00088757+0.0019991i,-0.00048172-0.00017998i,0.0052538+0.0051456i,-0.0030383+0.0012983i,-0.0056422+0.0022122i,0.0012717-0.016429i,0.015452+0.0089998i,-0.022984+0.010461i,-0.016075-0.0044546i,0.015151+0.0059546i,0.010696+0.018156i,-0.011799-0.0011112i
-0.0021899-0.011561i,0.00047005-0.012017i,0.0074688-0.0066507i,0.013214-0.0093266i,0.014967-0.017863i,0.0011675-0.021163i,0.0064671-0.017194i,0.0074444-0.0069115i,-0.0051126-0.0090652i,0.00022492+0.0025631i,-0.00033347+0.0016528i,0.0015711+0.0030222i,0.0012209+0.0034845i,0.00072672+0.0030533i,0.0019142+0.0010947i,-0.00040833+0.0012433i,-0.00078082-0.00030371i,-0.00078172-0.0026588i,-0.0013991-0.0010523i,-0.0015229-0.0012172i,-0.0015137-0.0018151i,-0.001445+2.1916e-05i,-0.0022241-2.1965e-06i,0.001223-0.002016i,0.0010318+0.0033894i,0.0021741+0.0018931i,0.001121+0.0029402i,9.031e-05+0.0027164i,-0.0007865+0.0035177i,0.0010189+0.0034653i,-0.00038842-0.00014209i,-0.00065465+0.00068956i,-0.00046588-0.00015914i,-8.3634e-05-9.8092e-05i,0.00073069+0.0011854i,0.00083696+0.0076484i,0.00024843+0.0030177i,0.00045464+0.0013056i,0.00041933+0.004058i,-0.0016671-0.0019892i,-0.00096585-0.0011117i,-0.0010232-0.0010817i,0.00045471+0.0030369i,0.0022053-0.00079036i,-0.0023684-0.012255i,-0.011972-0.0016541i,0.0070931-0.00047632i,-0.0021384-0.0074333i,0.031439-0.024905i,0.0093729-0.0096832i,-0.010488-0.0090146i,-0.032948-0.0082002i,-0.013468+0.0013853i,-0.0043572-0.031778i,0.0129-0.0044128i,-0.0017588+0.0031734i,0.0019331+0.0043932i,-0.0048622+0.0063591i,-0.0071629-0.0034872i,0.010706-0.011763i,0.010431-0.0009681i,-0.011649+0.0061376i,-0.00080407-0.0027888i,-0.0029913+0.0014032i,-0.0049395-0.00067941i,-0.0041487-0.0056467i,0.0060312-0.000401i,-0.0037561-0.0096697i,-0.0027572+0.00032509i,0.00037701+0.0018708i,-0.0018987+0.00042612i,-0.005299+0.0055251i,0.0013678+0.003216i,-0.0018529+0.0001001i,0.021573+0.0016574i,-0.0035342+0.013761i,0.001369-0.00014199i,-0.0019551+0.0016051i,-0.00070522-0.0010162i,0.0035113+0.011386i,0.0023846+0.0021362i,-0.00088031+0.0043978i,0.00033203+0.0037246i,-0.00055912+0.0055563i,0.0015482+0.0023051i,-0.0015731+2.1818e-05i,0.0061953+0.0022049i,-0.0040232+0.0014573i,-0.0050075+0.004946i,-0.001363-0.016362i,0.016392-0.0047174i,-0.017475+0.010084i,-0.018753-0.0020998i,0.014742+0.002487i,0.014863+0.013722i,-0.012335-0.0011078i
-0.0038145-0.010857i,-0.0013906-0.011166i,0.0062625-0.0080453i,0.011385-0.012377i,0.01208-0.020631i,-0.002416-0.021083i,0.00322-0.017069i,0.0063369-0.0079254i,-0.005717-0.0085361i,0.00061739+0.0026396i,5.5975e-06+0.0018531i,0.0025597+0.0025028i,0.001928+0.0035649i,0.0013085+0.002996i,0.0022281+0.00071035i,-0.0043012-0.0006288i,-0.0002807+4.7536e-05i,-0.0016552-0.0026381i,-0.0019198-0.00081408i,-0.0021306-0.0006611i,-0.0020682-0.0014489i,-0.0012937+0.00010626i,-0.0023215+0.00065772i,-3.9158e-05-0.0023767i,0.0023845+0.0029017i,0.002815+0.00096703i,0.0022675+0.0024239i,0.0010674+0.0027868i,0.00065911+0.0036172i,0.002438+0.0028168i,-0.00023333+5.7565e-05i,-0.00017867+0.00093742i,-7.2741e-05+0.00015641i,0.00023528+0.00030789i,0.0011936+0.0017181i,0.0032826+0.007004i,0.001558+0.0027611i,0.00090802+0.001345i,0.002043+0.0036236i,-0.0020569-0.0013252i,-0.0014354-0.00093235i,-0.001399-0.0008215i,0.0010535+0.0031704i,0.0019236-0.001062i,-0.0039372-0.012914i,-0.0091354-0.0028812i,0.0098889-0.003555i,-0.0041334-0.0072388i,0.023669-0.034729i,0.0064642-0.012979i,-0.009291-0.003941i,-0.03143+0.00040843i,-0.0089055+0.0071691i,-0.012313-0.029782i,0.0094831-0.0055687i,-0.00060032+0.0038985i,0.0034684+0.0030805i,-0.0029323+0.0082276i,-0.0076127+4.4332e-05i,0.0034872-0.015675i,0.0092484-0.0053387i,-0.0094375+0.0091854i,-0.00068239-0.0019423i,-0.0019883+0.0014115i,-0.0037836-0.00013277i,-0.0049728-0.0028823i,0.0047744-0.0018071i,-0.006731-0.008166i,-0.0010111+0.0012943i,0.002201+0.00084182i,-0.0016115+0.00094127i,-0.0029819+0.0063866i,0.0021014+0.0014522i,-0.00091275+0.001232i,0.018563-0.0067984i,0.0045279+0.012787i,0.0012199+0.00010525i,-0.00079161+0.0017657i,-0.00099301-4.3528e-05i,0.0065916+0.0083658i,0.0035326+0.0011208i,0.0018461+0.004416i,0.0020044+0.0027372i,0.0024802+0.004597i,0.0021398+0.0020118i,-0.0020132+0.0013387i,0.0055215+0.00062289i,-0.0048743+0.0023596i,-0.002843+0.006756i,-0.0038116-0.016325i,0.0092114-0.0147i,-0.015637+0.0056419i,-0.021403+0.0019053i,0.012476-0.0022327i,0.016347+0.0086722i,-0.013408+0.00047755i
-0.005335-0.0096889i,-0.0030937-0.010423i,0.0044013-0.0098794i,0.0082528-0.01544i,0.0085538-0.023102i,-0.0062384-0.020051i,0.00048196-0.016513i,0.0051552-0.009053i,-0.006412-0.0079835i,0.00091057+0.0028405i,0.00030289+0.0018304i,0.003191+0.0013702i,0.0027419+0.0033078i,0.0019562+0.002731i,0.0023681+0.00026818i,0.01647-0.036403i,3.6908e-05+4.3666e-05i,-0.0028234-0.0022117i,-0.0022113-0.00031395i,-0.0026062+0.00019529i,-0.0027695-0.0010247i,-0.0011834+1.9097e-05i,-0.0023237+0.0012826i,-0.0013908-0.0021102i,0.0034493+0.0013954i,0.0029648-0.00012125i,0.003134+0.0014779i,0.0022091+0.0024276i,0.0021918+0.0030632i,0.0034008+0.0015745i,6.7766e-06+8.7806e-05i,0.0004929+0.0010691i,0.00010114+0.00033639i,0.0007035+0.00036453i,-0.0015927+0.0037463i,0.0051821+0.0054419i,0.0026199+0.0018604i,0.0013818+0.0010409i,0.0034632+0.0026599i,-0.0021277-0.00058511i,-0.0017909-0.00040689i,-0.0016605-0.00035208i,0.0020371+0.0030476i,0.0015381-0.0011697i,-0.0061419-0.013376i,-0.0075212-0.0050667i,0.010971-0.0073506i,-0.004651-0.0059555i,0.013307-0.040921i,0.0030451-0.014586i,-0.0068431-0.0019379i,-0.026467+0.0054911i,-0.0010737+0.0091219i,-0.018189-0.02477i,0.0067527-0.0055937i,0.00062446+0.0039507i,0.003427+0.0013553i,-0.00014348+0.0087199i,-0.0073222+0.0032783i,-0.0058819-0.014523i,0.0059341-0.0080234i,-0.0064734+0.011475i,-0.00034268-0.002636i,-0.001649+0.001209i,-0.0036323+8.5097e-05i,-0.0043249-0.00082155i,0.0037072-0.00217i,-0.011596-0.0077794i,0.00017267+0.00088495i,0.0026082-0.0014979i,-0.0013368+0.0014809i,-2.6968e-05+0.0066638i,0.0021401+8.4456e-05i,0.00015513+0.00090545i,0.012493-0.01239i,0.0081558+0.0091202i,0.0018797-0.00013469i,0.00029669+0.00048418i,-0.00034385+0.00014853i,0.0082962+0.0051954i,0.0044594-0.0011195i,0.0040973+0.003364i,0.0028288+0.0015617i,0.0037193+0.0022479i,0.0032181+0.0016789i,-0.0013841+0.0029068i,0.005285-0.0011668i,-0.0050224+0.0040245i,-0.00046298+0.0070536i,-0.0050357-0.014963i,-0.00082192-0.019646i,-0.019107+0.0023854i,-0.021183+0.007273i,0.0067451-0.004732i,0.016482+0.0041464i,-0.013247+0.0019931i
-0.0061212-0.0082894i,-0.0043059-0.0090678i,0.0018071-0.010535i,0.003845-0.01725i,0.0043076-0.024789i,-0.009419-0.018155i,-0.0016116-0.015644i,0.0037348-0.010199i,-0.0069216-0.0076014i,0.0017004+0.0031588i,0.00059771+0.0021132i,0.0031993+0.00039468i,0.0036107+0.0028207i,0.0026116+0.0023206i,0.0024526-0.00021588i,0.003574+0.01368i,-0.00016872-9.472e-05i,-0.0037114-0.00098941i,-0.002211+0.00020794i,-0.0025598+0.0013803i,-0.0032419-4.953e-06i,-0.001599-0.00013182i,-0.0019952+0.0019756i,-0.0026213-0.0011977i,0.0033411-9.0248e-05i,0.0026628-0.0012132i,0.003644+0.00013156i,0.0031114+0.0015108i,0.0032522+0.0017094i,0.0036983+0.0001169i,0.00016901-7.5622e-05i,0.0011146+0.00063756i,0.0004282+0.00039018i,0.001109+7.3077e-05i,-0.0011812-0.0012069i,0.0064367+0.0032379i,0.003039+0.00066131i,0.0017163+0.00058883i,0.0044336+0.0010675i,-0.0019752+4.344e-05i,-0.0018833+0.00025745i,-0.0017009+0.00012415i,0.0028855+0.0022124i,0.0012976-0.0012528i,-0.0084742-0.013064i,-0.0072517-0.0078031i,0.010227-0.011158i,-0.003842-0.0056221i,0.0024355-0.042723i,-0.0006221-0.014229i,-0.0052275-0.0011145i,-0.021054+0.0087694i,0.006309+0.0067957i,-0.020503-0.017851i,0.0053334-0.0055871i,0.0018005+0.0031331i,0.0028831+0.00063191i,0.0028184+0.0078657i,-0.0055243+0.0064458i,-0.012195-0.007939i,0.0020262-0.0085785i,-0.0034194+0.01246i,-0.0016814-0.0034656i,-0.0015414+0.0013826i,-0.0037597+0.00075178i,-0.0031508+0.00051332i,0.0027573-0.0025487i,-0.010557-0.0079722i,0.00076004-4.8746e-07i,0.00048373-0.0031359i,-0.00045883+0.0019065i,0.0026817+0.0050814i,0.0020836-0.0015153i,0.00071647+0.00039138i,0.0060791-0.014499i,0.011009+0.0045339i,0.0021204-0.001376i,0.00046732+0.0002775i,0.00035248+0.00023224i,0.0081739+0.0022815i,0.0033009-0.0039838i,0.0060408+0.0012276i,0.0034842+0.00062497i,0.004479-0.00020734i,0.0034612+0.00085815i,4.541e-05+0.0038617i,0.0039821-0.0026144i,-0.0040799+0.006243i,0.0018585+0.0060031i,-0.0046406-0.014864i,-0.01217-0.020369i,-0.023336+0.0032764i,-0.017896+0.011738i,0.0024387-0.0026956i,0.014786-0.00061948i,-0.012563+0.0025058i
-0.0063635-0.00749i,-0.0047913-0.0080393i,-0.00029093-0.010244i,-0.00043699-0.01711i,-3.3382e-05-0.025568i,-0.011931-0.016088i,-0.0031526-0.014964i,0.0018706-0.01115i,-0.0077501-0.0073408i,0.0028128+0.0028749i,0.0013339+0.0023335i,0.0029476-0.00028302i,0.0044011+0.0018394i,0.0031257+0.0016414i,0.0024054-0.00077873i,0.0021873+0.0072476i,-0.00032109+0.0001733i,-0.0037025+0.00017821i,-0.0022159+0.00077845i,-0.0019839+0.0022886i,-0.0032023+0.0010759i,-0.0021551+0.0003715i,-0.0012788+0.0026056i,-0.0032491+0.00032676i,0.0028488-0.0010855i,0.0020265-0.0020572i,0.0033762-0.0014203i,0.0035007+0.00027376i,0.0033486+0.0003693i,0.0034775-0.0013391i,0.00025585-0.00020443i,0.0012278+5.6671e-05i,0.00080983+0.00016911i,0.0011479-0.00045834i,-0.00024554-0.00061129i,0.0064512+0.00078634i,0.0029606-0.0005138i,0.0019363+6.4812e-05i,0.0044212-0.00087822i,-0.0015835+0.00051037i,-0.0015892+0.00096864i,-0.0016478+0.00056763i,0.0030649+0.0010308i,0.00099949-0.0014673i,-0.010748-0.012056i,-0.0096265-0.010559i,0.0079228-0.014254i,-0.0035601-0.0063297i,-0.0067226-0.041475i,-0.003143-0.011572i,-0.0034655-0.00040343i,-0.016677+0.010226i,0.011055+0.0018152i,-0.018744-0.012632i,0.0040912-0.0061767i,0.002535+0.0015746i,0.0029946-0.00016967i,0.0052447+0.0056177i,-0.0023546+0.0074793i,-0.013249-0.0010186i,-0.0012248-0.0077334i,-0.00023004+0.012083i,-0.0035812-0.0029809i,-0.0017279+0.0019706i,-0.0037033+0.0018853i,-0.0022597+0.0013067i,0.0018875-0.0016795i,-0.0072589-0.0045272i,0.00019135-0.00079834i,-0.0012089-0.0021798i,0.00062383+0.0018279i,0.0038799+0.0028218i,0.0017776-0.0020752i,0.00093143+0.00011218i,0.00043505-0.013647i,0.011437-0.00017605i,0.0015278-0.0018341i,0.00038155+0.00060943i,0.0012448-0.00014171i,0.0079346+6.152e-05i,0.00046729-0.0053552i,0.0065098-0.0022523i,0.0033274-0.0010639i,0.0038634-0.0028699i,0.0036925-4.1003e-05i,0.0015373+0.0040097i,0.0022628-0.0026388i,-0.0018583+0.0072545i,0.0031347+0.0040032i,-0.0045276-0.015964i,-0.022333-0.015371i,-0.026502+0.0065836i,-0.014094+0.01324i,0.0015576-0.0006103i,0.011456-0.0033054i,-0.013496+0.0031155i
-0.0070035-0.0068469i,-0.0051563-0.0076199i,-0.0017837-0.0097997i,-0.0038952-0.015918i,-0.0046392-0.025674i,-0.014326-0.013767i,-0.0046333-0.014715i,-0.00028456-0.011679i,-0.0089214-0.0069122i,0.003688+0.0021775i,0.0023585+0.0020192i,0.0026409-0.00074055i,0.0047335+0.00055495i,0.0034745+0.00092898i,0.002182-0.0013736i,0.0044292+0.004246i,-0.00029688+0.00050624i,-0.0035231+0.001169i,-0.0019476+0.0014686i,-0.0011336+0.0028509i,-0.0028675+0.0020911i,-0.0022478+0.0013711i,-0.00042649+0.002818i,-0.0029031+0.0019071i,0.0022577-0.0017723i,0.0011444-0.0025244i,0.0025469-0.0026858i,0.0032877-0.00099461i,0.0031365-0.00082024i,0.0025878-0.0026191i,0.000355-0.00044894i,0.0011452-0.00044279i,0.00098183-0.0003065i,0.00094134-0.00096124i,0.0001533-0.00064973i,0.0056472-0.0012465i,0.0025621-0.0014873i,0.0020223-0.00062703i,0.0035637-0.0024522i,-0.0010338+0.00089773i,-0.0011032+0.0015131i,-0.0014176+0.0010673i,0.0030068+0.00053055i,0.00048278-0.0012174i,-0.012787-0.010696i,-0.013596-0.010135i,0.005177-0.015866i,-0.0039417-0.006206i,-0.014445-0.039446i,-0.0030422-0.0085186i,-0.001557-0.00084435i,-0.011872+0.010592i,0.014233-0.0045803i,-0.015869-0.010535i,0.0024588-0.0069005i,0.0018154-0.00071521i,0.0027719-0.0013611i,0.0056321+0.0026973i,-0.00036324+0.006986i,-0.012015+0.0049176i,-0.0039047-0.0058302i,0.0025156+0.01046i,-0.0050752-0.0012365i,-0.0014917+0.0031487i,-0.0031001+0.0031142i,-0.00083435+0.0014815i,0.0025998-0.00017149i,-0.0007057-0.0064191i,-0.00028395-0.00017103i,-0.0016246-0.0011816i,0.0014851+0.0012932i,0.0039982+0.00086434i,0.00036491-0.0032821i,0.0010925-0.00026596i,-0.0041619-0.011293i,0.0095623-0.0044906i,0.00081894-0.0022487i,0.0012485+0.00029291i,0.0014601-0.0013021i,0.0076121-0.0020271i,-0.0020789-0.0045264i,0.0049183-0.0053301i,0.002101-0.0021063i,0.0018124-0.0043664i,0.0038158-0.0014587i,0.0033154+0.0035812i,0.0016482-0.0022513i,0.00074172+0.0065263i,0.0028661+0.0018338i,-0.0052871-0.018136i,-0.026753-0.0063098i,-0.028958+0.012292i,-0.0106+0.013929i,0.00074425+0.00085501i,0.01073-0.0031959i,-0.014045+0.004913i
