-0.024735-0.0042404i,-0.020667-0.0080171i,-0.01292-0.013172i,-0.035395-0.0074775i,-0.026782+0.0021694i,-0.035247-0.0020687i,-0.065554-0.03712i,-0.032709-0.014331i,-0.0212+0.0030234i,0.0065808+0.0057696i,-0.0047899+0.0069629i,-0.0083291+0.017826i,0.0057016+0.0075763i,-0.0012271+0.0035816i,0.004142+0.0039633i,0.0041752+0.026039i,0.021401+0.018639i,0.0010988-0.00067802i,0.00064473-0.0052423i,0.0086975+0.00011788i,0.0050198-0.0011824i,0.0021098+0.0019121i,0.0010447-0.00043562i,-0.022938-0.0027835i,-0.00557-0.0037796i,-0.00088552+0.0032818i,0.0032276-0.0036981i,-0.0021641-6.411e-05i,-0.00055676+0.0010441i,-0.0024559-0.0015283i,-0.0039376-0.00032343i,-0.0070124-0.008957i,-0.0065027-0.0058737i,-0.00066899+2.2667e-05i,-0.00063788-0.0024091i,-0.0010098+0.02082i,0.0025639-0.0040793i,0.0010855-0.0044059i,0.0025414-0.0022743i,-0.0032246-0.0038135i,0.001001-0.00015166i,0.0082243-0.0010804i,0.0041785-0.0029384i,0.00011207+0.002244i,-0.013484+0.015164i,-0.026214+0.053827i,-0.0056732-0.037261i,-0.015025-0.018371i,-0.039785-0.016019i,-0.027149-0.012739i,0.037031-0.012533i,0.0057321-0.029273i,0.0129-0.038323i,-0.0083548-0.029274i,0.02568-0.023607i,0.013178+0.0069629i,0.027758-0.033056i,-0.001898-0.0045035i,0.0057337-0.0090129i,-0.0006198-0.0058521i,2.9146e-05-0.035428i,-0.013766+0.028893i,0.0087033-0.011325i,-0.0088213-0.0049154i,-0.0026167-0.0020586i,-0.0001323-0.015666i,-0.00758+0.0057717i,0.004294+0.006439i,-0.00084918+0.029953i,0.003087+0.00095401i,-0.0073075-0.0047343i,-0.0040174-0.0063746i,-0.015167-0.010056i,-0.0022409-0.0057026i,-0.038856+0.0077545i,-0.0049465-0.0083053i,-0.013267-0.0011513i,-0.011169-0.0047184i,0.0020794-0.0013016i,-0.014162+0.0023285i,-0.001533-0.00068155i,0.0059247+0.006244i,0.0036066-0.0050032i,-0.011189-0.012478i,0.0070433+0.0078379i,-0.016487+0.0065026i,0.0049992-8.4421e-05i,-0.019495-0.0029413i,-0.01627-0.0036174i,-0.015653-0.035043i,0.020078-0.010058i,-0.040798-0.026476i,-0.010718+0.0043669i,0.017873+0.015101i,-0.022375+0.01693i,-0.0045107-0.0037698i
0.0070832-0.010074i,0.011156+0.00095901i,0.0076256+0.0036079i,0.014644-0.003708i,0.018595-0.0020123i,0.015716-0.013625i,0.016236-0.0055813i,0.012403-0.0016517i,0.0012755-0.0093382i,-0.0021034+0.0025418i,-0.0013593-0.00024605i,-0.0012331+0.00035116i,-0.00069876+0.0040827i,-0.001566+0.0024605i,0.00063243+0.0020962i,0.00099725+9.3614e-05i,0.0029169-0.0018244i,0.00030263-0.0014315i,-0.00030481-0.0012947i,5.7162e-05-1.3859e-05i,0.00085121-0.0024222i,-0.0008618-0.0015148i,-0.0006515-0.0004258i,0.0027594+0.0043968i,-0.002134+0.00075744i,-0.0015458+0.0015702i,-0.0021963+0.00061894i,-0.0018201+0.0002108i,-0.0023064-0.00060188i,-0.0024217+0.00064984i,0.00094148-0.0013508i,0.00012896+0.0014503i,0.0013485+0.00049216i,0.0012897+0.00025548i,0.0007484-0.00044607i,-0.0092641+0.0084218i,-0.0018443-0.00053876i,-0.0013087+0.00041912i,-0.0030167-8.188e-05i,0.0009387-0.0029993i,5.0627e-05-0.0013372i,0.00058896-0.0016508i,-0.0010519+0.0016654i,0.0027248+0.00013401i,0.0015124-0.013215i,-0.025893-0.0079721i,-0.0017521-0.0061144i,-0.0068282+0.0017874i,0.017489+0.021488i,0.0015517+0.004621i,0.013152-0.013993i,-0.012304-0.0265i,-0.0043145-0.012605i,0.0071227-0.0077263i,0.018056+0.018415i,0.0017036+0.001617i,-0.00069319+0.00042896i,-0.0057879-0.00092161i,0.010915-0.0032634i,0.013535+0.0095404i,0.0029212+0.0046381i,-0.0048815-0.0072484i,0.006137-0.0035889i,-0.0040238-0.0065302i,0.0029178-0.011479i,0.00657-0.0062415i,-0.00065073+0.0075848i,0.0091692-0.0085546i,0.0047099-0.0078335i,0.00036902-0.0070131i,-0.0029382-0.0015656i,-0.0063176-0.0064576i,-0.006809-0.0011556i,-0.00051217-0.0014916i,-0.0074487+0.029871i,-0.010887-0.0031517i,0.00022414+0.0029031i,-0.0053623-0.005568i,0.00014807+0.00062353i,-0.016528+0.00071502i,-0.0025847+0.0014245i,-0.0019298-0.0024744i,-0.0035035-0.00053647i,-0.0053843-0.0040582i,-0.0017361+0.0055361i,-0.0013401+0.0020777i,-0.0052062+0.0062917i,-0.0059981+0.00057652i,-0.0024051-0.0011955i,0.0077399-0.0020093i,-0.0060884+0.018509i,-0.028704-0.0020037i,-0.010514-0.0028843i,0.012424+0.01678i,-0.0019548+0.016771i,-0.0074065-0.0044725i
0.0054339-0.011782i,0.011408-0.0027983i,0.0082864+0.0025722i,0.013422-0.0054325i,0.018212-0.0050995i,0.013-0.0161i,0.013359-0.0086448i,0.011875-0.003699i,-0.00052659-0.0096642i,-0.001037+0.0030927i,-0.00091147+0.00043516i,-0.0012514+0.0014804i,0.00038247+0.0040332i,-0.00060186+0.0029947i,0.00079521+0.0021645i,0.00081735+0.0004216i,0.0017699-0.0024831i,0.0004018-0.0014936i,-0.00063398-0.0010668i,0.00042949-0.00058817i,0.0002109-0.0028187i,-0.0012665-0.0012654i,-0.00066469-0.00066005i,0.0050481+0.0027478i,-0.0020791+0.0021208i,-0.00072051+0.0022042i,-0.0021688+0.0012794i,-0.0018287+0.00098431i,-0.0029056+0.00062854i,-0.0021045+0.0018696i,8.4428e-05-0.0014971i,0.00037047+0.00065576i,0.00091917-6.9188e-05i,0.0014455-0.00038599i,0.00033801-0.00017627i,-0.006409+0.010199i,-0.0024413+0.00036996i,-0.0012387+0.0011609i,-0.0030773+0.0012353i,0.00020264-0.0028787i,-0.00025219-0.0013983i,-4.4476e-05-0.0017341i,-0.00075138+0.0019695i,0.0020193+1.6031e-05i,-0.00021392-0.012718i,-0.024601-0.0051008i,-0.0038234-0.0034558i,-0.0041259-3.541e-05i,0.026377+0.014675i,0.0051579+0.0020805i,0.0067953-0.01713i,-0.019726-0.025601i,-0.0091401-0.013674i,0.0099841-0.014939i,0.016007+0.013988i,0.00051714+0.0003976i,-0.00037526+0.0028165i,-0.0057156+0.00098287i,0.0078592-0.0068768i,0.015322+0.0049728i,0.0056388+0.005186i,-0.0093575-0.0056855i,0.0025606-0.0055392i,-0.0050298-0.0042355i,-0.0026401-0.010101i,0.0036048-0.0077953i,0.0030469+0.0057474i,0.0041549-0.0097707i,0.00067015-0.0074664i,-0.0032496-0.0035288i,-0.0021534-0.00052145i,-0.0077271-0.0042552i,-0.0061683+2.1134e-05i,-0.00014682-0.00076164i,0.0069991+0.028432i,-0.013004+0.0011826i,0.00081811+0.0016793i,-0.0067169-0.0027269i,0.00061535+0.00035207i,-0.014346+0.0082686i,-0.0017851+0.0024008i,-0.0026187-0.00037094i,-0.0025627+0.00019302i,-0.0060039-0.0017173i,0.00010734+0.0028105i,-0.00036639+0.001685i,-0.0012802+0.0070802i,-0.0041101+0.0020247i,-0.0035437-0.0011116i,0.008406-0.0084044i,-0.0019693+0.0208i,-0.028538+0.0037118i,-0.011613-0.0043949i,0.014342+0.014227i,0.00087277+0.018658i,-0.0094353-0.0035671i
0.0028887-0.012824i,0.009272-0.0069162i,0.009446+0.00051098i,0.012501-0.0072066i,0.017597-0.0082352i,0.009895-0.018436i,0.010002-0.011227i,0.011092-0.0057557i,-0.0023109-0.00911i,0.00019956+0.0029864i,-0.00057994+0.00026449i,-0.00054962+0.0023259i,0.0014188+0.0034431i,0.00037164+0.0026761i,0.0014916+0.0021515i,0.00085858+0.0006503i,0.00048393-0.0025632i,0.0002729-0.0019045i,-0.0011421-0.00096276i,0.00017587-0.001439i,-0.00083067-0.0030383i,-0.0013017-0.00083874i,-0.00099012-0.00084538i,0.005549-6.5177e-05i,-0.00099033+0.003063i,-4.0427e-05+0.0023505i,-0.0018936+0.0023834i,-0.0013735+0.0016695i,-0.0026178+0.0023189i,-0.0011745+0.0028088i,-0.00034501-0.00073168i,-0.0003404+0.001055i,0.00067489-0.00011635i,0.00040488-0.0012587i,0.00031469+0.00013872i,-0.003319+0.011726i,-0.0023699+0.0019022i,-0.00064796+0.0015478i,-0.0024548+0.0027074i,-0.00052714-0.0028708i,-0.00050629-0.0014961i,-0.0004468-0.0016388i,-0.00046535+0.0023424i,0.0020498+0.00032465i,-0.0011417-0.011896i,-0.025323-0.0019093i,-0.0021098+0.00059209i,-0.0018871-0.0027712i,0.033502+0.0042613i,0.00796+0.00029597i,0.00017147-0.017425i,-0.025723-0.022582i,-0.013306-0.010928i,0.0088334-0.023346i,0.021732+0.0034218i,-0.00097664+0.00043116i,-0.00049178+0.0024407i,-0.005721+0.0022615i,0.0025956-0.010055i,0.015699-0.00038644i,0.0080471+0.0038318i,-0.011926-0.0023975i,0.00034928-0.0044934i,-0.0054676-0.0017073i,-0.0051349-0.0070154i,0.00060768-0.0076531i,0.0051544+0.0047857i,0.0013457-0.008953i,-0.0034878-0.0058113i,-0.002612-0.00041247i,-0.0019736-0.00053961i,-0.0096021-0.00062278i,-0.0038007+0.0028902i,-0.00070692-0.0011893i,0.017875+0.020796i,-0.011756+0.0067229i,0.001248+0.0011323i,-0.0048284-0.00069386i,0.0010553-0.00073378i,-0.007869+0.013241i,-0.00037202+0.0032866i,-0.0028416+0.00067471i,-0.0024604+0.0013482i,-0.0061085+0.0012811i,-0.00098717+0.0023664i,7.8557e-05+0.0010885i,0.0012765+0.0065268i,-0.00298+0.0016744i,-0.0051068+0.00026258i,0.0052769-0.013558i,0.0078576+0.01926i,-0.026654+0.0069981i,-0.013402-0.0051488i,0.016926+0.0095715i,0.0058117+0.019858i,-0.010799-0.0022024i
0.00025457-0.013048i,0.0055138-0.0085516i,0.0092295-0.0021312i,0.01117-0.0093001i,0.016098-0.011477i,0.0061208-0.019813i,0.0061399-0.012346i,0.0097809-0.0077307i,-0.0034753-0.0084201i,-9.6858e-05+0.0027547i,-0.00069985+0.00036438i,0.00046366+0.0025091i,0.0017422+0.0026616i,0.00073409+0.0024608i,0.0019822+0.0016362i,0.00085948+0.00086752i,-0.00063017-0.0018291i,-9.4819e-05-0.0022084i,-0.0010725-0.00076052i,-0.00067995-0.0018679i,-0.0016647-0.0024191i,-0.0014652-0.00058657i,-0.0014611-0.00073476i,0.0045942-0.0022369i,0.00025162+0.0033168i,0.00076749+0.0024546i,-0.00063626+0.0034415i,-0.00081836+0.0021082i,-0.001246+0.0033772i,0.00012007+0.0031138i,-0.0005028-0.00043451i,0.00037904+0.0017102i,0.00050784-0.00020186i,-0.00038125-0.00080721i,0.00037022+0.00026218i,0.00033525+0.012161i,-0.0012281+0.0030896i,-0.00020088+0.0016334i,-0.0012828+0.0036171i,-0.0015805-0.002672i,-0.00097462-0.0014552i,-0.00071366-0.0015776i,0.00012657+0.0026961i,0.0022732+0.00034998i,-0.0014329-0.011955i,-0.017277-0.0018062i,0.0012526+0.0022056i,-0.0029641-0.0063943i,0.036114-0.010389i,0.010147-0.0040552i,-0.0057675-0.014305i,-0.03198-0.016949i,-0.015158-0.0059565i,0.0028077-0.030102i,0.018016-0.0018696i,-0.001873+0.0014895i,-0.00033719+0.0044519i,-0.0054095+0.0041745i,-0.0039879-0.0083427i,0.014099-0.0059856i,0.0096766+0.0013467i,-0.012687+0.0024085i,-0.00080162-0.0040083i,-0.0044941+0.00063084i,-0.0061899-0.0032391i,-0.0013192-0.0073431i,0.0064963+0.0014924i,-0.0010095-0.0082858i,-0.0044411-0.0016283i,-0.0014466+0.0013651i,-0.0022842-0.00023095i,-0.0086724+0.0033555i,-0.0010909+0.0042109i,-0.0014394-0.0011309i,0.022598+0.010391i,-0.0080378+0.011246i,0.0015462+0.00031901i,-0.0038554+0.0014488i,6.9914e-05-0.001799i,-0.0012159+0.013449i,0.0016467+0.0027534i,-0.0021297+0.0026377i,-0.0015896+0.0026745i,-0.0037401+0.0042984i,-0.00021899+0.0037393i,-0.00032125+0.00056623i,0.0045858+0.0059464i,-0.0030724+0.0010944i,-0.0059442+0.0024762i,0.0015212-0.014998i,0.017459+0.009757i,-0.023691+0.010945i,-0.016856-0.0042672i,0.015549+0.0049098i,0.010989+0.018366i,-0.010341-0.00084279i
-0.0020345-0.012603i,0.0031837-0.0081839i,0.0082551-0.004012i,0.0097041-0.011156i,0.014063-0.014264i,0.0025825-0.020527i,0.002956-0.011905i,0.0081563-0.0092273i,-0.0043609-0.0076078i,-0.00019901+0.0032597i,-0.00083145+0.00067887i,0.0013015+0.0022377i,0.0017547+0.0023315i,0.00098021+0.002253i,0.0022304+0.0011887i,0.0010853+0.0012397i,-0.00091763-0.00093383i,-0.00078262-0.0024426i,-0.0013155-0.00093721i,-0.0016754-0.0016576i,-0.0021264-0.0021196i,-0.0014828-0.00024175i,-0.0018359-0.00029357i,0.0030098-0.0034776i,0.0014856+0.0031421i,0.0017153+0.0022484i,0.00086101+0.0036779i,-0.000147+0.0024309i,0.00025644+0.0036711i,0.0014394+0.0028992i,-0.00040008-0.0001494i,0.0012985+0.0022649i,0.0001933-0.00014697i,-0.00053874+3.4246e-05i,0.00049458+0.00058507i,0.0039484+0.011471i,0.0001359+0.0035029i,0.00021171+0.001852i,0.00034587+0.0040551i,-0.0022613-0.002067i,-0.0013617-0.001363i,-0.0012398-0.0014929i,0.00093146+0.002598i,0.0022856-0.00015568i,-0.0026241-0.012604i,-0.011595+0.00076408i,0.0056404+0.001682i,-0.005213-0.0067934i,0.031687-0.023437i,0.009594-0.0086193i,-0.0082837-0.0094616i,-0.034731-0.0083455i,-0.014651-3.2366e-05i,-0.0059062-0.031959i,0.013857-0.0050238i,-0.0013846+0.002916i,0.0023098+0.0048058i,-0.0044001+0.005731i,-0.0068337-0.0039606i,0.0098453-0.011344i,0.010512-0.0019684i,-0.011194+0.0057971i,-0.0014811-0.0024205i,-0.0029161+0.0015206i,-0.0048215-0.00071944i,-0.0038312-0.0059946i,0.0058644-0.00068238i,-0.0034849-0.0067422i,-0.0032287+0.00066777i,0.00048865+0.0017627i,-0.0022314+0.00032575i,-0.0058789+0.0059924i,0.0017681+0.0032281i,-0.0017501-1.3644e-05i,0.022815+0.00087266i,-0.0026478+0.013867i,0.0010553-0.00047505i,-0.0020824+0.0017318i,-0.001035-0.0013563i,0.0031113+0.011205i,0.0024084+0.0017407i,-0.00032247+0.0043661i,0.00069235+0.0036035i,0.00011672+0.005176i,0.001362+0.002871i,-0.0013305+0.00066293i,0.0065841+0.0031127i,-0.0039393+0.0010981i,-0.0047571+0.0051579i,-0.00049286-0.01517i,0.018459-0.0044752i,-0.018158+0.010994i,-0.019672-0.0016666i,0.014966+0.0016392i,0.015341+0.013848i,-0.010841-0.00082496i
-0.0038069-0.011749i,0.0021557-0.0080997i,0.0075457-0.0055154i,0.0079463-0.013154i,0.011703-0.016763i,-0.0012474-0.020811i,0.00088683-0.010903i,0.0065216-0.010299i,-0.0048673-0.0069032i,0.00057667+0.0036634i,-0.00073221+0.0012086i,0.0020112+0.0018652i,0.0020549+0.002351i,0.001321+0.0021905i,0.00245+0.00067725i,0.0017197+0.0017721i,-0.00067913-0.00040144i,-0.0016118-0.0024259i,-0.0019126-0.0007398i,-0.002439-0.0010078i,-0.0027339-0.0016593i,-0.0013274-7.9246e-05i,-0.0020081+0.00030323i,0.0011627-0.004035i,0.0027373+0.002472i,0.0026025+0.0015192i,0.0022151+0.0031485i,0.00080163+0.0026436i,0.0016922+0.0033983i,0.0025177+0.0020866i,-0.00023953-1.3146e-05i,0.0004142+0.00034393i,-4.9619e-06+0.00012483i,-0.00015468+0.00054631i,0.0010181+0.0010673i,0.0070364+0.010039i,0.0016452+0.0033511i,0.00094517+0.001964i,0.0019428+0.0036177i,-0.0026015-0.0013919i,-0.0019002-0.0011228i,-0.0018088-0.0012337i,0.0015039+0.0024407i,0.0022292-0.00052491i,-0.0040112-0.013057i,-0.0082014-0.00027087i,0.0090504-0.0015563i,-0.0063754-0.0059439i,0.024323-0.033684i,0.0072247-0.0117i,-0.0078578-0.0049962i,-0.032828+0.00034319i,-0.010135+0.0062543i,-0.01279-0.029719i,0.010215-0.0062615i,-0.00034803+0.0035762i,0.003977+0.0032946i,-0.0029225+0.0072439i,-0.0074996-0.00040943i,0.0030694-0.014492i,0.0088621-0.0061781i,-0.0095699+0.0082862i,-0.00088405-0.0015849i,-0.0018984+0.0012524i,-0.0035581-3.3884e-05i,-0.0050646-0.0032244i,0.0043737-0.0018938i,-0.0051099-0.0046934i,-0.0012899+0.0016034i,0.001929+0.00067896i,-0.001915+0.0011609i,-0.003008+0.0070449i,0.0021302+0.0012086i,-0.00081472+0.00102i,0.01875-0.0073723i,0.0050897+0.011976i,0.00079214-6.2908e-05i,-0.001039+0.0017044i,-0.0014757-8.6906e-05i,0.0063164+0.0085936i,0.0032185+0.00084778i,0.002552+0.0040869i,0.0024817+0.0022454i,0.0030863+0.0038025i,0.0019503+0.0026358i,-0.0016557+0.0020341i,0.0059783+0.00055638i,-0.0051855+0.001835i,-0.0023097+0.0064458i,-0.0025119-0.015795i,0.01134-0.015393i,-0.015565+0.0068669i,-0.0223+0.0025242i,0.012749-0.0030848i,0.017029+0.0089688i,-0.011872+0.00044199i
-0.0054673-0.010728i,0.00067866-0.0082393i,0.0063139-0.0077935i,0.0053467-0.01512i,0.0088292-0.019033i,-0.005358-0.020127i,-0.00029879-0.010047i,0.0048937-0.011356i,-0.0052686-0.0062594i,0.0011262+0.0041203i,-0.00050431+0.0015573i,0.002305+0.00093551i,0.0025556+0.0021811i,0.0016797+0.0020263i,0.002526+0.00018308i,0.0027426+0.0015923i,-0.00063691-0.00013816i,-0.0026089-0.002023i,-0.0022217-0.00014262i,-0.0030005-3.8715e-05i,-0.0033828-0.0008994i,-0.0012731-0.00018255i,-0.0019881+0.0009502i,-0.00069245-0.0037908i,0.0035522+0.0010111i,0.0030366+0.00048075i,0.0031253+0.0022616i,0.0018942+0.0023027i,0.0030743+0.0024533i,0.003138+0.00088089i,-3.7813e-06-3.1943e-05i,0.0014706+0.00078528i,9.9581e-05+0.00039516i,0.00043498+0.00071681i,0.0061177-0.0086198i,0.0094521+0.0074934i,0.0028391+0.0024855i,0.0016573+0.0016021i,0.0033946+0.0025646i,-0.0026519-0.00067093i,-0.0023945-0.00051255i,-0.0021059-0.00062263i,0.0021881+0.0020039i,0.0019871-0.0008378i,-0.0059397-0.013306i,-0.0062658-0.0026011i,0.01024-0.0055053i,-0.00606-0.004264i,0.014099-0.040414i,0.0044784-0.013433i,-0.0060959-0.0027687i,-0.027755+0.0056672i,-0.0021791+0.0084884i,-0.018365-0.025383i,0.007282-0.0063305i,0.00070019+0.003604i,0.0038976+0.0012732i,-0.00060111+0.0078637i,-0.0074321+0.0029273i,-0.0049174-0.013242i,0.0053734-0.0082636i,-0.0071033+0.010879i,-0.00044034-0.0022337i,-0.001631+0.0010658i,-0.0034061-9.6855e-05i,-0.0044633-0.0010808i,0.0033189-0.0021167i,-0.0065329-0.0035401i,9.2994e-05+0.0012761i,0.0023756-0.0013229i,-0.0014475+0.001835i,0.00038777+0.0068807i,0.0014497-1.1309e-05i,-1.6056e-05+0.00055935i,0.012176-0.012444i,0.0077645+0.0071362i,0.0015105-0.00022357i,0.0003787+0.00090797i,-0.00057245+0.00049487i,0.0078971+0.0052626i,0.0040504-0.001095i,0.0044512+0.0025758i,0.0030302+0.0010991i,0.0040778+0.0015766i,0.0031522+0.0022045i,-0.00060811+0.0036446i,0.0062452-0.0006822i,-0.0058233+0.004019i,-0.00018461+0.006223i,-0.0040807-0.01528i,0.00062832-0.021537i,-0.018396+0.0035953i,-0.022029+0.0081268i,0.0067958-0.0056818i,0.017556+0.0035344i,-0.011618+0.0016015i
-0.0064411-0.0094347i,3.8502e-05-0.007611i,0.0040291-0.0091154i,0.0018773-0.016283i,0.0053331-0.02065i,-0.0089787-0.018257i,-0.00084378-0.0093765i,0.003112-0.012266i,-0.0055064-0.0059068i,0.0022482+0.0046138i,-0.00012044+0.0021481i,0.002202+0.00030819i,0.0032185+0.001802i,0.0020853+0.0018442i,0.0025198-0.00037797i,0.0033025+0.00057425i,-0.00071492+0.00024155i,-0.00336-0.00090579i,-0.0021644+0.0004362i,-0.0030677+0.0012674i,-0.0036028+0.00024597i,-0.001791-0.00028481i,-0.0016782+0.0015912i,-0.0022497-0.0027029i,0.0033743-0.00044279i,0.0030307-0.00068614i,0.0039161+0.00094451i,0.0026767+0.0015327i,0.0037821+0.00088444i,0.0031604-0.00039815i,0.00011613-0.0002079i,0.001989-1.885e-05i,0.00055147+0.00050866i,0.0010303+0.0004039i,2.865e-05-0.0017463i,0.010671+0.0041643i,0.0035668+0.0011921i,0.0022084+0.0010936i,0.0042262+0.00087387i,-0.0025712+0.00011445i,-0.0025444+0.00047825i,-0.0021769-2.1489e-05i,0.0026057+0.0011449i,0.0017376-0.00108i,-0.0080433-0.013136i,-0.0058124-0.0057901i,0.0097555-0.0093233i,-0.0042308-0.0039541i,0.0033884-0.042731i,0.0014844-0.014034i,-0.0046124-0.0015992i,-0.022617+0.0079225i,0.0054189+0.0061775i,-0.02129-0.019343i,0.0057332-0.0063684i,0.0018693+0.0027799i,0.0032515+0.00035691i,0.0022956+0.0073892i,-0.0057068+0.0062737i,-0.010599-0.0078571i,0.001792-0.0084979i,-0.0035298+0.012367i,-0.0012546-0.0029014i,-0.0015925+0.0013063i,-0.0037296+0.00059266i,-0.0032763+0.00020143i,0.0021957-0.002298i,-0.0078345-0.0021567i,0.00074026+0.00045802i,0.00050887-0.002977i,-0.0004113+0.0022402i,0.0029908+0.0047921i,0.0010092-0.0016354i,0.00016648+0.0001833i,0.0051288-0.013611i,0.0092468+0.0035771i,0.0010692-0.0013414i,0.00033241+0.00011704i,0.00049118+0.00042228i,0.0079331+0.0023805i,0.0032668-0.0039511i,0.0058774+0.00035794i,0.0037685+4.9231e-05i,0.0044208-0.00049045i,0.0040243+0.0013124i,0.0012283+0.0039891i,0.0052726-0.0025759i,-0.004919+0.0065133i,0.0016315+0.0049356i,-0.0043134-0.014528i,-0.01161-0.022282i,-0.022336+0.0043457i,-0.018606+0.012903i,0.0022588-0.0035638i,0.014955-0.0027793i,-0.011333+0.0018938i
-0.0067635-0.0085478i,-7.0603e-05-0.0080626i,0.0020261-0.0093963i,-0.0015802-0.016073i,0.0017074-0.021565i,-0.011733-0.015976i,-0.00085886-0.0095881i,0.0012021-0.013i,-0.0059235-0.0056186i,0.0039224+0.0042452i,0.00077103+0.0025557i,0.0020232+3.8741e-05i,0.0037908+0.0010062i,0.002585+0.0014126i,0.0023935-0.0008926i,0.0038138+9.6621e-05i,-0.00047228+0.00058283i,-0.0034485+0.00023874i,-0.0020326+0.00086803i,-0.0024711+0.0023272i,-0.0035604+0.0012738i,-0.0022881+0.00030367i,-0.0011258+0.0020845i,-0.0032395-0.0010173i,0.0028815-0.0014583i,0.0025382-0.0017201i,0.0039303-0.00076367i,0.0031743+0.0004677i,0.0035608-0.00050307i,0.0027934-0.0015329i,0.00018288-0.00033559i,0.001659-0.00075015i,0.0010204+0.0001851i,0.0012733-0.00016441i,-0.00012036-0.00098632i,0.010562+0.00057441i,0.0036677-0.0002301i,0.0026942+0.00031164i,0.0041094-0.0008738i,-0.0020463+0.00089388i,-0.0021693+0.0013081i,-0.0021237+0.00055445i,0.0025134+0.00040592i,0.0014339-0.0013069i,-0.010335-0.012383i,-0.0081414-0.0086074i,0.007914-0.012238i,-0.0033478-0.005114i,-0.0060629-0.041648i,-0.00094787-0.012733i,-0.0028785-0.00086141i,-0.018937+0.0097145i,0.010006+0.0011867i,-0.020433-0.013667i,0.0040248-0.0072542i,0.002416+0.0014024i,0.0034561-0.00054593i,0.0047402+0.005284i,-0.0025846+0.007488i,-0.01236-0.0015805i,-0.001182-0.0077877i,9.5454e-05+0.012044i,-0.0030544-0.0028644i,-0.0017085+0.001936i,-0.0034959+0.0016175i,-0.0027089+0.0008599i,0.0015329-0.0013031i,-0.0085721-0.00055874i,0.00054125-0.00013898i,-0.0012439-0.0023934i,0.00071241+0.0021189i,0.0038752+0.0025814i,0.0015706-0.0021108i,0.00045291+0.00032511i,9.6332e-05-0.0123i,0.0095919-0.00051524i,0.00084672-0.00030543i,0.00015693+0.000178i,0.0012408-0.00032524i,0.0077166+0.00013396i,0.00048639-0.0056129i,0.0060289-0.0027443i,0.0035038-0.00187i,0.003419-0.0032674i,0.0045881-0.00012567i,0.0026258+0.0035187i,0.0031282-0.0025907i,-0.0028173+0.0078076i,0.0023609+0.0033439i,-0.0040894-0.015163i,-0.023103-0.016922i,-0.025309+0.0074628i,-0.01388+0.014354i,0.001354-0.0015107i,0.008503-0.0047001i,-0.012539+0.0023194i
-0.0074899-0.0080599i,-0.00085564-0.0092543i,0.00061268-0.009372i,-0.0045524-0.014966i,-0.0021215-0.022013i,-0.014094-0.013303i,-0.0014453-0.011128i,-0.0010302-0.013376i,-0.0065799-0.005282i,0.0053089+0.0032193i,0.00197+0.0023323i,0.0019377-5.6473e-05i,0.003996-2.641e-05i,0.0030828+0.00089724i,0.0020792-0.0014724i,0.0041182-0.00062373i,-0.00018359+0.00080451i,-0.0031857+0.0012482i,-0.0018167+0.0014464i,-0.0015625+0.0030394i,-0.0031405+0.0024992i,-0.0023098+0.0012437i,-0.00056857+0.0023256i,-0.003162+0.00093201i,0.0021903-0.0021954i,0.0017799-0.002425i,0.0031401-0.0022718i,0.0031577-0.00080179i,0.003051-0.0016675i,0.0019956-0.002495i,0.00023153-0.00055055i,0.0013252-0.00092033i,0.0011943-0.00037663i,0.0012012-0.00082912i,2.9299e-05-0.00081764i,0.0093873-0.0024466i,0.0033865-0.0014821i,0.0028898-0.00081318i,0.0032579-0.0023599i,-0.0012501+0.0014031i,-0.0015981+0.002022i,-0.0018887+0.0011217i,0.002295+5.2401e-05i,0.0011033-0.0011036i,-0.012538-0.011053i,-0.011745-0.0085517i,0.0054472-0.014223i,-0.0034775-0.0054313i,-0.014424-0.039742i,-0.0019389-0.010817i,-0.0010753-0.0012018i,-0.014321+0.01073i,0.012908-0.0049292i,-0.017933-0.010557i,0.0020342-0.0079575i,0.0016937-0.0007818i,0.0030849-0.0019472i,0.0052161+0.002452i,-0.00054513+0.0070465i,-0.011388+0.0042776i,-0.003952-0.0061035i,0.0025917+0.010382i,-0.0046756-0.0012342i,-0.0013442+0.0031333i,-0.0028262+0.0026407i,-0.0012126+0.0012556i,0.0023719+9.6023e-05i,-0.0051186+0.00277i,0.00057108+0.000236i,-0.0020355-0.0014581i,0.0015871+0.0015505i,0.003934+0.00078902i,0.00040223-0.0030843i,0.0009032+3.1227e-05i,-0.0037872-0.010563i,0.0081443-0.0046012i,0.0004308-0.0015888i,0.00070655-0.00016977i,0.0010971-0.0013728i,0.0073938-0.0019897i,-0.0020694-0.0050611i,0.0043862-0.0055555i,0.0019636-0.0028644i,0.00089101-0.0041566i,0.0042852-0.0018549i,0.0040618+0.0026306i,0.0024815-0.0022722i,0.00037905+0.0080298i,0.0018619+0.0018101i,-0.0049054-0.017081i,-0.027737-0.0067871i,-0.027453+0.012336i,-0.010067+0.014516i,0.00028157+3.4979e-05i,0.0084693+0.012178i,-0.013378+0.0039747i
